,id,verified_purchase,review_title,review_text,date,author,ratings,people_find_helpful,author_profile,start_time,end_time,product_name,average_rating,total_reviews,product_category
0,AHIWIZDVA5KWVLGRE2IHBRFSVKXA,True,Great for student,"Bought this laptop for a student, the battery life is great, I was pretty much impress bu this laptop.
not so much for the Windows 10 in S mode, which mean you are not able to download anything that is not on the windows store, forget Chrome and Firefox browser, unless you visit Microsoft store and download the app and disable the S mode, great to have 12 months of Office 365 free. would I recommend this laptop top? to a student and light usage like movies and browsing, text editing yes, definitely fits the student budget.","July 17, 2020",TechnoMan,5.0,6,https://www.amazon.ca/gp/profile/amzn1.account.AHIWIZDVA5KWVLGRE2IHBRFSVKXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:35.016106,2020-09-11 12:06:35.292800,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
1,AG3UKURIX2NH7ZYGM2DSM2WUSQAQ,True,"So far, so good!","You're basically buying a Windows 10 alternative to a Chromebook, and on that scale it more than satisfies. Large screen, high res, respectable number of ports, lightweight, doesn't need a fan to cool. But this is just for the basics - streaming, browsing, office stuff. It's not made for heavy lifting, so know what you're getting before you buy it.","July 16, 2020",Noah,4.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AG3UKURIX2NH7ZYGM2DSM2WUSQAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:35.302195,2020-09-11 12:06:35.529139,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
2,AGMPMZUFMEOX72BJQHQ5ZEAF6XVA,True,Love it!!,It's absolutely perfect! Beautiful screen and amazing speed. I definitely do not regret buying it!!,"July 12, 2020",Arwinn,5.0,6,https://www.amazon.ca/gp/profile/amzn1.account.AGMPMZUFMEOX72BJQHQ5ZEAF6XVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:35.535144,2020-09-11 12:06:35.713144,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
3,AEXZ6CSVSK4HXNZYKK2CMMEQ7KXA,True,Value and dependabilty,received in original shape fast delivery works as it should,"July 13, 2020",Snofrog,5.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AEXZ6CSVSK4HXNZYKK2CMMEQ7KXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:35.719181,2020-09-11 12:06:35.913181,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
4,AEWB3WU5GOJBU5GQZ74562IDCNFQ,True,Good choice for general browsing,"I bought this for my mom to replace her old desktop, and it works great for her general browsing, email access, etc.
Acer is always reliable.
The small flash drive storage is fine for her needs, and makes it a cheaper option, she doesn't need a huge HDD for storage.","August 6, 2020",Amazon Customer,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AEWB3WU5GOJBU5GQZ74562IDCNFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:35.918236,2020-09-11 12:06:36.088424,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
5,AHCLGD7DHZ3HWNZFJLHA5RM66DVA,True,100% satisfaction!,Good choice!,"July 15, 2020",Mohamed Karim,5.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AHCLGD7DHZ3HWNZFJLHA5RM66DVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:36.094260,2020-09-11 12:06:36.280127,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
6,AGS35DONILKOO26GHVF4MD5HI5JQ,True,Elle fait la job,Correct mais je mentendais a un peu mieux par rapport au prix payer mais fait l'affaire pour le moment mais la bacterie ne dure vraiment pas 10h comme décrit elle dure environs 5 6 h maximum,"July 25, 2020",Steven mccl,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGS35DONILKOO26GHVF4MD5HI5JQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:36.288901,2020-09-11 12:06:36.457142,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
7,AGSS35A7P7IOPUUC2LCLDPLXO72A,True,love it,"we got one for my husband three weeks ago so we could take it camping and since he hogs most of the time LOL I decided to get my own , better then looking at an Ipad ....","August 6, 2020",Susan Hrapek,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGSS35A7P7IOPUUC2LCLDPLXO72A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:36.463006,2020-09-11 12:06:36.606075,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
8,AGBMMVJWVWBP6PCIRYRYN32REF7A,True,Très performant pour le prix.,"Même si c'est Windows, l'ordi prends peu de temps à être prêt a utiliser. Je suis heureux de mon achat qui sert surtout à imprimer des factures et des reçus et faire les impôts.","August 17, 2020",Jacques Couture,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGBMMVJWVWBP6PCIRYRYN32REF7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:36.612060,2020-09-11 12:06:36.767463,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
9,AHMH7CH5PJSFKXLKWXGCNOCLLPZA,True,Satisfaite,"Le produit est parfait identique à la description.... recommande Arrivé a l’avance....
Saufs la livraison demandé à purolator et amazone de faire signer le colis à l’arrivée non sonne jamais et le laisse dans portique non sécurisé. Plusieurs commandes m’ont fait ça
Vraiment pas contente pourrait me faire voler. Sinon le reste c’est magique comme dit ma fille","August 14, 2020",Katy Boulanger,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHMH7CH5PJSFKXLKWXGCNOCLLPZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-11 12:06:36.773499,2020-09-11 12:06:36.916186,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3",4.5,,Electronics
