,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 29, 2020",Bad purchase Gilmour's perforated pipe only lasted a few weeks,"Gilmour's perforated pipe only lasted a few weeks. It started to flow much stronger in the third of the center of the hose through the seams, it drowns the plants in the garden, see photo

Tuyau perforé Gilmour n'a duré que quelques semaines. Il c'est mis à couler beaucoup plus fort dans le tiers du centre du boyau par les coutures, ca noie les plantes dans le jardin, voir photo",yes,0,1.0,https://www.amazon.ca/Gilmour-27025G-25-Foot-Weeper-Soaker/dp/B001IKU3QC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:09:24.473772,2020-09-30 17:09:32.731789,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B001IKU3QC
1,1,1,1,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 11, 2020",Ce qu'ont s'attends du produit,SUPER,yes,0,5.0,https://www.amazon.ca/Paragon-Towing-Mirrors-2010-18-Dodge/dp/B07TVVV1CL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:09:39.825756,2020-09-30 17:09:49.091727,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B07TVVV1CL
2,2,2,2,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 11, 2020",Ce qu'ont s'attends du produit,OK,yes,0,5.0,https://www.amazon.ca/Camcorder-Vlogging-Digital-Recorder-Batteries/dp/B07ZHXPNVB/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:09:58.169634,2020-09-30 17:10:06.429955,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B07ZHXPNVB
3,3,3,3,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 11, 2020",Ce qu'ont s'attends du produit,OK,yes,0,5.0,https://www.amazon.ca/Yardeen-Programmable-Faucet-Automatic-Pressure/dp/B07MDBSCMS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:10:16.510799,2020-09-30 17:10:22.777972,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B07MDBSCMS
4,4,4,4,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 11, 2020",Ce qu'ont s'attends du produit,OK,yes,0,5.0,https://www.amazon.ca/Kyle-Busch-Jumbo-Number-Decal/dp/B079V1GMSS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:10:31.859827,2020-09-30 17:10:39.151842,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B079V1GMSS
5,5,5,5,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 11, 2020",Ce qu'ont s'attends du produit,OK,yes,0,5.0,https://www.amazon.ca/Denny-Hamlin-Jumbo-Number-Decal/dp/B079TZC334/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:10:49.236391,2020-09-30 17:10:56.525852,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B079TZC334
6,6,6,6,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 11, 2020",Ce qu'ont s'attends du produit,correct,yes,0,5.0,https://www.amazon.ca/Patio-Swing-Canopy-Swings-Replacement/dp/B07QXX963Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:11:05.608757,2020-09-30 17:11:13.859266,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B07QXX963Q
7,7,7,7,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 11, 2020",Ce qu'ont s'attends du produit,Super,yes,0,5.0,https://www.amazon.ca/Mediasonic-SmartView-Vehicle-Recorder-MLG-7027CVR/dp/B01KMZAO9Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:11:21.948725,2020-09-30 17:11:31.204711,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B01KMZAO9Y
8,8,8,8,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"June 11, 2020",Ce qu'ont s'attends du produit,Correct,yes,0,5.0,https://www.amazon.ca/Kleenex-Trusted-Everyday-Facial-Tissues/dp/B07B4LJC25/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:11:40.289116,2020-09-30 17:11:47.568184,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B07B4LJC25
9,9,9,9,AE5XYJBOU6SCPQNOW7QOYDV3A3QQ,"May 1, 2020",FIT LIKE A GLOVE,FIT LIKE A GLOVE,yes,0,5.0,https://www.amazon.ca/Du-Ha-30017-Storage-Organizer/dp/B000AD55S4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 17:11:56.660501,2020-09-30 17:12:05.907566,Andre P Larochelle,Clothing & Accessories,B002G9UDYG,B000AD55S4
