,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"August 28, 2020",Good quality,Easy to assemble and packed very well. Great quality!,yes,0,5.0,https://www.amazon.ca/Napoleon-Rogue-Grill-Black-Propane/dp/B07ZZM9S3B/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:50:28.223646,2020-09-30 02:50:36.526141,Katie Sevier,Clothing & Accessories,B002G9UDYG,B07ZZM9S3B
1,1,1,1,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"June 5, 2020","Good size, works well",Great size and what we expected,yes,0,5.0,https://www.amazon.ca/Magnetic-Foldable-Upright-Exercise-Resistance/dp/B01N6I3HPJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:50:44.625976,2020-09-30 02:50:53.905183,Katie Sevier,Clothing & Accessories,B002G9UDYG,B01N6I3HPJ
2,2,2,2,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"May 13, 2020",Not greAt,Did not stick together well. Too thick,yes,0,2.0,https://www.amazon.ca/Lichamp-Waterproof-Self-fusing-Leakproof-Insulation/dp/B079G3XRKX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:51:03.000884,2020-09-30 02:51:10.254550,Katie Sevier,Clothing & Accessories,B002G9UDYG,B079G3XRKX
3,3,3,3,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"April 17, 2020",As expected,As expected,yes,0,5.0,https://www.amazon.ca/HBlife-Distressed-Floating-Stainless-Hooks%EF%BC%88Set/dp/B07M7Z1ZK2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:51:19.349140,2020-09-30 02:51:27.637736,Katie Sevier,Clothing & Accessories,B002G9UDYG,B07M7Z1ZK2
4,4,4,4,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"August 21, 2019",Poor quality,Very cheap quality. Low functioning light no place for battery back up,yes,0,1.0,https://www.amazon.ca/dp/B07GBX95L6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:51:34.726880,2020-09-30 02:51:43.986819,Katie Sevier,Clothing & Accessories,B002G9UDYG,B07GBX95L6
5,5,5,5,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"August 21, 2019",Good quality,Good quality and comfort,yes,0,5.0,https://www.amazon.ca/PUMA-Womens-Platform-Sneaker-White-Rose/dp/B07HFKHDW2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:51:54.084233,2020-09-30 02:52:00.355453,Katie Sevier,Clothing & Accessories,B002G9UDYG,B07HFKHDW2
6,6,6,6,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"August 21, 2019",Good value,Good value,yes,0,5.0,https://www.amazon.ca/LIHAO-Embroidery-Thread-Stitch-Colours/dp/B018NSGF0O/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:52:09.447129,2020-09-30 02:52:15.753628,Katie Sevier,Clothing & Accessories,B002G9UDYG,B018NSGF0O
7,7,7,7,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"June 6, 2019",Nice quality,Decor pillows at the cottage,yes,0,5.0,https://www.amazon.ca/AliceHouse-Cotton-Decorative-Cushion-TP012-1/dp/B06Y6FSKYH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:52:22.848563,2020-09-30 02:52:29.120676,Katie Sevier,Clothing & Accessories,B002G9UDYG,B06Y6FSKYH
8,8,8,8,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"April 3, 2019",Beautiful,They were packed so well and came with extra jewels and heel tips!,yes,0,5.0,https://www.amazon.ca/Badgley-Mischka-Womens-Daughtry-Champagne/dp/B07DPNMF3C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:52:36.211123,2020-09-30 02:52:42.509443,Katie Sevier,Clothing & Accessories,B002G9UDYG,B07DPNMF3C
9,9,9,9,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"January 7, 2019",Good quality,"Beautiful leather, a good size it’s not too big.",yes,0,5.0,https://www.amazon.ca/Kattee-Handmade-Genuine-Briefcase-Messenger/dp/B01E70DLZY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:52:49.640385,2020-09-30 02:52:55.868158,Katie Sevier,Clothing & Accessories,B002G9UDYG,B01E70DLZY
10,10,10,10,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"January 7, 2019",Good quality,Good quality will purchase additional colours,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:53:04.957142,2020-09-30 02:53:12.196682,Katie Sevier,Clothing & Accessories,B002G9UDYG,B002G9UDYG
11,11,11,11,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"January 4, 2019",Fits,Fits,yes,0,5.0,https://www.amazon.ca/Genuine-Land-Rover-Range-Sport/dp/B00Q4S4CTM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:53:21.295037,2020-09-30 02:53:29.573044,Katie Sevier,Clothing & Accessories,B002G9UDYG,B00Q4S4CTM
12,12,12,12,AE7WYGIDIRBH3UYR3WBQC5YC4DGQ,"January 4, 2019",Beautiful!,"Beautiful, nice quality, I have a small wrist so had 4 links removed and now fits perfect. Bangle still a little large.",yes,0,5.0,https://www.amazon.ca/MAMONA-Chronograph-Bracelet-StainlessSteel-L58010RGGT/dp/B072JJYLKC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:53:38.671768,2020-09-30 02:53:47.906637,Katie Sevier,Clothing & Accessories,B002G9UDYG,B072JJYLKC
