,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEB7II6GI7OMZLHH6MQEWTSF36WA,"December 3, 2019",They are little and nice,Good souvenir for new year.,yes,0,5.0,https://www.amazon.ca/UTENEW-Miniature-Decoration-Figurines-Miniatures/dp/B07VBJ8KVP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:31:41.426116,2020-09-30 04:31:47.702991,Natalia,Clothing & Accessories,B002G9UDYG,B07VBJ8KVP
1,1,1,1,AEB7II6GI7OMZLHH6MQEWTSF36WA,"December 3, 2019",Great for little girl,"Very cute, soft, nice.",yes,0,5.0,https://www.amazon.ca/Disney-Minnie-Pajamas-2-Piece-Sleepwear/dp/B07FNVTG6M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:31:54.798667,2020-09-30 04:32:03.090405,Natalia,Clothing & Accessories,B002G9UDYG,B07FNVTG6M
2,2,2,2,AEB7II6GI7OMZLHH6MQEWTSF36WA,"September 5, 2019",Comfortable and convenient,"Comfortable, pleasant on touch.",yes,0,5.0,https://www.amazon.ca/Fairy-Baby-Toddler-Summer-Bloomers/dp/B07DQGLW5J/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:32:12.184525,2020-09-30 04:32:21.455900,Natalia,Clothing & Accessories,B002G9UDYG,B07DQGLW5J
3,3,3,3,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Ordered for Friend,Friend is happy.,yes,0,5.0,https://www.amazon.ca/Hanes-TAGLESS%C2%AE-ComfortSoft%C2%AE-Shirt-6-Pack/dp/B00HVVVMM6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:32:30.547931,2020-09-30 04:32:38.823980,Natalia,Clothing & Accessories,B002G9UDYG,B00HVVVMM6
4,4,4,4,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Boy's Pajamas,"Cool, light, all natural, comfortable, soft - best summer pajamas I could wish for my grandson.",yes,0,5.0,https://www.amazon.ca/Kidsmall-Motorcycle-Pajama-Sleepwear-Cotton/dp/B01GB40IA0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:32:48.902447,2020-09-30 04:32:55.208401,Natalia,Clothing & Accessories,B002G9UDYG,B01GB40IA0
5,5,5,5,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Expected Quality,"Cotton, soft, good looking, light and comfortable; strong colors.",yes,0,5.0,https://www.amazon.ca/TeeStars-Awesome-Looks-T-Shirt-Violet/dp/B01DT3EPMS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:33:05.304341,2020-09-30 04:33:12.578020,Natalia,Clothing & Accessories,B002G9UDYG,B01DT3EPMS
6,6,6,6,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Good for Winter,"Warm, natural, non-itching, comfortable, soft.",yes,0,5.0,https://www.amazon.ca/Alex-Stevens-Cable-Turtleneck-Black/dp/B00LJTYGGK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:33:21.747887,2020-09-30 04:33:28.981749,Natalia,Clothing & Accessories,B002G9UDYG,B00LJTYGGK
7,7,7,7,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Nice for Young Man,"Great quality, soft, slim fit defining nice lines of body, non-standard color.",yes,0,5.0,https://www.amazon.ca/Elonglin-Knitted-Turtleneck-Pullover-Lightweight/dp/B075QBCD3Z/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:33:38.069108,2020-09-30 04:33:47.379688,Natalia,Clothing & Accessories,B002G9UDYG,B075QBCD3Z
8,8,8,8,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Useful and Compatible,"Travel hygienic and cosmetic bag - very good quality, great intake, very good for travel.",yes,0,5.0,https://www.amazon.ca/Lavievert-Toiletry-Accessory-Organizer-Three-layered/dp/B01ANEPZX4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:33:55.486242,2020-09-30 04:34:04.737420,Natalia,Clothing & Accessories,B002G9UDYG,B01ANEPZX4
9,9,9,9,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Cute and Comfortable,"Great fit, comfortable to wear, comfortable for baby to move, nice pattern.",yes,0,5.0,https://www.amazon.ca/Simple-Joys-Carters-2-Pack-Brother/dp/B01N40WEXJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:34:13.832743,2020-09-30 04:34:23.092582,Natalia,Clothing & Accessories,B002G9UDYG,B01N40WEXJ
10,10,10,10,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Expected Quality,"Natural, comfortable, nice color, good fit - great t-shirt.",yes,0,5.0,https://www.amazon.ca/Awesome-Daughters-Promoted-Toddler-Lavender/dp/B071NHYL8W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:34:30.190215,2020-09-30 04:34:36.504675,Natalia,Clothing & Accessories,B002G9UDYG,B071NHYL8W
11,11,11,11,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Cute Set,"Good quality, funny look - we like it.",yes,0,5.0,https://www.amazon.ca/Scfcloth-Newborn-Brother-Clothing-Outfits/dp/B078BRQ9BR/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:34:46.599666,2020-09-30 04:34:55.849000,Natalia,Clothing & Accessories,B002G9UDYG,B078BRQ9BR
12,12,12,12,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Cool and Great,"Great jacket - nice quality, good fit, cool look. Everybody likes it!",yes,2,5.0,https://www.amazon.ca/LJYH-Trendy-Collar-Leather-Jacket/dp/B01HQA93UY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:35:03.936636,2020-09-30 04:35:13.188986,Natalia,Clothing & Accessories,B002G9UDYG,B01HQA93UY
13,13,13,13,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Warm and Pretty,"Very nicely knitted, great looking, warm hat (cap)! Just love how my granddaughter looks in it.",yes,0,5.0,https://www.amazon.ca/Mapletop-Newborn-Knitted-Winter-Hemming/dp/B06WP4PJHL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:35:21.283889,2020-09-30 04:35:29.555125,Natalia,Clothing & Accessories,B002G9UDYG,B06WP4PJHL
14,14,14,14,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Cute Pink Rabbit,Bought the coat for my youngest granddaughter - for the next winter. For now just can confirm how pretty this coat looks. Everything else I will learn next season.,yes,0,5.0,https://www.amazon.ca/Perman-Winter-Jacket-Clothes-0-9Months/dp/B076455NZ5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:35:38.633765,2020-09-30 04:35:47.887619,Natalia,Clothing & Accessories,B002G9UDYG,B076455NZ5
15,15,15,15,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",True Screen Touch Feature,"Wasn't sure if those gloves will be applicable for touch-screen gadgets, but they actually are! Look very nice, soft on touch. I am very happy I bought those gloves for my men.",yes,2,5.0,https://www.amazon.ca/Luxury-Touchscreen-Texting-Italian-Leather/dp/B07HQ3HTFH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:35:58.031176,2020-09-30 04:36:04.400429,Natalia,Clothing & Accessories,B002G9UDYG,B07HQ3HTFH
16,16,16,16,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Christmas Gift for Grandchild,Nice looking like a toy real watches became a good motivation to learn time watching and understanding.,yes,0,5.0,https://www.amazon.ca/Ouwen-Cartoon-Waterproof-Christmas-OWUSWC04/dp/B07DWQ3BZJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:36:14.513301,2020-09-30 04:36:21.775728,Natalia,Clothing & Accessories,B002G9UDYG,B07DWQ3BZJ
17,17,17,17,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Gift for Friend,"My friend dreamed to have little elegant handbag of red color as nice provocative accent accessory, so I bought this one. She was just happy! She uses it and loves.",yes,0,5.0,https://www.amazon.ca/Ansee-Crossbody-Leather-Bowknot-Shoulder/dp/B0735D596N/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:36:30.877282,2020-09-30 04:36:39.134109,Natalia,Clothing & Accessories,B002G9UDYG,B0735D596N
18,18,18,18,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",For the 1st Birthday,"Great quality, nice funny look, hope will fit well when the birthday arrives.",yes,0,5.0,https://www.amazon.ca/Awesome-Looks-Birthday-Bodysuit-months/dp/B01DPGLXU6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:36:48.234798,2020-09-30 04:36:56.534712,Natalia,Clothing & Accessories,B002G9UDYG,B01DPGLXU6
19,19,19,19,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Necessary Part of Girls' Clothes,"Good quality, nice colors, great fit - I really like the product.",yes,0,5.0,https://www.amazon.ca/Trimfit-Girls-Microfiber-Tights-3-Pack/dp/B00XAQE9UI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:37:04.630244,2020-09-30 04:37:11.961454,Natalia,Clothing & Accessories,B002G9UDYG,B00XAQE9UI
20,20,20,20,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Necessary Part of Girls Clothes,"Good fit, expected quality, rich color - I am very satisfied.",yes,0,5.0,https://www.amazon.ca/MOOCHI-Girls-Footed-Opaque-Tights/dp/B01E9XBLA6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:37:21.048787,2020-09-30 04:37:30.356171,Natalia,Clothing & Accessories,B002G9UDYG,B01E9XBLA6
21,21,21,21,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",PJ Masks Absession,"Very good quality, cotton pajamas in favorite theme - PJ Masks - was a great joy for my granddaughter.",yes,0,5.0,https://www.amazon.ca/Masks-2-Piece-Cotton-Pajamas-Jogger/dp/B07944Y4LX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:37:38.445159,2020-09-30 04:37:44.750704,Natalia,Clothing & Accessories,B002G9UDYG,B07944Y4LX
22,22,22,22,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Great Party Costumes,PJ Masks Birthday party was more completed with applied costumes. Price appeared to be more than affordable.,yes,0,5.0,https://www.amazon.ca/Superhero-Costume-Bracelets-Children-Characters/dp/B078DV4RZ3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:37:51.850437,2020-09-30 04:37:59.121084,Natalia,Clothing & Accessories,B002G9UDYG,B078DV4RZ3
23,23,23,23,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Great Christmas Surprise for Parents,Parents were happy to get for their baby 1st Christmas memory present.,yes,0,5.0,https://www.amazon.ca/Personalized-Babys-Christmas-Photo-Ornament/dp/B07D5KDHN5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:38:07.315389,2020-09-30 04:38:16.771574,Natalia,Clothing & Accessories,B002G9UDYG,B07D5KDHN5
24,24,24,24,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",My Husband Likes It,Bought it for my husband - he has no complaints.,yes,0,5.0,https://www.amazon.ca/SanDisk-Ultra-microSDXC-Adapter-SDSQUAR-200G-GN6MA/dp/B073JY5T7T/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:38:25.896839,2020-09-30 04:38:33.401678,Natalia,Clothing & Accessories,B002G9UDYG,B073JY5T7T
25,25,25,25,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Nice Gift for Travelling Granddaughter,"Light, waterproof, my granddaughter's favorite color - hope she will like it on her spring vacation trip.",yes,0,5.0,https://www.amazon.ca/ZOMAKE-Waterproof-Lightweight-Packable-UltraLight/dp/B01DNGEQT8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:38:43.514182,2020-09-30 04:38:51.956893,Natalia,Clothing & Accessories,B002G9UDYG,B01DNGEQT8
26,26,26,26,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Big Deal for Air Travels,"I bought this backpack for air-trip and was more than satisfied: very light itself, it accepts a lot of stuff, comfortably hanging at my shoulders and back, not taking too much place at airplane. Highly recommend for travel.",yes,0,5.0,https://www.amazon.ca/AmazonBasics-Ultralight-Packable-Pack-Orange/dp/B01AIVTGJG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:39:01.172907,2020-09-30 04:39:10.584645,Natalia,Clothing & Accessories,B002G9UDYG,B01AIVTGJG
27,27,27,27,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Socks You May Trust,"Great quality, breathable, classic pattern - my men just love them.",yes,0,5.0,https://www.amazon.ca/Sakkas-Cotton-Blend-Ribbed-6-Pack/dp/B016LHN0VQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:39:18.685603,2020-09-30 04:39:26.113120,Natalia,Clothing & Accessories,B002G9UDYG,B016LHN0VQ
28,28,28,28,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Cute and Warm,"Great pajamas for little baby: all natural, easy to wear, not limiting baby's movement, have nice pattern.",yes,0,5.0,https://www.amazon.ca/Simple-Joys-Carters-2-Pack-Cotton/dp/B01MRKF5UX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:39:36.253683,2020-09-30 04:39:43.717337,Natalia,Clothing & Accessories,B002G9UDYG,B01MRKF5UX
29,29,29,29,AEB7II6GI7OMZLHH6MQEWTSF36WA,"February 11, 2019",Comfortable and Convenient,Good quality socks easy to use for serious dress code and for casual clothes also.,yes,0,5.0,https://www.amazon.ca/Dockers-Classics-Dress-Dobby-Socks/dp/B00GJ8DOGE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:39:52.821918,2020-09-30 04:39:59.106687,Natalia,Clothing & Accessories,B002G9UDYG,B00GJ8DOGE
