,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"December 13, 2019",Classic,"Always a great touque! Good price, well made and shipped fast!",yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:24:24.001615,2020-09-29 18:24:30.381854,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002G9UDYG
1,1,1,1,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"December 13, 2019",Great value!,"These are great and the quantity for the price is awesome! They are bigger than most disposable cotton pads so it just takes a bit of getting used to. The soft side is super smooth and the exfoliating side is not too rough. Overall, great product!",yes,0,4.0,https://www.amazon.ca/Reusable-Bamboo-Makeup-Remover-Laundry/dp/B07P8BQ97L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:24:39.492391,2020-09-29 18:24:47.900871,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07P8BQ97L
2,2,2,2,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"February 12, 2019",Great gift idea,"After reviewing the top heating pads of 2019 (this being #1) I bought it as a gift. Gets hot on the lowest setting very quickly. So far no complaints.
Update: The heating pad broke after 2 days. Stopped working. Hence the 1 star.",no,0,1.0,https://www.amazon.ca/Heating-Shoulder-Electric-Adbominal-Function/dp/B07H8Y8L84/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:24:55.001147,2020-09-29 18:25:01.367577,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07H8Y8L84
3,3,3,3,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"January 31, 2019",The best!,This is the best foot cream ever!,yes,2,5.0,https://www.amazon.ca/Gehwol-GEHWOL-Blue-2-6-oz/dp/B000KOSBQG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:25:08.474254,2020-09-29 18:25:15.957858,Amazon Customer,Clothing & Accessories,B002G9UDYG,B000KOSBQG
4,4,4,4,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"January 31, 2019",Great product!,"Love that this product is natural and safe for my child, love the subtle natural smell.",yes,0,5.0,https://www.amazon.ca/Sun-Bum-Ultra-Gentile-Hypoallergenic-Dermatologist/dp/B07D16PKD5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:25:23.067946,2020-09-29 18:25:30.493022,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07D16PKD5
5,5,5,5,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"January 31, 2019",Classic,Great movie,yes,0,5.0,https://www.amazon.ca/Sleeping-Beauty-2-Disc-Platinum-Costa/dp/B0013ND30M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:25:37.600729,2020-09-29 18:25:47.039835,Amazon Customer,Clothing & Accessories,B002G9UDYG,B0013ND30M
6,6,6,6,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"January 31, 2019",Great Natural Product for kids,"We buy this all the time, love what the honest company is all about!",yes,0,5.0,https://www.amazon.ca/Honest-Company-Conditioning-detangler-vanilla/dp/B01GIOCGVC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:25:56.137809,2020-09-29 18:26:04.563050,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01GIOCGVC
7,7,7,7,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"January 31, 2019",Great gift,"Bought on amazon prime as it was cheaper than Walmart. Given as a gift, they love them. Great sound",yes,0,5.0,https://www.amazon.ca/Skullcandy-Bluetooth-Headphones-Microphone-Rechargeable/dp/B00NCSIN4W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:26:11.674158,2020-09-29 18:26:21.110506,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00NCSIN4W
8,8,8,8,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"January 31, 2019",Classic,"Great book, love sharing stories with my daughter that I grew up reading",yes,0,5.0,https://www.amazon.ca/Little-Mermaid-Disney-Princess/dp/0736421777/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:26:31.218849,2020-09-29 18:26:37.592121,Amazon Customer,Clothing & Accessories,B002G9UDYG,0736421777
9,9,9,9,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"January 31, 2019",Great gift!,"Bought as a gift, fits well",no,0,5.0,https://www.amazon.ca/Football-Feeling-Dangerous-Sleeve-Tshirt/dp/B07KWNHKW1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:26:44.709480,2020-09-29 18:26:51.125099,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07KWNHKW1
10,10,10,10,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"January 31, 2019",Great Quality,"Exactly as pictured, great quality, easy assembly. There was one small scratch but because it’s for shoes it’s ok. Love the colour and very durable!",yes,2,5.0,https://www.amazon.ca/Down-Under-Grey-Tier-Storage/dp/B076GRNB6Z/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:27:00.222370,2020-09-29 18:27:09.638123,Amazon Customer,Clothing & Accessories,B002G9UDYG,B076GRNB6Z
11,11,11,11,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"December 28, 2018",Great quality for the a great price,Love this hat. Won’t fit my 4-year old for long though.,yes,0,5.0,https://www.amazon.ca/Carhartt-Youth-Toddler-Acrylic-Raspberry/dp/B017DZ30GK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:27:19.755466,2020-09-29 18:27:28.175387,Amazon Customer,Clothing & Accessories,B002G9UDYG,B017DZ30GK
12,12,12,12,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"December 28, 2018",Classic,"Brand new, fast shipping. Great classic movie",yes,0,5.0,https://www.amazon.ca/Little-Mermaid-Blu-ray-Region-Free/dp/B00DAVODAY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:27:36.281009,2020-09-29 18:27:42.668571,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00DAVODAY
13,13,13,13,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"September 15, 2018",Great shirt!,"Exactly as pictured. True to size, fast shipping!
Great quality!",yes,0,5.0,https://www.amazon.ca/Tee-Luv-Kawasaki-Shirt-Motorcycle/dp/B00CXXIF4U/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:27:50.782362,2020-09-29 18:27:59.235565,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00CXXIF4U
14,14,14,14,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"November 29, 2017",Great deal! True to size!,"Fast shipping! Great quality for the price! Wedding band 10.5, ordered silicone bands 10.5-11 and fit perfect!",yes,0,5.0,https://www.amazon.ca/Silicone-Wedding-DoerDo-Durable-Couple/dp/B073STMB5L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:28:07.343011,2020-09-29 18:28:16.758231,Amazon Customer,Clothing & Accessories,B002G9UDYG,B073STMB5L
15,15,15,15,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"September 30, 2017",great value for the amount of product,"Shipped within two days, great value for the amount of product!",yes,0,5.0,https://www.amazon.ca/Optimox-Iodoral-Potency-Potassium-Supplement/dp/B000X843VG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:28:25.881742,2020-09-29 18:28:34.296776,Amazon Customer,Clothing & Accessories,B002G9UDYG,B000X843VG
16,16,16,16,AEFDKSTEJA7CBLQUI3DZ5FS47MQQ,"June 12, 2016",No other sleep sac compares,The BEST sleep accessory you can buy!,yes,0,5.0,https://www.amazon.ca/Halo-Innovations-SleepSack-Walker-Micro-Fleece-Ladybug/dp/B00SYFCTIO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 18:28:42.394121,2020-09-29 18:28:50.875411,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00SYFCTIO
