,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"June 9, 2020",Good,It's a small but good.,yes,One,4.0,https://www.amazon.ca/Sharp-Calculators-EL-244WB-Business-Calculator/dp/B01N7D3FLT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:21:39.372086,2020-09-30 04:21:45.684825,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B01N7D3FLT
1,1,1,1,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Good,Warm and good price,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:21:54.778784,2020-09-30 04:22:03.045042,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B002G9UDYG
2,2,2,2,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Good,Good,yes,0,4.0,https://www.amazon.ca/Casio-Classic-Black-Digital-F91W-1/dp/B000GAWSDG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:22:10.135989,2020-09-30 04:22:17.354205,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B000GAWSDG
3,3,3,3,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Not recommended,It's ok,yes,0,3.0,https://www.amazon.ca/LJY-Inches-Thickened-Jewelry-Inspection/dp/B01N5J5E1B/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:22:26.444283,2020-09-30 04:22:33.729514,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B01N5J5E1B
4,4,4,4,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Not good,"Easy to break
Waste money",yes,0,1.0,https://www.amazon.ca/CrazyLemon-Electroplating-Protection-Kickstand-Protective/dp/B07CJ6WMBM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:22:41.824681,2020-09-30 04:22:50.104606,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B07CJ6WMBM
5,5,5,5,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Good,Very warm,yes,0,5.0,https://www.amazon.ca/Carhartt-Waterproof-Insulated-Glove-Medium/dp/B005I33OWU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:22:57.187584,2020-09-30 04:23:06.443539,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B005I33OWU
6,6,6,6,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Very good,It's comfort and safety,yes,0,5.0,https://www.amazon.ca/Rabbitgoo-Harness-Adjustable-Outdoor-Material/dp/B01MEG2Q7P/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:23:15.539509,2020-09-30 04:23:23.803081,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B01MEG2Q7P
7,7,7,7,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Very good,Good for small dog too,yes,0,1.0,https://www.amazon.ca/Maxpower-Planet-Traffic-Greater-Training/dp/B0749K8SMT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:23:33.896795,2020-09-30 04:23:41.149013,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B0749K8SMT
8,8,8,8,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Very good,It's good for sensitive skin,yes,0,5.0,https://www.amazon.ca/Simple-Cleansing-Facial-Wipes-Count/dp/B00BOUPUW8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:23:49.246982,2020-09-30 04:23:55.516414,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B00BOUPUW8
9,9,9,9,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,"December 6, 2019",Good,It's simple and warm,yes,0,4.0,https://www.amazon.ca/Touchscreen-Texting-Leather-Cashmere-Windproof/dp/B077Z214VX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:24:04.616701,2020-09-30 04:24:12.882145,Jung Sook Cho,Clothing & Accessories,B002G9UDYG,B077Z214VX
