,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"August 5, 2020",Great Value,Great value for a pack of AAA! I only recently purchased so cannot comment on longevity.,yes,0,5.0,https://www.amazon.ca/AmazonBasics-Performance-Alkaline-Batteries-20-Pack/dp/B00NTCHCU2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:04:53.530386,2020-09-19 02:05:02.768875,Abigail,Clothing & Accessories,B002G9UDYG,B00NTCHCU2
1,1,1,1,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"July 28, 2020",Great!,"Easy to install, super bright! Will update in the future regarding longevity.",yes,0,5.0,https://www.amazon.ca/SiriusLED-Extremely-Chipset-Interior-Courtesy/dp/B0186P1MUW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:05:12.863203,2020-09-19 02:05:20.167453,Abigail,Clothing & Accessories,B002G9UDYG,B0186P1MUW
2,2,2,2,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"July 28, 2020",Life Saver,Amazing product! Immediately made a difference! My son's room has the most sun and was the warmest in the house - even with thermal insulated blackout curtains! But this makes it the coolest upstairs room now!,yes,0,5.0,https://www.amazon.ca/AC-Infinity-Register-Thermostat-Registers/dp/B07H8R5G1W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:05:30.261808,2020-09-19 02:05:38.557073,Abigail,Clothing & Accessories,B002G9UDYG,B07H8R5G1W
3,3,3,3,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"July 19, 2020",Amazing Set!,"My son loves it!

I did not read the description before purchasing (woops!) But it was a pleasant surprise that the comforter is reversible! My son loves the soft plushy side for sleeping under, and the typical comfort on top. Great quality, especially for the price!",yes,0,5.0,https://www.amazon.ca/Disney-42713-311-TDST-TOYS-Story-3-Piece-Toddler/dp/B07WZZ6ZSC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:05:46.648927,2020-09-19 02:05:55.931042,Abigail,Clothing & Accessories,B002G9UDYG,B07WZZ6ZSC
4,4,4,4,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"February 7, 2020",Great!,"So far so good!
My son loves his. It's his first bigger-boy cup (no handles).
It's been thrown and dropped countless times, no issues yet!
Good price for 2 large cups as well.",yes,0,5.0,https://www.amazon.ca/Philips-SCF792-21-Cup-10oz-Double/dp/B01M6C0KET/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:06:03.023198,2020-09-19 02:06:12.329117,Abigail,Clothing & Accessories,B002G9UDYG,B01M6C0KET
5,5,5,5,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"January 23, 2020",Amazing!,"Got it with Prime Shipping in 2 days! It was already on sale and had a $50, so the price really couldn't be beat! I had never purchased a mattress before. This is my first new one. I was a little worried ""What if I hate it"" or ""Will it be uncomfortable?"" But OMG. First night on it after years of a supremely lumpy, hard mattress was amazing. I almost called in sick to work just to pay in it some more. I love this mattress already and it's a fantastic value!",yes,12,5.0,https://www.amazon.ca/BedStory-Mattress-Memory-Hybrid-Pocketed/dp/B07WD5YD46/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:06:22.418982,2020-09-19 02:06:28.733539,Abigail,Clothing & Accessories,B002G9UDYG,B07WD5YD46
6,6,6,6,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"December 15, 2019",Great for Warm Weather,Great stroller but not fantastic in any snow or slush. Still fantastic for the price and storage! Super easy to use.,yes,0,4.0,https://www.amazon.ca/Summer-Infant-Convenience-Stroller-Heather/dp/B01NAG3OIF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:06:35.831183,2020-09-19 02:06:44.082532,Abigail,Clothing & Accessories,B002G9UDYG,B01NAG3OIF
7,7,7,7,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"December 15, 2019",Great Slouch Style,"Nice quality and warm! However, it was more of a slouch style.",yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:06:54.174728,2020-09-19 02:07:03.454107,Abigail,Clothing & Accessories,B002G9UDYG,B002G9UDYG
8,8,8,8,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"July 28, 2019",Best idea yet!,"Love it! My car doesn't have vents in the back and my son was sweating buckets while I was driving in Antarctica. Only hiccup is the remote needs doesn't have a good range, so when driving I have to reach in the back quite a bit and point to the mirror to get it to go again. A little longer range as my car is a normal size car would make this perfect for all!",yes,0,5.0,https://www.amazon.ca/BRICA-Breeze-Baby-Sight-Mirror/dp/B07B94419M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:07:12.542823,2020-09-19 02:07:20.809231,Abigail,Clothing & Accessories,B002G9UDYG,B07B94419M
9,9,9,9,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"June 6, 2019",Didn't Work,"Had mice in my new apartment. Installed these. Landlord also had pest control comez so I'm not entirely sure if these helped or not.

I bought them in the beginning of May. No reduction in spiders and now we're having ant problems. I have all 4 plugged in. My apartment is only 1000sq ft. I shouldn't be having problems. Unfortunately they don't seem to work for me.",yes,2,2.0,https://www.amazon.ca/Ultrasonic-Pest-Repeller-4-Pack-Plug/dp/B07MHYTCHT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:07:28.901047,2020-09-19 02:07:35.173679,Abigail,Clothing & Accessories,B002G9UDYG,B07MHYTCHT
10,10,10,10,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"May 3, 2019",Great and easy,"Great quality vinyl. Super easy to wipe down. Just bring outside for a shake, or vacuum thgle crumbs up. It's currently saving my carpet from my 10 month old!",yes,0,5.0,https://www.amazon.ca/Prince-Lionheart-Protective-Orange-Chevron/dp/B016MPQEZQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:07:43.268711,2020-09-19 02:07:52.547123,Abigail,Clothing & Accessories,B002G9UDYG,B016MPQEZQ
11,11,11,11,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"January 27, 2019",Great,Looks great. Came quick,yes,0,5.0,https://www.amazon.ca/Heaven-BK-212-Signature-Miniature-Replica/dp/B00GXTURHI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:08:01.638195,2020-09-19 02:08:10.855942,Abigail,Clothing & Accessories,B002G9UDYG,B00GXTURHI
12,12,12,12,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"January 27, 2019",Great Value,"Works great. Even came with a spare, brighter white light. Instructions made it super simple. Will purchase again",yes,0,5.0,https://www.amazon.ca/Premium-Interior-Lights-Package-Pieces/dp/B00I9TMVEM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:08:19.951646,2020-09-19 02:08:26.212920,Abigail,Clothing & Accessories,B002G9UDYG,B00I9TMVEM
13,13,13,13,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"January 27, 2019",Cleanest Clean,"Love this. Now the bottom of my dish drying rack won't get all grimy and gross! Just dump the excess water, give it a good rinse sometimes, and it's always in new condition",yes,0,5.0,https://www.amazon.ca/Umbra-Dish-Drying-Rack-White/dp/B008R52OG8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:08:35.306470,2020-09-19 02:08:44.565751,Abigail,Clothing & Accessories,B002G9UDYG,B008R52OG8
14,14,14,14,AEJ5LNEVGV3VO7X2LIUEUI2GLJXA,"January 27, 2019",Great,Easy to use. Works great.,yes,0,5.0,https://www.amazon.ca/Salton-JK1641B-Cordless-Kettle-Black/dp/B01MRRI6IA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:08:54.655021,2020-09-19 02:09:01.922447,Abigail,Clothing & Accessories,B002G9UDYG,B01MRRI6IA
