,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"September 15, 2020","Not the worst, not the best.",Fabric is pretty blurry. Definitely not worth how how much they’re charging. Gave it a 3 star because it shipping faster then it was supposed to and the cactus jack logo wasn’t blurry. Would’ve been a 2 star if it didn’t ship earlier then expected. Overall it’s alright.,yes,0,3.0,https://www.amazon.ca/Noick-Travis-Scott-Microfiber-Decoration/dp/B07WZGMJTP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:47:27.439630,2020-09-29 17:47:36.713073,Zario,Clothing & Accessories,B002G9UDYG,B07WZGMJTP
1,1,1,1,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"August 18, 2020",Definitely worth the buy if you need bowls,The bowl itself lasts an extremely long time and they’re a great value for the money but if you drop it once the side handle piece will fall off. The handle is the only problem but then again when it comes off it looks sleeker anyways,yes,0,5.0,https://www.amazon.ca/Handmade-Water-Bottle-Holder-Friend/dp/B07WLCT4LJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:47:46.790433,2020-09-29 17:47:55.068941,Zario,Clothing & Accessories,B002G9UDYG,B07WLCT4LJ
2,2,2,2,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"August 18, 2020",I’ve seen paper clips more sturdy,"Turned colours after a hour of wearing it. I sucked it up and kept it on but it broke later that day. I went to fix it myself, and I did but then it broke again. Also lock is not actually a lock.",yes,One,1.0,https://www.amazon.ca/Krun-Necklace-Pendant-Necklaces-Multilayer/dp/B07PS8HVWP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:48:02.156283,2020-09-29 17:48:09.430113,Zario,Clothing & Accessories,B002G9UDYG,B07PS8HVWP
3,3,3,3,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"August 18, 2020",I like em,They’re premium quality and look nice too just go up a size,yes,0,5.0,https://www.amazon.ca/uxcell%C2%AE-Casual-Pocket-Front-Tapered/dp/B00D1H02U2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:48:17.524123,2020-09-29 17:48:25.792387,Zario,Clothing & Accessories,B002G9UDYG,B00D1H02U2
4,4,4,4,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"August 18, 2020",Doesn’t work,Doesn’t do it’s job properly so I just made it a pillow,yes,0,3.0,https://www.amazon.ca/Door-Draught-Excluder-Herringbone-Pattern/dp/B071CVBS2M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:48:32.885831,2020-09-29 17:48:42.129596,Zario,Clothing & Accessories,B002G9UDYG,B071CVBS2M
5,5,5,5,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"August 18, 2020",Laughable,Pants are horrible quality. Material is about as thick as paper. If you really want them go 4-5 sizes up because I went 3 sizes up and they were still extremely tight on me,yes,0,1.0,https://www.amazon.ca/HANGJIA-Lattice-Joggers-Stretch-Scottish/dp/B07GMH99LL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:48:49.229054,2020-09-29 17:48:56.538675,Zario,Clothing & Accessories,B002G9UDYG,B07GMH99LL
6,6,6,6,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"May 24, 2020",Meh,"Not a quality watch, it is what it is.",yes,0,2.0,https://www.amazon.ca/Yiyaqeanca-Leisure-Casual-Wristwatch-Movement/dp/B085HC4MCJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:49:03.633838,2020-09-29 17:49:11.894994,Zario,Clothing & Accessories,B002G9UDYG,B085HC4MCJ
7,7,7,7,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"May 24, 2020",Didn’t let me cancel my order now I’m stuck with it,"Order was purchased by mistake. Not even a hour later I realize I accidentally ordered it, yet it wouldn’t let me cancel the item. Not even 60 minutes later. Plus if I’d want to return the product I’d have to pay for it to be shipped back (plus the shipping I payed for it to get to me) meaning if I returned it I’d be getting $4 back. I’d rather have some ball of cheap plastic I’ll never use then waste my time just for $4",yes,0,1.0,https://www.amazon.ca/Kaytee-Run-About-Hamster-Exercise-Ball/dp/B0002AS8Q6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:49:19.986606,2020-09-29 17:49:26.266522,Zario,Clothing & Accessories,B002G9UDYG,B0002AS8Q6
8,8,8,8,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"May 16, 2020",They’re alrigjt,I mean they’re alright. Fits extremely small so go like 2-3 sizes up. Material is pretty cheap but it’s whatever. I like the look of em but definitely not gonna last long,yes,0,3.0,https://www.amazon.ca/Astellarie-Multi-Pockets-Fashion-Joggers-Drawstring/dp/B0833NWXFG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:49:35.359592,2020-09-29 17:49:44.628779,Zario,Clothing & Accessories,B002G9UDYG,B0833NWXFG
9,9,9,9,AEJEBBRJZQ3CRKJVIICNBFZJC7BQ,"May 10, 2020",Meh,"Expected it to be bigger. Looks like a hair elastic, smaller then one actually. Not worth the buy",yes,0,2.0,https://www.amazon.ca/ChainsHouse-1-5mm-Plated-Italian-Bracelet/dp/B07S8VG562/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 17:49:54.729638,2020-09-29 17:50:03.993952,Zario,Clothing & Accessories,B002G9UDYG,B07S8VG562
