,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"July 24, 2020",Easy to use,"This small pepper mill works great. I like the size, it's perfect for a home kitchen.",yes,0,5.0,https://www.amazon.ca/Pepper-Manual-Grinder-Adjustable-Ceramic/dp/B0749J8LYR/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:20:13.692036,2020-09-30 01:20:21.053759,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B0749J8LYR
1,1,1,1,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"July 24, 2020",A great addition for video recording,"This will help a lot when you are recording a video with some narration or voice too. It has a long cord and extension as well, so you can put your camera/phone a bit far away from you",yes,0,5.0,https://www.amazon.ca/Professional-Microphone-Omnidirectional-Recording-Conference/dp/B01AG56HYQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:20:30.157271,2020-09-30 01:20:36.434053,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B01AG56HYQ
2,2,2,2,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"July 24, 2020",nice storage boxes,"I bought them to organize clothes, and their size was perfect for the closet. the thickness of the walls are not too thin compared to those dollar store products.",yes,0,5.0,https://www.amazon.ca/IRIS-TB-42-Quart-Multi-Purpose-Storage/dp/B07PK1CTF6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:20:43.521687,2020-09-30 01:20:49.920752,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B07PK1CTF6
3,3,3,3,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"July 24, 2020",A tripod mount and grip in one,"I was looking for a tripod mount and grip for S9. I purchased another mount then found this one, so I returned another one and bought this.

It has nice rubber pads to hold the phone tight, and I like how it holds the phone as well. It takes time to turn the knob for my S9 with a bulky waterproof case, but I prefer this because I don't trust springs would last long.

The grip is a bit small, and this is my only complaint. I could remove the grip as well if I'm looking for a real nice grip but why would I pay more?",yes,0,5.0,https://www.amazon.ca/Neewer-Smartphone-Filmmaker-Adjustable-Photography/dp/B071GTSH4Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:20:58.024479,2020-09-30 01:21:05.345699,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B071GTSH4Q
4,4,4,4,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"July 24, 2020",A great small tripod that has flexible legs,"I was looking for a small flexible tripod for a phone, and this one is perfect. The legs are flexible but sturdy enough, have rubber coating to hold onto slippery surfaces. When the legs are straightened, it also holds the weight of my phone, waterproof phone case, tripod mount as well.",yes,0,5.0,https://www.amazon.ca/Portable-Adjustable-Wireless-Universal-Rotating/dp/B08884SLQS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:21:15.435186,2020-09-30 01:21:21.681936,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B08884SLQS
5,5,5,5,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"July 24, 2020",A really nice waterproof case for S9,"The other waterproof case got a crack and water was always leaked.

I found this case is better because there is no hole for the front camera, speaker so there is not a chance to get leaked. The bumper is not made of hard material, so I see this would not really get cracked either. It didn't interfere the touch and has a wrist strap so I really love this one.",yes,0,5.0,https://www.amazon.ca/Waterproof-Full-Body-Protective-Shockproof-Underwater/dp/B07C3LTX57/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:21:31.799359,2020-09-30 01:21:40.216330,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B07C3LTX57
6,6,6,6,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"January 29, 2020",my kid likes it,she complains that this doesn't have nice cushions or pads but she is happy that something can support her head when we are on the road,yes,8,5.0,https://www.amazon.ca/Dreamsoule-Adjustable-Headrest-Support-Resting/dp/B07VGPQCCN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:21:47.306127,2020-09-30 01:21:55.592520,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B07VGPQCCN
7,7,7,7,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"January 29, 2020",one of the best 12v outlets,"I've been purchasing many 12 outlets because of multiple devices we use in the car, but they were all very unreliable.

I really like how thick and long the cable is, and also the plug is 90 degree angeled so that we won't accidentally smash it and damage the product.",yes,0,5.0,https://www.amazon.ca/Charger-CHGeek-3-Socket-Cigarette-Splitter/dp/B0721DYG7X/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:22:03.680155,2020-09-30 01:22:11.953185,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B0721DYG7X
8,8,8,8,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"January 29, 2020",It fits just right,"I broke the handle because I pulled it too hard when it was freezing cold and the door got stuck. Then I purchased this, replaced it with a new one by myself. It works great!",yes,0,5.0,https://www.amazon.ca/Honda-72640-TK8-A02-Handle-Assembly-Exterior/dp/B00LBD2378/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:22:20.037423,2020-09-30 01:22:27.401086,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B00LBD2378
9,9,9,9,AEPVJRHZJFLVI7TPG7ATA77AS5QQ,"January 29, 2020",my first bluetooth headphones,"not the best sound quality but I am impressed for what it offers for the price. I shouldn't compare them with my studio monitoring headphones since it's just in ear headphones and also wireless.

I use them during exercises, chores, and this in ear headphones does what normal in ear wired headphones would do. for the battery life, I cannot tell it really last 7 hours because i don't turn up the volume loudly and I use them just a couple of hours a day. 3 hours of use dropped 100% to 70%.

MPOW also offers 2 years extended warranty, so it's a pretty great deal.",yes,0,5.0,https://www.amazon.ca/Mpow-Bluetooth-Headphones-Sweatproof-Cancellation/dp/B075XFBXB5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:22:36.501294,2020-09-30 01:22:44.934669,Gunwoo Gim,Clothing & Accessories,B002G9UDYG,B075XFBXB5
