,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"June 4, 2020",Garbage,Garbage..... just received the product and literally broke on the rep used... amazon web page said will not return because it’s over 30 days....took almost 2 months it get here... again garbage... buying local next time,yes,0,1.0,https://www.amazon.ca/SoloVie-Resistance-Stackable-Workout-Exercise/dp/B083HVR53W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:48:17.403427,2020-09-18 18:48:24.655169,Jason Landry,Clothing & Accessories,B002G9UDYG,B083HVR53W
1,1,1,1,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"November 24, 2019",fits well,"fits well, seem like the real macoy. Keeps the head warm on cold days",yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:48:32.745957,2020-09-18 18:48:42.078141,Jason Landry,Clothing & Accessories,B002G9UDYG,B002G9UDYG
2,2,2,2,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"November 24, 2019",sound,doesn't really sound like a pheasant. maybe I just cant seem to get the hang of it,yes,0,2.0,https://www.amazon.ca/Primos-342-Pheasant-Call/dp/B003U5ZG3I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:48:51.190349,2020-09-18 18:48:57.498042,Jason Landry,Clothing & Accessories,B002G9UDYG,B003U5ZG3I
3,3,3,3,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"November 24, 2019",good product,keeps my face warm in the cold NS winters,yes,0,4.0,https://www.amazon.ca/Carhartt-Force-Helmet-Liner-Country/dp/B07BN65F8K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:49:06.588115,2020-09-18 18:49:12.882301,Jason Landry,Clothing & Accessories,B002G9UDYG,B07BN65F8K
4,4,4,4,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"November 19, 2019",Limited ROM,Sending back..offers good support for cost but very limited rom....would be good for golf or tennis but weights or working out not ideal,yes,One,2.0,https://www.amazon.ca/dp/B07WGWHY9V/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:49:22.980816,2020-09-18 18:49:32.240032,Jason Landry,Clothing & Accessories,B002G9UDYG,B07WGWHY9V
5,5,5,5,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"October 18, 2019",Decent product,"Decent product. Works good, a bit flimsy, we will see how long it lasts",yes,0,4.0,https://www.amazon.ca/Sillosocks-Flapping-Canada-Goose-Decoy/dp/B001COUT68/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:49:39.331011,2020-09-18 18:49:48.664949,Jason Landry,Clothing & Accessories,B002G9UDYG,B001COUT68
6,6,6,6,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"October 18, 2019",Great product,Great product left a lasting shine,yes,0,5.0,https://www.amazon.ca/Chemical-Guys-WAC_201_16-Vintage-Butter/dp/B00FALVU8A/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:49:57.753464,2020-09-18 18:50:06.998585,Jason Landry,Clothing & Accessories,B002G9UDYG,B00FALVU8A
7,7,7,7,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"August 28, 2019",Works well,Excellent product works as described,yes,0,5.0,https://www.amazon.ca/Elastic-Mattress-Grippers-Suspender-Fasteners/dp/B01MXGVJ51/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:50:14.091241,2020-09-18 18:50:22.369255,Jason Landry,Clothing & Accessories,B002G9UDYG,B01MXGVJ51
8,8,8,8,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"July 23, 2019",Great product,"Great chalk, does make a huge mess, stays on the hand welll",yes,0,5.0,https://www.amazon.ca/Fitness-Block-Chalk-White-1-Pound/dp/B00L5HZD40/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:50:32.460392,2020-09-18 18:50:39.711651,Jason Landry,Clothing & Accessories,B002G9UDYG,B00L5HZD40
9,9,9,9,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"July 23, 2019",Good quality straps,"Strong wraps, thumb holes feel a bit weak but over all a good stiff strap",yes,0,4.0,https://www.amazon.ca/Grizzly-Fitness-8663L-04-Heavy-20-Inch/dp/B00MBEBF34/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:50:49.801959,2020-09-18 18:50:59.062929,Jason Landry,Clothing & Accessories,B002G9UDYG,B00MBEBF34
10,10,10,10,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"July 6, 2019",Didn’t work,Didn’t work returned,yes,0,1.0,https://www.amazon.ca/dp/B00FFY2QWQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:51:07.151830,2020-09-18 18:51:13.402120,Jason Landry,Clothing & Accessories,B002G9UDYG,B00FFY2QWQ
11,11,11,11,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"July 6, 2019",Excellent product,Excellent product. Keep the flies away from my head...you do need a hat on to use,yes,0,4.0,https://www.amazon.ca/eBoot-Outdoor-Lovers-Protect-Mosquito/dp/B072JXW8Q3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:51:20.492797,2020-09-18 18:51:29.760322,Jason Landry,Clothing & Accessories,B002G9UDYG,B072JXW8Q3
12,12,12,12,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"July 6, 2019",Returned,Ran out to juice in less than an hour,no,0,1.0,https://www.amazon.ca/Bluetooth4-1-Headphones-Earphones-Lightweight-Sweatproof/dp/B07HJXLQ8G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:51:36.850007,2020-09-18 18:51:44.126865,Jason Landry,Clothing & Accessories,B002G9UDYG,B07HJXLQ8G
13,13,13,13,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"July 6, 2019",Excellent product,Excellent products. Bought to get crave tv but use it for a lot more,yes,0,5.0,https://www.amazon.ca/Fire-TV-Stick-with-All-New-Alexa-Voice-Remote/dp/B0791Z1G6W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:51:52.218857,2020-09-18 18:51:59.509354,Jason Landry,Clothing & Accessories,B002G9UDYG,B0791Z1G6W
14,14,14,14,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"July 6, 2019",Good product,Offers good support for my planters facia for running and lifting weights,yes,One,4.0,https://www.amazon.ca/Beister-Compression-Fasciitis-Recovery-Achilles/dp/B07Q566KRM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:52:08.601309,2020-09-18 18:52:14.905393,Jason Landry,Clothing & Accessories,B002G9UDYG,B07Q566KRM
15,15,15,15,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"July 6, 2019",Excellent item,"Appears we’ll build, functions well",yes,0,5.0,https://www.amazon.ca/Anezus-Retractable-Holder-Keychain-Keycard/dp/B07NTBM5QQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:52:21.994735,2020-09-18 18:52:30.242009,Jason Landry,Clothing & Accessories,B002G9UDYG,B07NTBM5QQ
16,16,16,16,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"April 3, 2019",DECENT PRODUCT,HAD SOME INK MARKING ON ONDE SIDE MAKING IT UNUSUABLE ON THE SIDE,yes,0,3.0,https://www.amazon.ca/Realeather-Crafts-Suede-Piece-Medium/dp/B004L6GAY4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:52:40.335005,2020-09-18 18:52:48.705904,Jason Landry,Clothing & Accessories,B002G9UDYG,B004L6GAY4
17,17,17,17,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"April 3, 2019",works well,"works well, used for texas rigging my duck decoys",yes,0,4.0,https://www.amazon.ca/Hi-Seas-Double-Barrel-Sleeves-Millimeter/dp/B000ALC6KG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:52:57.799267,2020-09-18 18:53:07.067503,Jason Landry,Clothing & Accessories,B002G9UDYG,B000ALC6KG
18,18,18,18,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"April 3, 2019",good product,good product fast delivery and as advertised,yes,0,4.0,https://www.amazon.ca/Six-Star-Protein-Powder-Chocolate/dp/B00HHYFPPM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:53:16.149277,2020-09-18 18:53:25.380511,Jason Landry,Clothing & Accessories,B002G9UDYG,B00HHYFPPM
19,19,19,19,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"March 21, 2019",Goood product,"Used them for my duck decoys, worked excellent",yes,0,5.0,https://www.amazon.ca/Bullet-Weights-Sinker-Pound-6-Ounce/dp/B0000AV24Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:53:32.464171,2020-09-18 18:53:40.764869,Jason Landry,Clothing & Accessories,B002G9UDYG,B0000AV24Q
20,20,20,20,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"February 12, 2019",Good product over all,"She seems to enjoy, works well, plastic handle feels cheap",no,0,4.0,https://www.amazon.ca/Female-Bullets-Random-Waterproof-Quality/dp/B07J2TXR6F/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:53:49.855784,2020-09-18 18:53:59.071953,Jason Landry,Clothing & Accessories,B002G9UDYG,B07J2TXR6F
21,21,21,21,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"February 12, 2019",Good product,"Good product, easy products to use",yes,0,4.0,https://www.amazon.ca/Accessories-Stainless-Non-stick-Springform-MIBOTE/dp/B07FZ2BDMG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:54:07.156880,2020-09-18 18:54:14.397392,Jason Landry,Clothing & Accessories,B002G9UDYG,B07FZ2BDMG
22,22,22,22,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"January 27, 2019",Feel cheap out of the box but works great,feels like cheap product but works great,yes,0,4.0,https://www.amazon.ca/JETech-2-4Ghz-Wireless-Optical-Receiver/dp/B00M48154Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:54:22.486762,2020-09-18 18:54:30.782442,Jason Landry,Clothing & Accessories,B002G9UDYG,B00M48154Q
23,23,23,23,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"January 23, 2019",works well,"for leather crafting, seems to hold together well",yes,0,4.0,https://www.amazon.ca/Seloky-Leather-Tubular-Repairing-Decoration/dp/B07B8CK5NT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:54:38.875813,2020-09-18 18:54:46.224750,Jason Landry,Clothing & Accessories,B002G9UDYG,B07B8CK5NT
24,24,24,24,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"January 23, 2019",bang on,"bang on, she seems to like it",no,0,5.0,https://www.amazon.ca/dp/B07JLMWQMY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:54:56.314784,2020-09-18 18:55:04.580919,Jason Landry,Clothing & Accessories,B002G9UDYG,B07JLMWQMY
25,25,25,25,AEPZMBRGSJA5WIFHBYBGWNRAYJMQ,"January 23, 2019",works great,"works good for the applications that I wanted it for, would like it if I could buy lots of the same colour. some of the colours I may never use",yes,0,4.0,https://www.amazon.ca/BIGTEDDY-Stitching-Dreamcatcher-Supplies-Leathercraft/dp/B07C516Z2D/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:55:14.675941,2020-09-18 18:55:23.929100,Jason Landry,Clothing & Accessories,B002G9UDYG,B07C516Z2D
