,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"September 10, 2020",Way over sized,"I ordered an extra small, I’m a size 0, they are probably a size 5-6! They are also crappy quality. Very thin.",yes,0,2.0,https://www.amazon.ca/Jumojufol-Womens-Casual-Ripped-Skinny/dp/B074487ZVM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:37:26.780679,2020-09-30 05:37:34.177806,AshAmazon,Clothing & Accessories,B002G9UDYG,B074487ZVM
1,1,1,1,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"September 3, 2020",Super cute,"Looks just like the picture, lots of room and it’s adorable",yes,0,5.0,https://www.amazon.ca/AIgogo-Backpack-Leather-Fashion-Rucksack/dp/B07FGW41VQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:37:42.342756,2020-09-30 05:37:50.720873,AshAmazon,Clothing & Accessories,B002G9UDYG,B07FGW41VQ
2,2,2,2,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"September 3, 2020",Would buy again,"Great price and quality. Super easy to put together!
Looks neat and clean",yes,0,5.0,https://www.amazon.ca/Simple-Houseware-Standard-Garment-Rack/dp/B07V584TDZ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:38:00.831352,2020-09-30 05:38:10.254398,AshAmazon,Clothing & Accessories,B002G9UDYG,B07V584TDZ
3,3,3,3,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"May 31, 2020",Came broken,It works fine but it came cracked in to places,yes,One,2.0,https://www.amazon.ca/Bracelet-Beading-Jewelry-Organiser-Design/dp/B0796LG27Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:38:19.360318,2020-09-30 05:38:26.722086,AshAmazon,Clothing & Accessories,B002G9UDYG,B0796LG27Y
4,4,4,4,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"May 31, 2020",Small but pretty,"Thought from the pictures the bulbs would be a decent size, they are much smaller than I expected. They are beautiful & I bought a second set to complete my garden",yes,0,4.0,https://www.amazon.ca/Joomer-LightsWaterproof-Lighting-Christmas-Decorations/dp/B07L86XGWJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:38:33.844134,2020-09-30 05:38:40.248747,AshAmazon,Clothing & Accessories,B002G9UDYG,B07L86XGWJ
5,5,5,5,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"April 23, 2020",LOOOOVEEE,Love them! They are authentic converse! Limited edition! I couldn’t get them on the website but amazon had them!,yes,0,5.0,https://www.amazon.ca/Converse-Batman-Chuck-Taylor-Women/dp/B07Z8H41LP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:38:49.371617,2020-09-30 05:38:58.781635,AshAmazon,Clothing & Accessories,B002G9UDYG,B07Z8H41LP
6,6,6,6,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"April 23, 2020",Love the beads,Love the beads! The elastic is not the best,yes,0,4.0,https://www.amazon.ca/NCB-Gemstone-Jewelry-Volcanic-200Beads/dp/B083TQ95YS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:39:06.886534,2020-09-30 05:39:16.327919,AshAmazon,Clothing & Accessories,B002G9UDYG,B083TQ95YS
7,7,7,7,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"April 23, 2020",Cute but uncomfortable to wear,Uncomfortable,yes,0,3.0,https://www.amazon.ca/Body-Candy-Womens-Dinosaur-Cartilage/dp/B083G4M76B/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:39:24.438079,2020-09-30 05:39:31.835297,AshAmazon,Clothing & Accessories,B002G9UDYG,B083G4M76B
8,8,8,8,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"April 16, 2020",It’s fine,A lot lighter than the picture & kind of thin.,yes,0,2.0,https://www.amazon.ca/DEERHOME-Queen-Bedding-Duvet-Marble/dp/B07SHH2PRB/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:39:40.954955,2020-09-30 05:39:50.380456,AshAmazon,Clothing & Accessories,B002G9UDYG,B07SHH2PRB
9,9,9,9,AEQ7MEADW5P7RWSVNO4HJQBJCVMA,"March 15, 2020",Won’t regret,Love! Would buy again,yes,0,5.0,https://www.amazon.ca/Echo-Dot-3rd-gen-Charcoal/dp/B07PDHT5XP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:39:57.496251,2020-09-30 05:40:04.879898,AshAmazon,Clothing & Accessories,B002G9UDYG,B07PDHT5XP
