,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AER6TG74G3NG4ILHDT55RV5P2TIA,"February 18, 2020",Highly recommended product,My baby girl seems to enjoy holding this and shaking it She is two and a half months so that can give you an idea of how young of an age they are able to grasp this She enjoys holding on to all the different sections and shoving it into her mouth,yes,0,5.0,https://www.amazon.ca/Manhattan-Toy-Winkel-Sensory-Teether/dp/B000BNCA4K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 15:59:55.612000,2020-09-18 16:00:02.911843,Simone,Clothing & Accessories,B002G9UDYG,B000BNCA4K
1,1,1,1,AER6TG74G3NG4ILHDT55RV5P2TIA,"February 18, 2020",Highly recommended,This is mess free I recommend buying a few extra cardstock pieces as it only comes with two You can pick them up at your local dollar store for a dollar just so you can do more than one print as the ink pad will let you.,yes,0,5.0,https://www.amazon.ca/Pearhead-Newborn-Handprint-Footprint-Clean-Touch/dp/B01GZP89YC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:00:10.005990,2020-09-18 16:00:17.310729,Simone,Clothing & Accessories,B002G9UDYG,B01GZP89YC
2,2,2,2,AER6TG74G3NG4ILHDT55RV5P2TIA,"February 18, 2020",Does not fit my Pandora,Worn this for a few days now It is not stamped so I am unsure if it is going to tarnish in the future it does not fit my Pandora Wear safety chain normally would It fits where the charms would go which is not ideal and not why I purchased a safety chain but overall looks nice seems durable.,yes,0,4.0,https://www.amazon.ca/Bling-Jewelry-Bouquet-Stopper-Sterling/dp/B071NWBSGT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:00:25.401737,2020-09-18 16:00:33.721717,Simone,Clothing & Accessories,B002G9UDYG,B071NWBSGT
3,3,3,3,AER6TG74G3NG4ILHDT55RV5P2TIA,"February 18, 2020",A little flimsy not as heavy as expected,"If you plan on using the clip that comes with the car seat that connects to the back of the car It is usually thread through the middle of the seat, and unfortunately this is where the seat protector is connected. The material feels good these are a little flimsy and not as heavy as expected.",yes,0,4.0,https://www.amazon.ca/Zohzo-Child-Infant-Seat-Protector/dp/B074S4NN5Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:00:42.814894,2020-09-18 16:00:52.088163,Simone,Clothing & Accessories,B002G9UDYG,B074S4NN5Q
4,4,4,4,AER6TG74G3NG4ILHDT55RV5P2TIA,"February 18, 2020",Not recommend wipes we're dry,This is the second time I've ordered this product I feel I overpaid as when the wipes came they were all dry and for $27 I would expect a high quality product The first time I was impressed the second time five out of the six bags the wipes were dry and I would not recommend this product.,yes,0,2.0,https://www.amazon.ca/Huggies-Natural-Unscented-Sensitive-Refill/dp/B07NC3732S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:01:00.176822,2020-09-18 16:01:09.460619,Simone,Clothing & Accessories,B002G9UDYG,B07NC3732S
5,5,5,5,AER6TG74G3NG4ILHDT55RV5P2TIA,"January 13, 2020",Will shrink!!,"They collect any dust or lint, as well these tend to shrink ALOT to the point they are now to small for my husband to wear, make sure you get a size up or buy anouther product",yes,One,2.0,https://www.amazon.ca/GILDAN-Assorted-T-Shirts-Multipack-2X-Large/dp/B07JCJFMMN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:01:17.553414,2020-09-18 16:01:25.924652,Simone,Clothing & Accessories,B002G9UDYG,B07JCJFMMN
6,6,6,6,AER6TG74G3NG4ILHDT55RV5P2TIA,"January 13, 2020",VERY big,"This is a VERY large fit be warned, my husband is not a small guy and it is too large on him, I wouldn't be able to borrow this touque way to big that's for sure",yes,0,3.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:01:35.013783,2020-09-18 16:01:42.288142,Simone,Clothing & Accessories,B002G9UDYG,B002G9UDYG
7,7,7,7,AER6TG74G3NG4ILHDT55RV5P2TIA,"April 14, 2019",Broken clips that hold the lid on...,"The paws that clip into the side we're broken, it came scratched as well not very impressed unable to use.",yes,0,1.0,https://www.amazon.ca/IRIS-Entry-Litter-Dark-White/dp/B075VTWX7V/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:01:52.382298,2020-09-18 16:01:58.685367,Simone,Clothing & Accessories,B002G9UDYG,B075VTWX7V
8,8,8,8,AER6TG74G3NG4ILHDT55RV5P2TIA,"August 1, 2017",... all over the place if your cat is a good scratcher this is not for you,The carpet rips off and leaves fluffs all over the place if your cat is a good scratcher this is not for you,yes,One,3.0,https://www.amazon.ca/Armarkat-Classic-Model-A4801-48-Inch/dp/B00I2OQKAA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:02:06.775847,2020-09-18 16:02:14.104150,Simone,Clothing & Accessories,B002G9UDYG,B00I2OQKAA
9,9,9,9,AER6TG74G3NG4ILHDT55RV5P2TIA,"April 27, 2017",Great speaker but...,"When speaker arrived the bottom was broken off, the bass is not as good as expected package was ruined when arrived but fast shipping I am dissapointed in the product and having to repair the product within an hour of having it not sure I would re buy",yes,2,3.0,https://www.amazon.ca/AR-Sound-AR1004BK-Bluetooth-Speaker/dp/B00K8AH6AE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:02:24.197280,2020-09-18 16:02:31.461145,Simone,Clothing & Accessories,B002G9UDYG,B00K8AH6AE
