,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Works well,Using it for a iPad pro 4th gen works well,yes,0,5.0,https://www.amazon.ca/Reader-Adapter-MacBook-Surface-Thunderbolt/dp/B07BP6SYLK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:04:14.846307,2020-09-30 18:04:21.161440,Shiro,Clothing & Accessories,B002G9UDYG,B07BP6SYLK
1,1,1,1,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",A bit hard,Can't take out pen,yes,0,3.0,https://www.amazon.ca/ProCase-Generation-Flexible-Lightweight-Protective/dp/B07XYZ9R4G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:04:28.245876,2020-09-30 18:04:36.548918,Shiro,Clothing & Accessories,B002G9UDYG,B07XYZ9R4G
2,2,2,2,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Easy,Easy to install,yes,0,5.0,https://www.amazon.ca/seacosmo-Protector-Shockproof-Protective-Samsung/dp/B07Y9NPTTS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:04:43.631567,2020-09-30 18:04:49.971173,Shiro,Clothing & Accessories,B002G9UDYG,B07Y9NPTTS
3,3,3,3,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Great,Very thin case,yes,0,5.0,https://www.amazon.ca/TOZO-Premium-Ultra-Thin-Transparent-Flexible/dp/B07WHCJTLL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:05:00.170030,2020-09-30 18:05:07.565637,Shiro,Clothing & Accessories,B002G9UDYG,B07WHCJTLL
4,4,4,4,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Great,Great for drawing and doing notes on the tablet,yes,0,5.0,https://www.amazon.ca/BELLEMOND-Set-Japanese-Protector-Compatible/dp/B07XL7HHSM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:05:17.653330,2020-09-30 18:05:26.030473,Shiro,Clothing & Accessories,B002G9UDYG,B07XL7HHSM
5,5,5,5,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Good case,Bit hard to use the volume buttons,yes,0,4.0,https://www.amazon.ca/Spigen-Tough-Armor-Samsung-Galaxy/dp/B07MJTVF2L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:05:36.137722,2020-09-30 18:05:42.468612,Shiro,Clothing & Accessories,B002G9UDYG,B07MJTVF2L
6,6,6,6,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Good,Great case transparent to show off phone,yes,0,5.0,https://www.amazon.ca/Ringke-Fusion-No-Smudge-Designed-Velvet/dp/B088K8485R/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:05:50.561947,2020-09-30 18:05:59.890873,Shiro,Clothing & Accessories,B002G9UDYG,B088K8485R
7,7,7,7,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Great,Great case,yes,0,5.0,https://www.amazon.ca/Kinoto-Lifeproof-Silicone-Transparent-Absorption/dp/B081M8M1SQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:06:09.979251,2020-09-30 18:06:18.273729,Shiro,Clothing & Accessories,B002G9UDYG,B081M8M1SQ
8,8,8,8,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Good,Easy to install simple protector,yes,0,5.0,https://www.amazon.ca/Orzero-Compatible-Anti-Scratch-Bubble-Free-Replacement/dp/B088N9PT9J/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:06:27.360120,2020-09-30 18:06:36.739678,Shiro,Clothing & Accessories,B002G9UDYG,B088N9PT9J
9,9,9,9,AESGACAT2JVF6ZG655V7A5WC6ATQ,"September 26, 2020",Great,Simple to install,yes,0,5.0,https://www.amazon.ca/HPTech-Galaxy-Note-Screen-Protector/dp/B07PDK9Y9Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 18:06:46.825868,2020-09-30 18:06:53.210026,Shiro,Clothing & Accessories,B002G9UDYG,B07PDK9Y9Q
