,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AESH66MZNI3UD36QWHVJHVRZDOHQ,"July 21, 2020",Great coverage,"Fast to use
not as annoying as a mask
Doesn’t get lost as easily",yes,2,5.0,https://www.amazon.ca/Sllrrka-Multi-Purpose-Balaclavas-Headscarf-Motorcycle/dp/B087161B55/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:01:40.295028,2020-09-30 09:01:48.745127,Amazon Customer,Clothing & Accessories,B002G9UDYG,B087161B55
1,1,1,1,AESH66MZNI3UD36QWHVJHVRZDOHQ,"June 24, 2020",Amazing,Makes the mattress waterproof and softer,yes,0,5.0,https://www.amazon.ca/Mattress-Premium-Bamboo-Smooth-Portable/dp/B081RDD86G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:01:56.860749,2020-09-30 09:02:04.213235,Amazon Customer,Clothing & Accessories,B002G9UDYG,B081RDD86G
2,2,2,2,AESH66MZNI3UD36QWHVJHVRZDOHQ,"June 24, 2020",Amazing for pack and play,"Fits great and good protection
It's a bit rubbery so we got a mattress protector to make it a bit softer",yes,0,5.0,https://www.amazon.ca/Dream-Me-Rounded-Playard-Mattress/dp/B004JU0H6Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:02:12.312630,2020-09-30 09:02:18.668782,Amazon Customer,Clothing & Accessories,B002G9UDYG,B004JU0H6Y
3,3,3,3,AESH66MZNI3UD36QWHVJHVRZDOHQ,"June 24, 2020",Amazingly soft,Great to make the mattress way softer babies love it,yes,0,5.0,https://www.amazon.ca/Milliard-Memory-Foam-Mattress-Topper/dp/B078XMMSYP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:02:26.762437,2020-09-30 09:02:35.131380,Amazon Customer,Clothing & Accessories,B002G9UDYG,B078XMMSYP
4,4,4,4,AESH66MZNI3UD36QWHVJHVRZDOHQ,"May 23, 2020",Great quality,Holds a lot of pods!!!,yes,0,5.0,https://www.amazon.ca/RECAPS-Organizer-Compatible-Vertuoline-Capsules/dp/B07PJR7P3P/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:02:42.236448,2020-09-30 09:02:48.676733,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07PJR7P3P
5,5,5,5,AESH66MZNI3UD36QWHVJHVRZDOHQ,"May 12, 2020",Must buy,"Bought a nail clipper 3 times the price

It left my nails with jagged edges

This is 100 times better what a great find",yes,0,5.0,https://www.amazon.ca/Denco-3549N-Toenail-Clipper/dp/B008SCG11O/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:02:56.786587,2020-09-30 09:03:03.187432,Amazon Customer,Clothing & Accessories,B002G9UDYG,B008SCG11O
6,6,6,6,AESH66MZNI3UD36QWHVJHVRZDOHQ,"April 27, 2020",Xbox one compatible great mouse,"Excellent wireless mouse for gaming using it on Xbox one works great

Would recommend",yes,0,5.0,https://www.amazon.ca/Redragon-M652-Wireless-Receiver-Adjustable/dp/B07D837ZLT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:03:13.289157,2020-09-30 09:03:21.718112,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07D837ZLT
7,7,7,7,AESH66MZNI3UD36QWHVJHVRZDOHQ,"February 29, 2020",Phone charger stopped working for anything,"Phone charger stopped working after a few uses

Watch charger stopped working as well",yes,0,1.0,https://www.amazon.ca/Boaraino-wireless-Charging-Inductive-Induction/dp/B08116DHNJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:03:29.816821,2020-09-30 09:03:37.168264,Amazon Customer,Clothing & Accessories,B002G9UDYG,B08116DHNJ
8,8,8,8,AESH66MZNI3UD36QWHVJHVRZDOHQ,"December 27, 2019",Insanely good buy at this price!! Must buy if you need a case+screen protection,"Fast shipping
Amazing fit
Bumper is a great fit and offers solid protection
The Glass screen protection installed in seconds
I love this product",yes,0,5.0,https://www.amazon.ca/Protector-Kinoto-Lifeproof-Transparent-Absorption/dp/B082H4R9GS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:03:44.274942,2020-09-30 09:03:52.725626,Amazon Customer,Clothing & Accessories,B002G9UDYG,B082H4R9GS
9,9,9,9,AESH66MZNI3UD36QWHVJHVRZDOHQ,"November 14, 2019",Easy to install with an install guide,"Fast installation
Great coverage",yes,0,5.0,https://www.amazon.ca/Pack-LK-Screen-Protector-iPhone/dp/B07V556NMW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:03:59.830200,2020-09-30 09:04:06.196714,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07V556NMW
10,10,10,10,AESH66MZNI3UD36QWHVJHVRZDOHQ,"November 1, 2019",No loop function do not buy if you need this on more then 60 min,"This turns off even on loop mode
No good if you need it on more than 60 min",yes,0,2.0,https://www.amazon.ca/Sleeping-Soothing-Portable-Permanent-Relaxation/dp/B071PB5PXG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:04:16.303000,2020-09-30 09:04:24.753253,Amazon Customer,Clothing & Accessories,B002G9UDYG,B071PB5PXG
11,11,11,11,AESH66MZNI3UD36QWHVJHVRZDOHQ,"November 1, 2019",Great power bar,Amazing find needed a flat plug this fit the bill,yes,0,5.0,https://www.amazon.ca/Protector-Heavy-Duty-Extension-Projector-Microwave/dp/B074QJYHW7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:04:31.851253,2020-09-30 09:04:39.215797,Amazon Customer,Clothing & Accessories,B002G9UDYG,B074QJYHW7
12,12,12,12,AESH66MZNI3UD36QWHVJHVRZDOHQ,"November 1, 2019",Best in class,"Amazing quality both at night and always

Definitely recommend getting this camera",yes,0,5.0,https://www.amazon.ca/Wyze-Wireless-Camera-Android-Version/dp/B076H3SRXG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:04:46.314506,2020-09-30 09:04:53.759584,Amazon Customer,Clothing & Accessories,B002G9UDYG,B076H3SRXG
13,13,13,13,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Luke I am your father,Amazing costume and fit,yes,0,5.0,https://www.amazon.ca/Rubies-Costume-Canada-Darth-Romper/dp/B00DM27CN6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:05:03.860242,2020-09-30 09:05:10.207397,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00DM27CN6
14,14,14,14,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Amazing,Great toy for Halloween,yes,0,5.0,https://www.amazon.ca/Lightsaber-Academy-Level-Light-up-Extendable/dp/B07TFKWRGQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:05:20.308061,2020-09-30 09:05:27.744649,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07TFKWRGQ
15,15,15,15,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Must buy,Great fit and style,yes,0,5.0,https://www.amazon.ca/Pampers-Disposable-Diapers-Economy-Count/dp/B00CJ0DFHE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:05:36.846588,2020-09-30 09:05:45.272839,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00CJ0DFHE
16,16,16,16,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Great pressure,"Amazing shower heads easily installed
A+++",yes,0,5.0,https://www.amazon.ca/Showerheads-Ohuhu-Full-Chrome-Ultra-Luxury-Handheld-Shower/dp/B07BWCS7J9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:05:53.376584,2020-09-30 09:06:01.773163,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07BWCS7J9
17,17,17,17,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Amazing!!,Must buy to keep the babies legs out,yes,0,5.0,https://www.amazon.ca/Breathable-Baby-Mesh-Liner-White/dp/B000WZ8384/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:06:09.873158,2020-09-30 09:06:18.218257,Amazon Customer,Clothing & Accessories,B002G9UDYG,B000WZ8384
18,18,18,18,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Best fit and comfort,The most comfortable underwear you can buy,yes,0,5.0,https://www.amazon.ca/Hanes-Printed-Exposed-Waistband-X-Large/dp/B00NM1G7N8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:06:26.309612,2020-09-30 09:06:33.737850,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00NM1G7N8
19,19,19,19,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Great fit and style,Amazing will buy again,yes,0,5.0,https://www.amazon.ca/Amazon-Essentials-Slim-Fit-Flat-Front-Dress/dp/B079D2YVJR/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:06:40.845346,2020-09-30 09:06:48.175916,Amazon Customer,Clothing & Accessories,B002G9UDYG,B079D2YVJR
20,20,20,20,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Do. A lot of prep work before you install,"These things are a nightmare to install and adjust if you don't plan everything ahead 9f time

Stripped my paint off as I tired to remove it
Should have planned the whole install then proceeded it's unforgiving and the slightest misalignment makes it look bad",yes,0,3.0,https://www.amazon.ca/Tic-Tac-Tiles%C2%AE-Premium-Anti-mold/dp/B077H3G2YJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:06:58.270171,2020-09-30 09:07:07.708699,Amazon Customer,Clothing & Accessories,B002G9UDYG,B077H3G2YJ
21,21,21,21,AESH66MZNI3UD36QWHVJHVRZDOHQ,"October 31, 2019",Good bottle brush,"Great brush
But the sponge wore away quickly",yes,0,5.0,https://www.amazon.ca/NUK-Triple-Action-Bottle-Nipple/dp/B01968GERY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:07:16.812727,2020-09-30 09:07:24.172498,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01968GERY
22,22,22,22,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 7, 2019",Wow,"Fast
Easy to use
Added peace of mind
What's not to love",yes,0,5.0,https://www.amazon.ca/Plus-Guard-Roller-Stamp-Green/dp/B005XIDPFQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:07:32.275793,2020-09-30 09:07:39.662909,Amazon Customer,Clothing & Accessories,B002G9UDYG,B005XIDPFQ
23,23,23,23,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 7, 2019",Love the longer Ts,Best if you don't like short shirts,yes,4,5.0,https://www.amazon.ca/LIWEIKE-Solid-Extended-Hipster-Sleeve/dp/B07CW9PWKZ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:07:46.764947,2020-09-30 09:07:55.147028,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07CW9PWKZ
24,24,24,24,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 7, 2019",Great fit a little longer which I like,"Great shirt

I love the added length doesn't feel to short ever",yes,0,5.0,https://www.amazon.ca/Russell-Athletic-Mens-Dri-Power-Performance/dp/B071WLYFSZ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:08:03.247739,2020-09-30 09:08:11.664598,Amazon Customer,Clothing & Accessories,B002G9UDYG,B071WLYFSZ
25,25,25,25,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 7, 2019",Should have bought it earlier,"Was having problems with a faulty thermostat

Took a while to install as we have a heat pump and no C wire

But once installed the temperature and comfort went through the roof!!

Must buy if your looking to replace an older thermostat",yes,0,5.0,https://www.amazon.ca/ecobee-SmartThermostat-with-Voice-Control/dp/B07NWM5571/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:08:21.766309,2020-09-30 09:08:30.200003,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07NWM5571
26,26,26,26,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 7, 2019",Engage,Great gift,yes,0,5.0,https://www.amazon.ca/Star-Trek-Captains-Log-Notebook/dp/B01F7OOC8Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:08:37.331453,2020-09-30 09:08:46.717804,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01F7OOC8Y
27,27,27,27,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 7, 2019",Better for older babies,"This product is quite wide so the baby can only use one nub at a time

Other then that is great",yes,0,4.0,https://www.amazon.ca/MAM-Cooler-Teether-Girl-Size/dp/B076YGD714/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:08:56.816012,2020-09-30 09:09:03.200081,Amazon Customer,Clothing & Accessories,B002G9UDYG,B076YGD714
28,28,28,28,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 7, 2019",Great for condos,"Got this as an alternative for full size crib

Easy to put together and looks great

Definitely recommend",yes,0,5.0,https://www.amazon.ca/Babyletto-Gelato-White-Washed-Natural/dp/B073XX6Y45/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:09:10.301773,2020-09-30 09:09:17.731651,Amazon Customer,Clothing & Accessories,B002G9UDYG,B073XX6Y45
29,29,29,29,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 7, 2019",Amazing,Great for small and big bottles alike,yes,0,5.0,https://www.amazon.ca/Munchkin-16020-Sponge-Bottle-Brush/dp/B01BVYU0S0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:09:26.838006,2020-09-30 09:09:35.186546,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01BVYU0S0
30,30,30,30,AESH66MZNI3UD36QWHVJHVRZDOHQ,"September 5, 2019",Amazing flavour,Must try,yes,0,5.0,https://www.amazon.ca/Nabob-TASSIMO-NABOB-Cappuccino-263G/dp/B06VWCTCZB/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:09:44.288699,2020-09-30 09:09:51.717620,Amazon Customer,Clothing & Accessories,B002G9UDYG,B06VWCTCZB
