,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AESUBYP677WJFAHAU7XTYFKNVBWA,"September 18, 2020","Works, quick shipping","Product arrived quickly and works, what else could you ask for.",yes,0,5.0,https://www.amazon.ca/Carburetor-Tecumseh-632334A-HM70-80-Engines/dp/B07Z36JQFJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:10:37.132478,2020-09-30 05:10:44.460924,Randy Straker,Clothing & Accessories,B002G9UDYG,B07Z36JQFJ
1,1,1,1,AESUBYP677WJFAHAU7XTYFKNVBWA,"August 3, 2020",Great fit,"Great looking product, easy to install. Great fit and finish on my 2019 1875 lund crossover",yes,0,5.0,https://www.amazon.ca/Brocraft-Universal-Aluminum-Downrigger-Bracket/dp/B07F7WDTBQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:10:53.572744,2020-09-30 05:11:01.058028,Randy Straker,Clothing & Accessories,B002G9UDYG,B07F7WDTBQ
2,2,2,2,AESUBYP677WJFAHAU7XTYFKNVBWA,"January 15, 2020",Quality and water savings,"Excellent product, great quality. Excellent for water savings.",yes,0,5.0,https://www.amazon.ca/EAGO-TB222-Ultra-Eco-Friendly-Toilet/dp/B0042F0VVW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:11:11.151828,2020-09-30 05:11:19.535299,Randy Straker,Clothing & Accessories,B002G9UDYG,B0042F0VVW
3,3,3,3,AESUBYP677WJFAHAU7XTYFKNVBWA,"January 15, 2020",Hat of champs,"Great hat, great quality",yes,0,5.0,https://www.amazon.ca/Toronto-Raptors-47-Alternate-Logo/dp/B07SRDQRB7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:11:28.644758,2020-09-30 05:11:36.064390,Randy Straker,Clothing & Accessories,B002G9UDYG,B07SRDQRB7
4,4,4,4,AESUBYP677WJFAHAU7XTYFKNVBWA,"January 15, 2020",Light it up,Charges fine and has flashing lights!,yes,One,5.0,https://www.amazon.ca/YICHUMY-Flowing-Charging-Charger-Compatible/dp/B07VQ5JCKN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:11:45.176331,2020-09-30 05:11:52.606133,Randy Straker,Clothing & Accessories,B002G9UDYG,B07VQ5JCKN
5,5,5,5,AESUBYP677WJFAHAU7XTYFKNVBWA,"January 15, 2020",Hats off to Carhartt,"Great hat, son loves it",yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:12:02.711963,2020-09-30 05:12:11.146959,Randy Straker,Clothing & Accessories,B002G9UDYG,B002G9UDYG
6,6,6,6,AESUBYP677WJFAHAU7XTYFKNVBWA,"December 29, 2019",Great Product,"Very happy with product, will order more.",yes,17,5.0,https://www.amazon.ca/Lightess-Acrylic-Hallway-Bedroom-Corridor/dp/B07W4TQC9J/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:12:19.262762,2020-09-30 05:12:28.713827,Randy Straker,Clothing & Accessories,B002G9UDYG,B07W4TQC9J
7,7,7,7,AESUBYP677WJFAHAU7XTYFKNVBWA,"December 27, 2019",Excellent!,"Great product, great price, really enjoy them",yes,0,5.0,https://www.amazon.ca/Moscow-Mix-Solid-Copper-Moscow-Handle/dp/B01LVYR3WA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:12:36.841876,2020-09-30 05:12:46.207116,Randy Straker,Clothing & Accessories,B002G9UDYG,B01LVYR3WA
8,8,8,8,AESUBYP677WJFAHAU7XTYFKNVBWA,"September 4, 2019",Power,"Awesome saw, plenty of power.",yes,0,5.0,https://www.amazon.ca/Husqvarna-Rancher-20-Inch-2-Stoke-Powered/dp/B003CJTWDW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:12:54.330099,2020-09-30 05:13:01.665334,Randy Straker,Clothing & Accessories,B002G9UDYG,B003CJTWDW
9,9,9,9,AESUBYP677WJFAHAU7XTYFKNVBWA,"August 6, 2019",Great value,Great replacement part,yes,0,5.0,https://www.amazon.ca/MIDIYA-Outboards-Applications-4-Terminal-Intermittent/dp/B07PXLHLMD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:13:09.782218,2020-09-30 05:13:16.162302,Randy Straker,Clothing & Accessories,B002G9UDYG,B07PXLHLMD
10,10,10,10,AESUBYP677WJFAHAU7XTYFKNVBWA,"August 6, 2019",Good value,Excellent product,yes,0,5.0,https://www.amazon.ca/American-Fishing-Wire-Titanium-30-Pound/dp/B004VZJLW8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:13:23.279665,2020-09-30 05:13:29.790237,Randy Straker,Clothing & Accessories,B002G9UDYG,B004VZJLW8
11,11,11,11,AESUBYP677WJFAHAU7XTYFKNVBWA,"August 6, 2019",Great Value,"Works great, happy with product",yes,0,5.0,https://www.amazon.ca/MagiDeal-Fishing-Leader-Swivel-Titanium/dp/B07D58YHY9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:13:37.907464,2020-09-30 05:13:47.925214,Randy Straker,Clothing & Accessories,B002G9UDYG,B07D58YHY9
12,12,12,12,AESUBYP677WJFAHAU7XTYFKNVBWA,"August 6, 2019",Great quality,Works excellent!,yes,0,5.0,https://www.amazon.ca/Dematting-TOPELEK-Stainless-Professional-Undercoat/dp/B07B1SZGWH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:13:58.018856,2020-09-30 05:14:05.444553,Randy Straker,Clothing & Accessories,B002G9UDYG,B07B1SZGWH
13,13,13,13,AESUBYP677WJFAHAU7XTYFKNVBWA,"December 8, 2018",Good,"Good quality, happy with purchase!",yes,0,4.0,https://www.amazon.ca/CafePress-Settlers-Lonely-Classic-T-Shirt/dp/B01G7VJ94S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:14:14.547317,2020-09-30 05:14:21.979510,Randy Straker,Clothing & Accessories,B002G9UDYG,B01G7VJ94S
14,14,14,14,AESUBYP677WJFAHAU7XTYFKNVBWA,"December 26, 2015",Five Stars,Nice product,yes,0,5.0,https://www.amazon.ca/Organic-Flavoured-Moisturising-Natural-Chapstick/dp/B00NO8DT2G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 05:14:29.074854,2020-09-30 05:14:36.487899,Randy Straker,Clothing & Accessories,B002G9UDYG,B00NO8DT2G
