,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"July 7, 2020",Came in way earlier then they said bye weeks,Very good quality 👍,yes,0,5.0,https://www.amazon.ca/Amberta-Sterling-Silver-Figaro-Chain/dp/B00DKCYXQM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:19:28.727033,2020-09-30 02:19:38.016037,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B00DKCYXQM
1,1,1,1,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 17, 2019",Well made great size and style,Great product,yes,0,5.0,https://www.amazon.ca/Safe-PetSafe-Small-2-Way-Locking/dp/B00061RIT4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:19:48.106027,2020-09-30 02:19:55.377194,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B00061RIT4
2,2,2,2,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 16, 2019",Great quality nice red colour,Great quality nice red colour,yes,0,5.0,https://www.amazon.ca/Arctic-Permanent-Color-Ounce-Poison/dp/B0147RUWW2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:20:03.472437,2020-09-30 02:20:11.769309,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B0147RUWW2
3,3,3,3,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 16, 2019",Great quality,Great quality,yes,0,5.0,https://www.amazon.ca/dp/B07518WSSK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:20:18.861374,2020-09-30 02:20:28.130540,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B07518WSSK
4,4,4,4,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 16, 2019",Great quality,Great quality,yes,0,5.0,https://www.amazon.ca/Pennine-Play-Wheel-Stand-Black/dp/B0037XRU8W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:20:37.223471,2020-09-30 02:20:43.512245,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B0037XRU8W
5,5,5,5,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 16, 2019",Great iPhone 8 case,Great iPhone 8,yes,0,5.0,https://www.amazon.ca/OtterBox-COMMUTER-Case-iPhone-ONLY/dp/B01K6PAZ1M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:20:50.608766,2020-09-30 02:20:56.895170,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B01K6PAZ1M
6,6,6,6,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 16, 2019",Good quality bathing suit,Good quality bathing suit,yes,0,5.0,https://www.amazon.ca/dp/B079CF5BB1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:21:03.992990,2020-09-30 02:21:13.248945,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B079CF5BB1
7,7,7,7,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 16, 2019",Good headphones but you can only use anything plugged into your freaking controller,Good headphones but you can only use anything plugged into your freaking controller,yes,0,3.0,https://www.amazon.ca/VersionTECH-Headphones-Surround-Reduction-Smartphones/dp/B012DRSI7Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:21:22.335585,2020-09-30 02:21:30.622657,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B012DRSI7Y
8,8,8,8,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 16, 2019",Good quality case,Good quality case,yes,0,5.0,https://www.amazon.ca/LG-K4-Phoenix-Risio-Shockproof/dp/B072LB9LLN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:21:39.718803,2020-09-30 02:21:47.000886,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B072LB9LLN
9,9,9,9,AEVPMWY4FDITI2DJUXZWOEY2RSNA,"June 16, 2019",Good case,Good case,yes,0,5.0,https://www.amazon.ca/Phoenix-Fortune-Synthetic-Kickstand-Magnetic/dp/B073H89JXF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:21:57.083454,2020-09-30 02:22:05.361270,Zurona Nelson,Clothing & Accessories,B002G9UDYG,B073H89JXF
