,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"December 29, 2019",Just keeps coming back for more. Great inexpensive caliper,"I used this as my main caliper at my engineering job for 8 months. I deliberately purchased a cheap caliper because I was sure that I would destroy it in the first week. This caliper was regularly drenched in hydraulic oil, brake cleaner, axle grease, you name it. The worst time I messed it up was by getting paint on the top where the sensor is. When it starts acting up I take everything apart and clean the feelers and the body up with a chemichal stripper or brake cleaner and a scouring pad, and every time it just keeps working. For the price I’m very happy with this thing. The downside is that it is not the most accurate, and the jaws don’t line up as good as they should. There is also more play in the sliding mechanism then I would like after about 50mm. If you want a good quality caliper, then you have to spend money. For what I needed it for, however, this has been the best little caliper I have ever owned, and it might be for you too. If you don’t need the most accurate caliper in the world, then I would strongly reccomend this neoteck.",yes,0,5.0,https://www.amazon.ca/Neoteck-Stainless-Electronic-Fractions-Conversion/dp/B074M6LX1N/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:42:41.406647,2020-09-18 18:42:47.674054,adrian russ,Clothing & Accessories,B002G9UDYG,B074M6LX1N
1,1,1,1,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"December 29, 2019",Great inexpensive upgrade for your atv,Great upgrade for my 2004 fourtrax 350es. Better airflow than OEM for sure. Should last many years to come,yes,0,5.0,https://www.amazon.ca/Uni-Filter-NU-4119ST-2-Stage-Air/dp/B000HSAS6G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:42:57.764801,2020-09-18 18:43:06.039798,adrian russ,Clothing & Accessories,B002G9UDYG,B000HSAS6G
2,2,2,2,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"December 29, 2019","Works great, charges fast, smaller and lighter than many OEM chargers","Works great, charges my HP spectre flawlessly through a USB-c docking station. Is also a lot smaller and lightweight than most factory HP chargers so it’s a great portability upgrade for most laptops. Materials and quality is as expected from an OEM HP part.",yes,0,5.0,https://www.amazon.ca/HP-Travel-AC-Adapter-Power/dp/B01N137V1W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:43:16.133503,2020-09-18 18:43:25.446832,adrian russ,Clothing & Accessories,B002G9UDYG,B01N137V1W
3,3,3,3,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"December 29, 2019","Works great, quality materials, small light and portable","This works exactly as expected for me, with the added bonus of not needing to install any drivers to get things set up. Literally just plug and play. When I have the laptop charging and all the peripherals and extra screen going, the dock gets quite hot but that’s to be expected. All the materials are top quality and the cable is much more flexible than most, so it would be a good choice for someone who’s desk is crammed for space because you can contort it into any position you need. Very small and lightweight as well so it would make an excellent travel dock.",yes,0,5.0,https://www.amazon.ca/UGREEN-Charging-Adapter-Station-MacBook/dp/B07RW343WG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:43:34.534144,2020-09-18 18:43:43.769878,adrian russ,Clothing & Accessories,B002G9UDYG,B07RW343WG
4,4,4,4,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"December 29, 2019","Very good carbon monoxide detector, questionable gas leak detector. Awesome quality","It’s awesome feature to have a LNG detector built in, especially for those of us with gas fireplaces, ovens, and furnaces there are so many ways for gas leaks to happen. What I don’t like is that it only alerts for gas at 25% LEL which seems very high to actually be useful, especially since this will be mounted on the floor (natural gas rises) explosive conditions could occur along the roof well before the detector picks it up at the floor. The Carbon monoxide detector however works great as expected and has very quick reaction times compared to the competition. The unit itself seems very well made from high quality materials. Makes all my other detectors seem cheap in comparison and at its pricepoint I have to give it 5 stars. The gas detection is a nice additional feature but I question its usefulness.",yes,2,5.0,https://www.amazon.ca/Kidde-KN-COEG-3-Nighthawk-Monoxide-Explosive/dp/B0002EVNJ6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:43:50.857206,2020-09-18 18:43:59.115584,adrian russ,Clothing & Accessories,B002G9UDYG,B0002EVNJ6
5,5,5,5,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"December 29, 2019",Too tight at first but breaks in after a while,"At first it didn’t clear the CEL and seemed too tight, but after about a month it wore in perfectly and I tried clearing the CEL again and it went out for good. If it doesn’t work for you, try giving it some time. Seems to have worked for me and can’t beat the price! On a 2003 dodge Dakota 4.7",yes,0,5.0,https://www.amazon.ca/Gates-31838-Fuel-Tank-Cap/dp/B000C2WFA4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:44:08.209562,2020-09-18 18:44:17.473777,adrian russ,Clothing & Accessories,B002G9UDYG,B000C2WFA4
6,6,6,6,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"October 22, 2018","No complaints, mostly universal fit","Beats wearing safety goggles where it’s permitted. Soft enough that it won’t damage plastic glasses but it is a snug fit so might just save your eyes too. I use these on a large pair of glasses so if that was a concern with these you should not worry, if anything too small frames would be bad because it wouldn’t be a snug fit",yes,0,5.0,https://www.amazon.ca/dp/B07BGYT3NK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:44:24.567388,2020-09-18 18:44:30.874487,adrian russ,Clothing & Accessories,B002G9UDYG,B07BGYT3NK
7,7,7,7,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"October 17, 2018","Genuine carhartt, very warm",I got a big head so it’s a bit tighter than I thought it would be. Genuine carhartt quality item here though which I was worried of,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:44:40.964768,2020-09-18 18:44:49.271605,adrian russ,Clothing & Accessories,B002G9UDYG,B002G9UDYG
8,8,8,8,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"September 4, 2018",Worked great in ext cab F-150,"Worked great in an extended cab 2005 f-150. This should work good in most cars, as it’s a little on the short side. If your using it for several days you’ll need to keep the lower support reinflated or else it will lean to that side because of the plastic swelling. I used it to sleep 2 people on a 3 day long camping trip and it worked great. Would probably be most comfortable for 1 person. Pump that it came with worked well. I really like this thing and wish I had bought it sooner",yes,6,5.0,https://www.amazon.ca/YaeTact-Inflatable-Mattress-Camping-Universal/dp/B01N8SYHHC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:44:58.363133,2020-09-18 18:45:07.674130,adrian russ,Clothing & Accessories,B002G9UDYG,B01N8SYHHC
9,9,9,9,AEY2SEQGOQKBLB7TOQKBSVAKXLQQ,"December 20, 2017","Definitely the real thing, and my new favourite","Seems to be the real deal. This is a much less sweet and more masculine type of fragrence. I know it smells mostly of leather but personally it reminds me of the way the air smelled in the forest while me and my father were cutting black spruce. Definetly something I liked and my girlfriend seems to agree as well. Can’t really knock this other than the fact that it’s not too powerful, which isn’t a bad thing. I would rather have it be subtle and only noticed when I’m right up close to someone than get noticed across the room IMO. Also, the only time this fragrence fits is on late nights and cold days, which limits its versatility; that won’t stop me from giving this 5 stars. It deserves it. This is probably the new best fragrence I own",yes,One,5.0,https://www.amazon.ca/Carolina-Herrera-Men-Prive-Ounces/dp/B015G1L3IA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 18:45:16.763376,2020-09-18 18:45:26.063543,adrian russ,Clothing & Accessories,B002G9UDYG,B015G1L3IA
