,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"September 24, 2020",soft,"Very soft, and fits very nicely. Not baggy. Very good quality for the price",yes,0,5.0,https://www.amazon.ca/Champion-Graphic-Powerblend-Granite-Heather/dp/B078GLLX2D/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:58:03.498966,2020-09-30 09:58:09.893651,justin,Clothing & Accessories,B002G9UDYG,B078GLLX2D
1,1,1,1,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"July 5, 2020",Holds sturdy,Holds my queen bed in place very sturdily. Leaves no residue and is perfect for laminate flooring. Good for a variety of wheel sizes. Would recommend,yes,0,5.0,https://www.amazon.ca/WELLGO-Bed-Stoppers-Furniture-Cups/dp/B07TJRNM5S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:58:18.001520,2020-09-30 09:58:25.395433,justin,Clothing & Accessories,B002G9UDYG,B07TJRNM5S
2,2,2,2,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"July 5, 2020","Affordable, bright, good quality",Great affordable desk or ambient light. Great quality for the price and is very easy to use. It is very bright and you can adjust the colour. Would be nice to tap through colours quicker but I'm not complaining. Great light,yes,0,5.0,https://www.amazon.ca/TECKIN-Dimmable-2800K-3100K-Changing-Bedrooms/dp/B07S1NJ975/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:58:34.508678,2020-09-30 09:58:40.832797,justin,Clothing & Accessories,B002G9UDYG,B07S1NJ975
3,3,3,3,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"July 5, 2020",1/2 doesnt work,One of the two plugs didnt work after I moved it to another outlet. It's dead altogether. Otherwise the other one works responsively with my google home system.,yes,One,2.0,https://www.amazon.ca/AIMASON-Compatible-Fireproof-Protection-Countdown/dp/B085H7QB52/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:58:48.937616,2020-09-30 09:58:55.314984,justin,Clothing & Accessories,B002G9UDYG,B085H7QB52
4,4,4,4,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"June 2, 2020",Great product,"Simple, comfortable, and affordable",yes,0,5.0,https://www.amazon.ca/Hanes-Premium-Cotton-T-Shirt-White/dp/B00KBZQ3MI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:59:03.421116,2020-09-30 09:59:11.848124,justin,Clothing & Accessories,B002G9UDYG,B00KBZQ3MI
5,5,5,5,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"June 2, 2020",Comfortable,"Good quality product, sizes are not in American so order higher. Had an issue with the shipping due to Covid-19 and the seller happily helped me out. Would recommend",yes,0,5.0,https://www.amazon.ca/WSLCN-Fashion-Cardigan-Pockets-Outerwear/dp/B075F6JK65/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:59:21.956392,2020-09-30 09:59:29.383314,justin,Clothing & Accessories,B002G9UDYG,B075F6JK65
6,6,6,6,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"June 1, 2020",Sturdy / non slip,Very sturdy and doesn't slip on hardwood floors. I've been using them as an office desk lift which works just as well.,yes,0,5.0,https://www.amazon.ca/Shepherd-Hardware-9523-6-Inch-4-Count/dp/B006OU5CYO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:59:37.480784,2020-09-30 09:59:46.879558,justin,Clothing & Accessories,B002G9UDYG,B006OU5CYO
7,7,7,7,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"June 1, 2020","Good quality, sizing","Great quality for the price, sizing is as expected. If you're a Large shirt, order a Large, etc. Arrived quickly. Great product",yes,0,5.0,https://www.amazon.ca/WenVen-Casual-Military-Lightweight-Outwear/dp/B078HCXGGV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:59:55.982335,2020-09-30 10:00:04.409356,justin,Clothing & Accessories,B002G9UDYG,B078HCXGGV
8,8,8,8,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"April 23, 2020",Wow,"Super soft, good quality pillowcase.",yes,0,5.0,https://www.amazon.ca/ZIMASILK-Mulberry-Pillowcase-Hidden-Standard20x26/dp/B07Y64N8SK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:00:11.502788,2020-09-30 10:00:20.855515,justin,Clothing & Accessories,B002G9UDYG,B07Y64N8SK
9,9,9,9,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"April 23, 2020",Good eggs,These are great for trigger finger / arthritis pain. Exercising with them helped my trigger finger within the first day.,yes,0,5.0,https://www.amazon.ca/Dimples-Excel-Squeeze-Strengthening-Set-Resistance/dp/B01HD5L3YQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:00:30.949195,2020-09-30 10:00:38.377773,justin,Clothing & Accessories,B002G9UDYG,B01HD5L3YQ
10,10,10,10,AEYXZBQUNBJW5YD4AL22BY5TOBSA,"January 21, 2020",Would reccomend,"Good price, good material",yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:00:48.490751,2020-09-30 10:00:57.893534,justin,Clothing & Accessories,B002G9UDYG,B002G9UDYG
