,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"September 11, 2020",good quality tempered glass,"easy explanations, easy installations",yes,0,5.0,https://www.amazon.ca/MP-MALL-Google-XL-Installation-Anti-Scratch/dp/B07YBXRGXH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:27:28.925588,2020-09-30 01:27:36.465741,vivian.wang,Clothing & Accessories,B002G9UDYG,B07YBXRGXH
1,1,1,1,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"September 8, 2020","Slippery case, difficult to have a good grip on the phone.",Slippery case like the title said. Not many lines just a lot of round curves which makes it slippery. I would NOT recommend this particular case.,yes,0,1.0,https://www.amazon.ca/Caseology-Parallax-Google-Pixel-Case/dp/B07VFQGBD3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:27:46.680827,2020-09-30 01:27:53.140674,vivian.wang,Clothing & Accessories,B002G9UDYG,B07VFQGBD3
2,2,2,2,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"August 6, 2020",Surprised that it worked perfectly,"I was hesitant on buying this drum for my DCP-7040 Printer, but after using it I was pleasantly surprised that it worked perfectly.",yes,0,5.0,https://www.amazon.ca/Compatible-Remanufactured-MFC-7345N-MFC-7440N-MFC-7840W/dp/B008HHKW7Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:28:01.263967,2020-09-30 01:28:10.715319,vivian.wang,Clothing & Accessories,B002G9UDYG,B008HHKW7Y
3,3,3,3,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"July 22, 2020",Overall a good paddle,"PROS: lightweight, sturdy, super easy to install and adjust.

CONS: the finishing around the top of the grip is not well finished, it can cause discomfort if your hands touch. It should have been sanded down and made smoother.",yes,0,4.0,https://www.amazon.ca/Section-Portable-Adjustable-Floatable-Aluminum/dp/B07B91DWR2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:28:18.813632,2020-09-30 01:28:27.328885,vivian.wang,Clothing & Accessories,B002G9UDYG,B07B91DWR2
4,4,4,4,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"December 10, 2019",working as intended,"nothing to complain here, it works fine.",yes,0,5.0,https://www.amazon.ca/Anker-Reader-RS-MMC-Support-Warranty/dp/B006T9B6R2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:28:34.451873,2020-09-30 01:28:41.840793,vivian.wang,Clothing & Accessories,B002G9UDYG,B006T9B6R2
5,5,5,5,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"November 4, 2019",Fits too tightly,Not sure about this one size fits all... Its too tight for me.,yes,0,2.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:28:49.974363,2020-09-30 01:28:57.472870,vivian.wang,Clothing & Accessories,B002G9UDYG,B002G9UDYG
6,6,6,6,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"August 1, 2019",High quality durable vaccum,Very satisfied with this product,yes,0,5.0,https://www.amazon.ca/Oreck-Commercial-2100RHS-8-Pound-Upright/dp/B001NDNV18/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:29:04.631614,2020-09-30 01:29:11.133218,vivian.wang,Clothing & Accessories,B002G9UDYG,B001NDNV18
7,7,7,7,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"August 1, 2019",Good,Nothing bad to complain about,yes,0,5.0,https://www.amazon.ca/Masks-24680-Collectible-Figures-Set/dp/B07DGT17CH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:29:20.295549,2020-09-30 01:29:27.782570,vivian.wang,Clothing & Accessories,B002G9UDYG,B07DGT17CH
8,8,8,8,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"August 1, 2019","Poor quality, breaking apart","Relative light use and this lamp is falling apart. It's made of cheap plastic.

This is probably the lowest quality lamp I've ever used.",yes,0,1.0,https://www.amazon.ca/Tenergy-Creative-Branches-Modern-Bedroom/dp/B074ZS2784/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:29:37.894479,2020-09-30 01:29:46.251805,vivian.wang,Clothing & Accessories,B002G9UDYG,B074ZS2784
9,9,9,9,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"July 21, 2019",It works... But,This product works but the pump is weak. I could not fully inflate my device using this product. Will try one with a compressor.,yes,0,3.0,https://www.amazon.ca/Electric-Portable-Quick-Fill-Inflator-Inflatable/dp/B074NZY3SQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:29:55.386912,2020-09-30 01:30:02.836245,vivian.wang,Clothing & Accessories,B002G9UDYG,B074NZY3SQ
10,10,10,10,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"May 6, 2019",Doesn't latch on to the wall well,"Often falls out from the socket, very poor latching to wall socket.",yes,0,1.0,https://www.amazon.ca/Bestten-Protector-Charging-Electrical-Extenders/dp/B016ORDJM8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:30:09.951321,2020-09-30 01:30:17.459763,vivian.wang,Clothing & Accessories,B002G9UDYG,B016ORDJM8
11,11,11,11,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"April 29, 2019",Missing the bottom bar,Everything was great except the bottom bar was missing!!,yes,0,1.0,https://www.amazon.ca/Whitmor-Section-Organizer-Shelving-Garment/dp/B06WD5NCBW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:30:27.570039,2020-09-30 01:30:35.950241,vivian.wang,Clothing & Accessories,B002G9UDYG,B06WD5NCBW
12,12,12,12,AEZ3EDUT7DWWVMHHL4ID4O5CUO5A,"November 5, 2018","Horrible quality, cheap plastic frame parts. I Do NOT recommend this product.",The cheap plastic pieces around the frame break very easily. I am extremely disappointed in this purchase!,yes,0,1.0,https://www.amazon.ca/MCS-23446-36-Inch-Original-Pressboard/dp/B001IS2FFG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:30:43.088888,2020-09-30 01:30:51.470247,vivian.wang,Clothing & Accessories,B002G9UDYG,B001IS2FFG
