,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AF37A4IME35JZGECEKIYL27TW7DQ,"June 26, 2020",Great but they fall apart,I like these glasses alot! Only problem is I've had 3 pair now and each time I get a new pair it's because the screw holding the arm on has fallen out and gotten lost. It would be nice if they added a few extra screws in the package to repair them when this happens. They come with a screwdriver and cloth but no screws :(,yes,0,3.0,https://www.amazon.ca/GQUEEN-Classic-Polarized-Sunglasses-Ultra/dp/B076D3R5F8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:48:55.087521,2020-09-30 06:49:03.489956,Glen,Clothing & Accessories,B002G9UDYG,B076D3R5F8
1,1,1,1,AF37A4IME35JZGECEKIYL27TW7DQ,"June 15, 2020","My in depth, 6 month review. (It's a long one)","I've had this watch for over 6 months now. Heres my review.
Compared to the original gotcha this version does alot better at:
Battery life- with vibrate and animations turned off the battery lasts me around 2 weeks with about 1-3 hours of use per day on avg.
Multiple devices. I can switch seamlessly between my galaxy s8 and my iphone 6s.
Style- it looks less like a toy bracelet and more like a fit bit.
Heres where I dont feel it performs as well:
The usb seems like something I could break off accidentally- It's usb plug is under the top watch strap, which is challenging to remove without bending the charging port underneath. I broke off the bottom strap accidentally while trying to remove the top. Crazy glue holds it on now.
The original also had alternate carrying options. The strap is permanently fixed to this one.
Additionally: The pedometer hasn't given me any extra adventure sync kms.
The watch needs to be reset periodically to correct the time.

Are you still reading this??

If you've never used a gotcha. My advice is dont expect much. It misses about half the pokemons it encounters. It uses only regular balls so you need to keep those stocked up. It disconnects for many reasons and often for what seems like no reason, but reconnects with no problem. It doesn't work well if your pokemon app is running in the background and even worse if you open other apps.
Using other blue tooth devices at the same time can also cause connection issues.
If it wont connect. Try closing all your apps and restart your device.
I use it when I'm running errands. It will catch and spin while you're driving slow or stopped in traffic, while you shop for groceries or while you sit at your desk replying to e-mails. But if you wanna make sure you never miss a shiny or rare pokemon. Then the old fashioned way is the only good option.",yes,3,4.0,https://www.amazon.ca/Go-tcha-Evolve-LED-Touch-Wristband-Pokemon/dp/B07YQT6QWS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:49:11.616067,2020-09-30 06:49:20.967511,Glen,Clothing & Accessories,B002G9UDYG,B07YQT6QWS
2,2,2,2,AF37A4IME35JZGECEKIYL27TW7DQ,"January 14, 2020",repetitive and vague,"this book says the same thing over and over in a slightly different, but mostly the same way in each and every chapter",yes,0,2.0,https://www.amazon.ca/Untethered-Soul-Journey-Beyond-Yourself/dp/1572245379/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:49:28.389161,2020-09-30 06:49:39.604768,Glen,Clothing & Accessories,B002G9UDYG,1572245379
3,3,3,3,AF37A4IME35JZGECEKIYL27TW7DQ,"September 28, 2019",Sandy shakes,Gritty. Doesn't disove well. Not sure about flavor because I blend it with spinach and berries but gives the smoothie a sandy texture. Will not buy again,yes,0,2.0,https://www.amazon.ca/Kaizen-Naturals-Protein-Certified-Non-GMO/dp/B00K16Y12G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:49:48.726075,2020-09-30 06:49:56.129159,Glen,Clothing & Accessories,B002G9UDYG,B00K16Y12G
4,4,4,4,AF37A4IME35JZGECEKIYL27TW7DQ,"August 22, 2019",Not even worth $1,Super cheap thin plastic fabric. Suction cups came deformed from packaging so they didn't work and the velcro started ripping off the first time I opened the neck hole to use it,yes,0,1.0,https://www.amazon.ca/Mustache-Grooming-Shaving-Trimmer-Clipper/dp/B074RZ269J/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:50:04.250614,2020-09-30 06:50:13.652322,Glen,Clothing & Accessories,B002G9UDYG,B074RZ269J
5,5,5,5,AF37A4IME35JZGECEKIYL27TW7DQ,"May 21, 2019","Save your money, dont buy",Way too small. No return or exchange allowed by seller. T shirt appears to be cheap quality and it shrunk unevenly in the wash,yes,One,1.0,https://www.amazon.ca/Top-Tshirt-Keyboard-Moon-Mens-T-Shirt/dp/B07BCXJ39B/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:50:21.764698,2020-09-30 06:50:31.134833,Glen,Clothing & Accessories,B002G9UDYG,B07BCXJ39B
6,6,6,6,AF37A4IME35JZGECEKIYL27TW7DQ,"April 22, 2019",They worked great while they lasted,These fell apart after a few months of use. They still work for now but I have to keep putting the ear buds back together. I'm sure the wires will get too damaged to work very soon.,yes,0,2.0,https://www.amazon.ca/Bluetooth-Headphones-iHarbort-Waterproof-Cancelling/dp/B07LBP4RF2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:50:40.249486,2020-09-30 06:50:48.674213,Glen,Clothing & Accessories,B002G9UDYG,B07LBP4RF2
7,7,7,7,AF37A4IME35JZGECEKIYL27TW7DQ,"March 12, 2019",Vg,VG,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:50:57.800903,2020-09-30 06:51:06.186664,Glen,Clothing & Accessories,B002G9UDYG,B002G9UDYG
8,8,8,8,AF37A4IME35JZGECEKIYL27TW7DQ,"March 12, 2019",Great price good product,It’s usually able to boost my POS Nissan Frontier 4L V6. But on the -30 days it doesn’t have the juice...,yes,0,4.0,https://www.amazon.ca/GOOLOO-20800mAh-Starter-Portable-Protection/dp/B075BJ3LSF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:51:15.304866,2020-09-30 06:51:23.621083,Glen,Clothing & Accessories,B002G9UDYG,B075BJ3LSF
9,9,9,9,AF37A4IME35JZGECEKIYL27TW7DQ,"December 17, 2018",Keyed alike,I use all of them on indoor lockers. They are all keyed alike. They work well enough. Good enough for work lockers. Wish I could get more keyed alike,yes,0,4.0,https://www.amazon.ca/Guard-Security-624X4-Padlock-Standard/dp/B000I1TENK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:51:32.768498,2020-09-30 06:51:41.224552,Glen,Clothing & Accessories,B002G9UDYG,B000I1TENK
10,10,10,10,AF37A4IME35JZGECEKIYL27TW7DQ,"December 12, 2018",UPDATE. A week later and another cord is broken,The 10 ft cable is broken already after 2 weeks... It just stayed plugged into the wall near my couch since I got it. ...one of the 6 foot cables has stopped working now too. These are a waste of money,yes,0,1.0,https://www.amazon.ca/TNSO-Charge-Braided-Charger-Charging/dp/B07K1X27P7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:51:49.341603,2020-09-30 06:51:56.746692,Glen,Clothing & Accessories,B002G9UDYG,B07K1X27P7
11,11,11,11,AF37A4IME35JZGECEKIYL27TW7DQ,"November 15, 2018",Five Stars,Perfect camp hammock. I don’t even bring a tent for camping anymore,yes,0,5.0,https://www.amazon.ca/Double-Outdoor-Camping-Hammocks-Lightweight/dp/B06ZYDZGJJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:52:04.871242,2020-09-30 06:52:11.250357,Glen,Clothing & Accessories,B002G9UDYG,B06ZYDZGJJ
12,12,12,12,AF37A4IME35JZGECEKIYL27TW7DQ,"November 15, 2018",Five Stars,"Stuck it on my truck, it’s survived everything from hwy driving to car washes",yes,0,5.0,https://www.amazon.ca/Sharks-Hockey-Bumper-Sticker-Decal/dp/B00S6D9A6S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:52:18.344740,2020-09-30 06:52:27.781471,Glen,Clothing & Accessories,B002G9UDYG,B00S6D9A6S
13,13,13,13,AF37A4IME35JZGECEKIYL27TW7DQ,"November 15, 2018",Five Stars,"Works awesome, clear sound",yes,0,5.0,https://www.amazon.ca/Bluetooth-Transmitter-LDesign-Hands-Free-Player%EF%BC%88Grey/dp/B071KKNHG1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:52:34.897956,2020-09-30 06:52:43.317192,Glen,Clothing & Accessories,B002G9UDYG,B071KKNHG1
14,14,14,14,AF37A4IME35JZGECEKIYL27TW7DQ,"November 15, 2018",Four Stars,"These work awesome but if you have the heat on in the car, your phone gets really warm.",yes,0,4.0,https://www.amazon.ca/Magnetic-Mpow-Universal-Samsung-Smartphones/dp/B06XK6WFB7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:52:53.436426,2020-09-30 06:53:02.861076,Glen,Clothing & Accessories,B002G9UDYG,B06XK6WFB7
15,15,15,15,AF37A4IME35JZGECEKIYL27TW7DQ,"November 15, 2018",Five Stars,Perfect fit and functionality,yes,0,5.0,https://www.amazon.ca/Motorcycle-Screws-Sliders-Spools-Yamaha/dp/B07DXMT58S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:53:09.970300,2020-09-30 06:53:17.422457,Glen,Clothing & Accessories,B002G9UDYG,B07DXMT58S
16,16,16,16,AF37A4IME35JZGECEKIYL27TW7DQ,"November 15, 2018",Four Stars,Brand new and working perfectly. Just wish the price was lower on these controllers,yes,0,4.0,https://www.amazon.ca/DualShock-Green-Camouflage-Controller-PlayStation/dp/B01N02UQ05/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:53:24.532392,2020-09-30 06:53:31.973984,Glen,Clothing & Accessories,B002G9UDYG,B01N02UQ05
