,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AF54INLZJACPBFFRDTGCYVCFIJWQ,"July 6, 2019",Ok,Ok,yes,0,5.0,https://www.amazon.ca/Click-Play-Rock-Crawler-Vehicle/dp/B01MREB3N9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:26:20.156319,2020-09-30 08:26:26.486523,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01MREB3N9
1,1,1,1,AF54INLZJACPBFFRDTGCYVCFIJWQ,"July 6, 2019",Ok,Ok,yes,One,5.0,https://www.amazon.ca/Downy-Unstopables-Wash-Booster-Original/dp/B077Q5XN3W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:26:33.579836,2020-09-30 08:26:41.897915,Amazon Customer,Clothing & Accessories,B002G9UDYG,B077Q5XN3W
2,2,2,2,AF54INLZJACPBFFRDTGCYVCFIJWQ,"March 12, 2019",Parfait dans l’auto,Parfait dans l’auto,yes,0,4.0,https://www.amazon.ca/Glade-Plugins-Scented-Car-Refill/dp/B071P6HTBW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:26:49.984423,2020-09-30 08:26:59.219087,Amazon Customer,Clothing & Accessories,B002G9UDYG,B071P6HTBW
3,3,3,3,AF54INLZJACPBFFRDTGCYVCFIJWQ,"March 12, 2019",Bon bon,Bon ben,yes,One,5.0,https://www.amazon.ca/REESE-Peanut-Butter-Christmas-Chocolate/dp/B01K6QIPEK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:27:08.312876,2020-09-30 08:27:14.609095,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01K6QIPEK
4,4,4,4,AF54INLZJACPBFFRDTGCYVCFIJWQ,"March 12, 2019",Bonbons,Bonbons,yes,0,5.0,https://www.amazon.ca/Skittles-Multi-coloured-Candies-Count-304gm/dp/B00M1CJAZG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:27:23.705508,2020-09-30 08:27:31.980239,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00M1CJAZG
5,5,5,5,AF54INLZJACPBFFRDTGCYVCFIJWQ,"March 12, 2019",Crème à raserCrè,Crème à raser,yes,0,5.0,https://www.amazon.ca/Skintimate-Skin-Therapy-Womens-Shave/dp/B000URD53C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:27:41.070452,2020-09-30 08:27:50.317938,Amazon Customer,Clothing & Accessories,B002G9UDYG,B000URD53C
6,6,6,6,AF54INLZJACPBFFRDTGCYVCFIJWQ,"March 12, 2019",Beaucoup trop long à recevoir mais de bonne,Trop long à recevoir mes très bons,yes,0,4.0,https://www.amazon.ca/Kinder-Bueno-43g-bar-10/dp/B00AD4CQ4G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:27:58.408068,2020-09-30 08:28:04.698502,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00AD4CQ4G
7,7,7,7,AF54INLZJACPBFFRDTGCYVCFIJWQ,"March 12, 2019",Dentifrice,Dentifrice,yes,0,4.0,https://www.amazon.ca/Sensodyne-ProNamel-Gentle-Whitening-Toothpaste/dp/B00HHY9V5M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:28:11.786120,2020-09-30 08:28:21.053425,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00HHY9V5M
8,8,8,8,AF54INLZJACPBFFRDTGCYVCFIJWQ,"March 12, 2019",Un peu Longue,Tuque de bonne qualité,yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:28:28.145715,2020-09-30 08:28:34.418424,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002G9UDYG
9,9,9,9,AF54INLZJACPBFFRDTGCYVCFIJWQ,"March 12, 2019",Ok,Ouvre porte de garage,yes,0,5.0,https://www.amazon.ca/Genuine-Sony-Lithium-Batteries-Freshly/dp/B00MX89NJG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:28:42.509028,2020-09-30 08:28:50.778979,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00MX89NJG
