,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"June 4, 2020",Love them!!!!🥰,Love them!!!! Unsure of the mixed reviews! I love the band for my Apple Watch! The scrunchies are cute too! It was a bit tight to begin with but with a little pulling it stretched it right into place :),yes,0,5.0,https://www.amazon.ca/Scrunchie-Elastic-Compatible-Scrunchies-Ponytail/dp/B082TN4PPL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:13:04.955472,2020-09-30 20:13:13.409215,Lisa,Clothing & Accessories,B002G9UDYG,B082TN4PPL
1,1,1,1,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"June 1, 2020",Good but too tight,Way too tight! I have small wrists about 5.5 inches and I got a small. Will get a large next time.,yes,0,4.0,https://www.amazon.ca/dp/B087B7PH99/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:13:22.550356,2020-09-30 20:13:28.940648,Lisa,Clothing & Accessories,B002G9UDYG,B087B7PH99
2,2,2,2,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"May 15, 2020",❤️❤️,"Great lamp!!! Gets my manicures done in no time, also it’s very cute on my nail desk",yes,0,5.0,https://www.amazon.ca/Homga-Professional-Portable-Timers-Removable/dp/B07XKSPLZC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:13:36.024566,2020-09-30 20:13:44.298891,Lisa,Clothing & Accessories,B002G9UDYG,B07XKSPLZC
3,3,3,3,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"March 23, 2020",😊,Very good too and base coat!!!very happy!,yes,0,5.0,https://www.amazon.ca/AIMEILI-Soak-Off-Nail-Polish/dp/B00PF9Q5EG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:13:51.411098,2020-09-30 20:13:57.807768,Lisa,Clothing & Accessories,B002G9UDYG,B00PF9Q5EG
4,4,4,4,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"March 23, 2020",😊,Perfect! Exactly what I was looking for! Very good quality!,yes,One,5.0,https://www.amazon.ca/BB-BROTHER-Sneakers-Replacement-Shoelaces/dp/B07SF8K2PJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:14:05.904943,2020-09-30 20:14:12.248917,Lisa,Clothing & Accessories,B002G9UDYG,B07SF8K2PJ
5,5,5,5,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"March 21, 2020",Great product!,Great package! Stamped and plate work great it just takes a little bit of time to get used to it!,yes,0,5.0,https://www.amazon.ca/Stamping-Templates-Stamper-Manicure-Organizer/dp/B0797VNFCM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:14:22.359706,2020-09-30 20:14:29.794165,Lisa,Clothing & Accessories,B002G9UDYG,B0797VNFCM
6,6,6,6,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"November 6, 2019",👍👍,Excellent quality! I am very impressed especially for the price!,yes,0,5.0,https://www.amazon.ca/JETech-iPhone-Shock-Absorption-Bumper-Anti-Scratch/dp/B075MX2FKY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:14:39.894123,2020-09-30 20:14:49.010032,Lisa,Clothing & Accessories,B002G9UDYG,B075MX2FKY
7,7,7,7,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"November 1, 2019",🥰🥰,Absolutely adorable,yes,0,5.0,https://www.amazon.ca/Queenxbar-Portable-Swarovski-Crystals-Protective/dp/B07XBRK1QS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:14:59.119965,2020-09-30 20:15:06.528851,Lisa,Clothing & Accessories,B002G9UDYG,B07XBRK1QS
8,8,8,8,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"October 31, 2019",❤️,"Very comfy, cute and sturdy!!",yes,0,5.0,https://www.amazon.ca/Peach-Bands-Padded-Machines-Single/dp/B07KTDYF5G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:15:16.640877,2020-09-30 20:15:24.028563,Lisa,Clothing & Accessories,B002G9UDYG,B07KTDYF5G
9,9,9,9,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"October 29, 2019",👍,Warm and looks great!,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:15:31.134356,2020-09-30 20:15:38.583833,Lisa,Clothing & Accessories,B002G9UDYG,B002G9UDYG
10,10,10,10,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"October 27, 2019",Love them,👍,yes,0,5.0,https://www.amazon.ca/Ardell-Multipack-Individual-Lashes-1-Count/dp/B00D395SMA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:15:45.684534,2020-09-30 20:15:54.066493,Lisa,Clothing & Accessories,B002G9UDYG,B00D395SMA
11,11,11,11,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"October 24, 2019",❤️❤️, Beautiful makeup organizer! Sturdy and holds a lot of products!,yes,22,5.0,https://www.amazon.ca/COOLBEAR-Organizer360-Adjustable-Lipsticks-Transparent/dp/B075QVPYXV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:16:02.204939,2020-09-30 20:16:10.644477,Lisa,Clothing & Accessories,B002G9UDYG,B075QVPYXV
12,12,12,12,AF66AIKSRFFQE5Z7MDSAWXVUCEKQ,"October 22, 2019",It works !,Really brightens hair and takes out brassy tones !!,yes,0,5.0,https://www.amazon.ca/Enhances-Platinum-Sulfate-Conditioner-Bleached/dp/B07F1XK8WD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:16:19.796186,2020-09-30 20:16:28.202760,Lisa,Clothing & Accessories,B002G9UDYG,B07F1XK8WD
