,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"July 10, 2020",Decently made..... extremely late deliver,"Overall ~ I wish it wasn’t over a week late! And that I had original packaging so I could return for a heavier blanket
After loads of reviews I finally ordered a weighted blanket. Originally was supposed to be a gift for my daughter, so ordered well in advance. As I watch her birthday get closer and still no blanket, I went out and purchased another one from the store for her.
When this blanket finally arrived (over a week late and I pay for prime!) I decided to keep for myself (kids opened so really no choice) I weigh 115 (kiddo is 110) so ordered the 15 lb blanket, I am sorry to say it is not heavy enough for me. Or her for that mater. And I can’t return as I do not have original packaging.
The blanket it’s self is good. 4”x”4” squares so the beads stay where they are supposed to, the material seems to be decent quality. I order a queen size. So you know, the blanket is not supposed to overhang the bed. Queen size blanket is about a “double bed” size and that is how it is supposed to be.",yes,2,3.0,https://www.amazon.ca/YnM-Weighted-Blanket-Material-Insomnia/dp/B075F9ST7G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:04:11.548791,2020-09-30 06:04:21.061238,Breann Allin,Clothing & Accessories,B002G9UDYG,B075F9ST7G
1,1,1,1,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"July 10, 2020",Fits VERY large.,"After waiting over a month for arrival the dress was entirely to big. I did look at the sizing chart and orderd accordingly, yet you could probably fit 2 of me in it.
The packaging looked like it had been Someone’s foot rest, so can’t even make out the address to return.",yes,0,1.0,https://www.amazon.ca/oodji-Womens-Flounce-Jersey-Off-White/dp/B07FCFZ3GT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:04:31.159375,2020-09-30 06:04:40.526776,Breann Allin,Clothing & Accessories,B002G9UDYG,B07FCFZ3GT
2,2,2,2,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"January 14, 2020",Eve Dallas always delivers,"The title says it all, gripping from start to finish. The in death series is. Fabulous read no matter how many times I have read it.",yes,0,5.0,https://www.amazon.ca/Glory-Death-Book-2-ebook/dp/B0013380Z0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:04:50.627894,2020-09-30 06:04:57.998895,Breann Allin,Clothing & Accessories,B002G9UDYG,B0013380Z0
3,3,3,3,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"December 25, 2019",Does not work,"I purchased a Lego 42095 set as a Christmas present, the remote lights up but the ""motor"" does not work. We have tried everything. Needless to say I have a very frustrated kid and parents for that matter.",yes,0,1.0,https://www.amazon.ca/LEGO-Technic-Remote-Controlled-Stunt-Building/dp/B07GZ4FNB2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:05:08.109103,2020-09-30 06:05:14.516233,Breann Allin,Clothing & Accessories,B002G9UDYG,B07GZ4FNB2
4,4,4,4,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"December 20, 2019",My one permanent counter item,"I hate clutter on my counter but the Instapot has a permanent home there. Since purchase I have used daily, roast from rock hard frozen to on the table in under an hour, potatoes perfectly done. I bought bone in chicken cooked in the instapot and was fall of the bone perfect in 30 minutes. I am horrible for never knowing what to make for dinner while still trying to be healthy, a quick google search has me trying new things because with the Instapot it's quick and easy.",yes,0,5.0,https://www.amazon.ca/Instant-Pot-Duo-Plus-Programmable/dp/B01NBKTPTS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:05:21.627042,2020-09-30 06:05:28.056998,Breann Allin,Clothing & Accessories,B002G9UDYG,B01NBKTPTS
5,5,5,5,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"March 8, 2019",Very small,"Cute little book, 4 in a package I should have read the description better as it is very little (4x4) and only has about 20 pages.",yes,0,3.0,https://www.amazon.ca/Spiral-Notebook-Notepad-Holder-Colored/dp/B07DCV536Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:05:37.164976,2020-09-30 06:05:46.558935,Breann Allin,Clothing & Accessories,B002G9UDYG,B07DCV536Y
6,6,6,6,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"March 5, 2019",Warm,"Warm, durable and washable",yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:05:54.685768,2020-09-30 06:06:01.104816,Breann Allin,Clothing & Accessories,B002G9UDYG,B002G9UDYG
7,7,7,7,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"March 5, 2019",Addictive,So glad to see this on prime. Totally addictive,yes,0,4.0,https://www.amazon.ca/Chicago-Fire-Season-Sous-titres-fran%C3%A7ais/dp/B07DKSJ7BJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:06:09.207699,2020-09-30 06:06:18.610227,Breann Allin,Clothing & Accessories,B002G9UDYG,B07DKSJ7BJ
8,8,8,8,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"March 5, 2019",Very engaging,"Great book, very engaging, now looking for the next one's.",yes,0,4.0,https://www.amazon.ca/Books-Surgical-Strike-Unit-Book-ebook/dp/B077LZ4VF2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:06:27.720244,2020-09-30 06:06:37.155595,Breann Allin,Clothing & Accessories,B002G9UDYG,B077LZ4VF2
9,9,9,9,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"March 5, 2019",Little tight,"A little tight fitting, but great quality, and very durable. Did not shrink in the wash witch is helpful",yes,0,4.0,https://www.amazon.ca/Jerzees-Adult-Sleeve-Black-X-Large/dp/B00T7TXSGS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:06:47.274693,2020-09-30 06:06:56.641626,Breann Allin,Clothing & Accessories,B002G9UDYG,B00T7TXSGS
10,10,10,10,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"March 5, 2019",Perfect,"Purchased as a gift, and worked like a charm
Easy to set up and use",yes,0,5.0,https://www.amazon.ca/HP-Sprocket-Portable-Printer-Sticky-Backed/dp/B075GBCGTB/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:07:03.751736,2020-09-30 06:07:12.144720,Breann Allin,Clothing & Accessories,B002G9UDYG,B075GBCGTB
11,11,11,11,AF7RWH3OOW2BEPLET7OBOPBAFJXA,"March 5, 2019",Easy to use,"Pegs come out so you can adjust size, but don't fall out while working with it. Delivery was very fast",yes,0,5.0,https://www.amazon.ca/Afghan-Knitting-Sewing-Handwork-Crafts/dp/B07FCDSX67/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 06:07:20.261649,2020-09-30 06:07:26.634390,Breann Allin,Clothing & Accessories,B002G9UDYG,B07FCDSX67
