,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"August 18, 2020",Good but not for me,The product was good but it wasn't for me me. Their customer service however was very good and they gave me a full refund when I explained I didn't like it.,yes,0,4.0,https://www.amazon.ca/Pomade-Men-Classic-Styling-Pompadour/dp/B01IA9VN4O/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:29:57.991988,2020-09-19 01:30:05.277712,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B01IA9VN4O
1,1,1,1,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"February 25, 2020",Fits small,"Order a size up for sure.
In my other Carhartts I'm a 32 and I had to order a 34 waist. Other than that they are great pants.",yes,One,4.0,https://www.amazon.ca/Carhartt-Mens-Rugged-Relaxed-Black/dp/B07RQW648J/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:30:13.370770,2020-09-19 01:30:22.636948,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B07RQW648J
2,2,2,2,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"February 21, 2020",Very tough,Will buy another one if my dogs ever destroy this thing. It's definitely their favourite toy to fight over.,yes,10,5.0,https://www.amazon.ca/M-C-works-Pineapple-Aggressive-Chewer-Indestructible/dp/B07SPZKGJV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:30:29.730639,2020-09-19 01:30:39.021542,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B07SPZKGJV
3,3,3,3,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"February 5, 2020",Great pants. Small fit,Very comfortable and feel super durable however they fit small. I'm a 32 in Carhartt Ripstop pants and I had to order a 34 in these guys.,yes,0,4.0,https://www.amazon.ca/Carhartt-Rugged-Relaxed-Double-Front/dp/B07BNY399D/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:30:49.114043,2020-09-19 01:30:57.388030,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B07BNY399D
4,4,4,4,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"December 25, 2019",Softness,Super soft and feel very durable so far after a few washes.,yes,0,5.0,https://www.amazon.ca/Carhartt-FORCE-Performance-Quarter-3-Pack/dp/B00TR431U6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:31:05.480238,2020-09-19 01:31:11.746391,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B00TR431U6
5,5,5,5,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"November 3, 2019",Nice,Like the classic Klein handle for a terminal driver. Same Klein quality.,yes,0,5.0,https://www.amazon.ca/Klein-Tools-612-4-Terminal-Screwdriver/dp/B0058I6VNE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:31:19.841986,2020-09-19 01:31:27.099800,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B0058I6VNE
6,6,6,6,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"November 3, 2019",Worth a shot if you're thinking about it,Only had these for a few weeks but man they're sweet. Already cut through things my old Kleins never could.,yes,0,5.0,https://www.amazon.ca/Knipex-74-21-200-Leverage/dp/B000K1LPPS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:31:36.192302,2020-09-19 01:31:43.500519,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B000K1LPPS
7,7,7,7,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"November 3, 2019",Great quality,Great quality. Fits a little snug though compared to my black Carhartt hat,yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:31:50.592137,2020-09-19 01:31:59.869480,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B002G9UDYG
8,8,8,8,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"October 5, 2019",Good buy,Fits nicely in my Ford Focus. Came sooner than expected.,yes,0,5.0,https://www.amazon.ca/MagiDeal-Retainer-Manual-Shifter-M12mmX1-25mm/dp/B01MDM718S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:32:08.968107,2020-09-19 01:32:17.240238,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B01MDM718S
9,9,9,9,AFA2FNJU2BO6ACMFUDSPSA6BA4QA,"September 28, 2019",Good buy,"Exactly what I was looking for, however I needed to purchase a boot retainer for my Ford Focus.",yes,0,5.0,https://www.amazon.ca/Universal-Shift-Shifter-Lever-Carbon/dp/B01GCKWHY8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 01:32:26.330263,2020-09-19 01:32:32.564717,GuitarredNFeathered,Clothing & Accessories,B002G9UDYG,B01GCKWHY8
