,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"February 16, 2020",4/5 Says the boyfriend. He would buy again.,"Boyfriend says, ""The ankle cuffs are non-ajustable. He would have perferred the ankle cuffs an inch tighter. He likes the color and the material. He does not like that they have too much fabric in the butt giving it a diaper feel. He says that if you have a big butt then it's no problem. He likes the waistline and it's ajustable.",yes,0,4.0,https://www.amazon.ca/WT02-Jogger-Colors-Stretch-Tobacco/dp/B07CD651FF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:39:13.282593,2020-09-18 23:39:21.563906,Esperanza,Clothing & Accessories,B002G9UDYG,B07CD651FF
1,1,1,1,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"February 3, 2020",My daughters LOVE them.,My kids LOVE their multivitamen gummies. They always want more! I may have to start buying them candy gummies so they can eat more haha. My girls are 2 and 1/2 and 5 years old. 😊,yes,0,5.0,https://www.amazon.ca/Jamieson-7878-Kids-Multivitamin-Gummies/dp/B01D1RM1FA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:39:28.655036,2020-09-18 23:39:34.948806,Esperanza,Clothing & Accessories,B002G9UDYG,B01D1RM1FA
2,2,2,2,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"February 3, 2020",The CHARACTERS from the 3 books are all INTERWINED! 5/5,It's so much more awesome than expected. Make sure to buy tge other 2 matches books because the characters are all INTERTWINED! As a mom it got to me in my feels and I cried a couple tears. Really helps kids to understand bullying from ALL perspectives. 5\5. I have one last book to buy to complete the 3.,yes,0,5.0,https://www.amazon.ca/Dare-Story-Standing-Bullying-Schools/dp/1575424398/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:39:42.050029,2020-09-18 23:39:51.282025,Esperanza,Clothing & Accessories,B002G9UDYG,1575424398
3,3,3,3,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"February 3, 2020",5/5 Boyfriend Loves it!,I bought this as a suprise for my boyfriend and he LOVES it! It has a nice weight to it and if you're wondering how much coffee it takes... I poured almost an entire coffee pot in it! That's a PLUS for my hoyfriend because he works construction outside all day with little to 0 breaks. It's worth the money for sure and seems to be leak proof. There's also a semi-hidden bottle opener on the bottom! Very impressed with this thermos! Looks like I'm getting lucky tonight 😏,yes,One,5.0,https://www.amazon.ca/Bubba-Brands-Mug-52-Black/dp/B00YG9SQM0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:40:00.374387,2020-09-18 23:40:07.695430,Esperanza,Clothing & Accessories,B002G9UDYG,B00YG9SQM0
4,4,4,4,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"January 29, 2020",5/5 super cute. Can't find a coloring book like this anywhere else!,Supet cute! This book is just as cute in person as it is as the picture online! My 2.5 year old loved it!!,yes,0,5.0,https://www.amazon.ca/Puppy-Bunny-Kitten-Coloring-Book/dp/1798955091/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:40:14.784961,2020-09-18 23:40:22.050930,Esperanza,Clothing & Accessories,B002G9UDYG,1798955091
5,5,5,5,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"January 14, 2020",Great if you order 2 sizes up.,"Very nice IF you order 2 sizes UP. I'm usually a size Medium. I'm 5'6"". Aftet reading thw reviews I made sure to order bigger and I'm glad I did. It's super cute and athletic looking. No cleavage in the front and a cute criss cross in the back. I would not have fit this top if I had ordered my size. Order 2 sizes up.",yes,3,4.0,https://www.amazon.ca/LOFHAS-Womens-Support-Workout-Running/dp/B07XMKPYS5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:40:32.143616,2020-09-18 23:40:40.453265,Esperanza,Clothing & Accessories,B002G9UDYG,B07XMKPYS5
6,6,6,6,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"January 14, 2020",Great quality. Great book 5/5,Very cute. My 2 year old loves it.,yes,0,5.0,https://www.amazon.ca/Home-Bunny-Margaret-Wise-Brown/dp/0307930092/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:40:48.546796,2020-09-18 23:40:55.822272,Esperanza,Clothing & Accessories,B002G9UDYG,0307930092
7,7,7,7,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"January 10, 2020",Dope!! I feel stronger already!,I love them! But you have to wear them with shoes or slippers or they might run on your foot bone. I wear these at work and I LOVE them. Plus they look really badass like you REALLY know what you're doing in the fitness industry even if you don't haha. I should start a Amazon blog review channel hahaha.,yes,0,5.0,https://www.amazon.ca/AmazonBasics-Adjustable-Ankle-Weights-5lb/dp/B075C7LHCM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:41:04.913502,2020-09-18 23:41:14.163324,Esperanza,Clothing & Accessories,B002G9UDYG,B075C7LHCM
8,8,8,8,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"January 10, 2020",SO HAPPY-SOFT! STRECHY! I LOVE THEM!,"OH MY GOD! Game CHANGER! Theyare so smooth and comfy!! I usually wear a small but I bought a Medium (Because usually with online shopping you prder a size up just in case) but they fit SO GOOD. I'm literally going to buy a pair of these in every colour! Bonus: the pockets are on BOTH sides!!!! I LOVE THESE PANTS!!!! I'm going to wear them at home, at work and at the gym. Stoked!!!!!!! Thank you! If you are sitting on the fence to order these then don't. You will be happy with your purchase and make sure to buy your regular size or one size up if you want a little bit of move around space. I usually fit S but ordered a Medium and I'm really happy I did :)",yes,0,5.0,https://www.amazon.ca/ALONG-FIT-Leggings-Pockets-Control/dp/B07DDGPWSH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:41:23.253468,2020-09-18 23:41:29.532418,Esperanza,Clothing & Accessories,B002G9UDYG,B07DDGPWSH
9,9,9,9,AFD4CKSX5C3M3M5MFLUTR4PX6KJA,"January 7, 2020",Thinner like a shirt. Not as thick as It looks,"The good is very large and thick compared to the rest of the jacket. It is more lile a SHIRT and not very warm. It's very thin in material and I actually expected something THICKER... I was dissapointed. My boyfriend likes it as a T-shirt and it looks nice as a shirt. He wears it all the time. He is 5,9 and 140lbs. We like the length on it but the sleeves could be a bit longer.",yes,One,3.0,https://www.amazon.ca/Gioberti-Removable-Plaid-Flannel-Medium/dp/B074CKWVJW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:41:37.619007,2020-09-18 23:41:46.924575,Esperanza,Clothing & Accessories,B002G9UDYG,B074CKWVJW
