,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFGMGM3FYEONPY6XQHHWZCF7263A,"February 18, 2019",Good price,Fits as expected.,yes,0,4.0,https://www.amazon.ca/Dorman-917-176-Variable-Timing-Solenoid/dp/B01MZ9ZIR0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:29:35.425590,2020-09-19 02:29:42.695991,I Like Good Products,Clothing & Accessories,B002G9UDYG,B01MZ9ZIR0
1,1,1,1,AFGMGM3FYEONPY6XQHHWZCF7263A,"February 18, 2019",Good toque,Four stars since it shrunk just a bit but nothing to lose sleep over.,yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:29:49.789036,2020-09-19 02:29:58.035951,I Like Good Products,Clothing & Accessories,B002G9UDYG,B002G9UDYG
2,2,2,2,AFGMGM3FYEONPY6XQHHWZCF7263A,"January 31, 2019","Quality belt, good price point","Doesn’t fit exactly perfect for my 02 RSX base. Factory belt has 7 ribs opposed to this one which only has 6, but so far no problems and the belt seems to be holding up.",yes,0,4.0,https://www.amazon.ca/Bando-6PK1740-Quality-Serpentine-Belt/dp/B000CAXI4I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:30:08.129538,2020-09-19 02:30:15.428454,I Like Good Products,Clothing & Accessories,B002G9UDYG,B000CAXI4I
3,3,3,3,AFGMGM3FYEONPY6XQHHWZCF7263A,"January 31, 2019",Good quality,Fit great had zero problems just plug and play.,yes,0,5.0,https://www.amazon.ca/NTK-24409-Packaging-Oxygen-Sensor/dp/B001PN8TWC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:30:23.522118,2020-09-19 02:30:29.801566,I Like Good Products,Clothing & Accessories,B002G9UDYG,B001PN8TWC
4,4,4,4,AFGMGM3FYEONPY6XQHHWZCF7263A,"January 31, 2019",Good quality and price,"Solid tool, worked great for getting a rusty sensor off.",yes,0,5.0,https://www.amazon.ca/TEKTON-47749-8-Inch-Offset-Oxygen/dp/B00GMN4D1Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:30:39.897474,2020-09-19 02:30:46.174973,I Like Good Products,Clothing & Accessories,B002G9UDYG,B00GMN4D1Q
5,5,5,5,AFGMGM3FYEONPY6XQHHWZCF7263A,"January 23, 2019",Meh,Worked well for the first week or so then the cap broke so it does not close properly sometimes.,yes,0,3.0,https://www.amazon.ca/Insulated-Native-American-Coffee-Tumbler/dp/B01DV1RWBO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:30:56.269178,2020-09-19 02:31:04.525635,I Like Good Products,Clothing & Accessories,B002G9UDYG,B01DV1RWBO
6,6,6,6,AFGMGM3FYEONPY6XQHHWZCF7263A,"December 27, 2018",Great price!,"Great price, fast shipping, good quality oil.",yes,0,5.0,https://www.amazon.ca/Golden-Horse-Synthetic-Engine-Litres/dp/B07DP799H6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:31:13.621329,2020-09-19 02:31:20.909275,I Like Good Products,Clothing & Accessories,B002G9UDYG,B07DP799H6
7,7,7,7,AFGMGM3FYEONPY6XQHHWZCF7263A,"December 24, 2018",Great price,"Great price and gets the job done. Good product.
Fits great in my 02 Rsx",yes,0,5.0,https://www.amazon.ca/POTAUTO-MAP-1004W-Replacement-compatible/dp/B00X5GOS1S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:31:28.003814,2020-09-19 02:31:34.291695,I Like Good Products,Clothing & Accessories,B002G9UDYG,B00X5GOS1S
8,8,8,8,AFGMGM3FYEONPY6XQHHWZCF7263A,"December 23, 2018","Fast delivery, good product.",Fits great in my 02 Acura RSX. fast Shipping. So far so good!,yes,0,5.0,https://www.amazon.ca/TYC-700243-Replacement-Blower-Assembly/dp/B00C9U3F1K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:31:41.384549,2020-09-19 02:31:50.662737,I Like Good Products,Clothing & Accessories,B002G9UDYG,B00C9U3F1K
9,9,9,9,AFGMGM3FYEONPY6XQHHWZCF7263A,"December 14, 2018",Good price,"Was skeptical about buying this but it was definitely worth it considering it’s only 20$CAD, so far it works great on my 02 Acura RSX. Will keep this review updated in the coming months.",yes,One,5.0,https://www.amazon.ca/Mean-Mug-Auto-81514-1119A-Sensor/dp/B074DRB24B/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:31:57.758958,2020-09-19 02:32:06.049229,I Like Good Products,Clothing & Accessories,B002G9UDYG,B074DRB24B
10,10,10,10,AFGMGM3FYEONPY6XQHHWZCF7263A,"December 14, 2018",Fast shipping,"First time buying a product like this, it did well for the cost of purchase :)",yes,0,4.0,https://www.amazon.ca/Cosmetic-Deodorants-Mary-Tylor-Naturals/dp/B01FCF5RIC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:32:16.135851,2020-09-19 02:32:25.390430,I Like Good Products,Clothing & Accessories,B002G9UDYG,B01FCF5RIC
11,11,11,11,AFGMGM3FYEONPY6XQHHWZCF7263A,"June 15, 2018",Microphone Stopped Working,Microphone stopped working after only a couple months of use!,yes,One,1.0,https://www.amazon.ca/Kingston-HyperX-Cloud-Gaming-Headset/dp/B0153XL4V2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:32:34.480859,2020-09-19 02:32:43.781484,I Like Good Products,Clothing & Accessories,B002G9UDYG,B0153XL4V2
12,12,12,12,AFGMGM3FYEONPY6XQHHWZCF7263A,"June 9, 2018",Bad product,Welded poorly also rattles around when hanging on the door.,yes,One,1.0,https://www.amazon.ca/InterDesign-Classico-12-Hook-Coats-Towels/dp/B004KKX9KE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:32:53.878009,2020-09-19 02:33:00.152537,I Like Good Products,Clothing & Accessories,B002G9UDYG,B004KKX9KE
13,13,13,13,AFGMGM3FYEONPY6XQHHWZCF7263A,"April 19, 2018",meh,Decent over priced in my opinion,yes,0,3.0,https://www.amazon.ca/Rockford-Fosgate-T1462-Coaxial-Speakers/dp/B002G9DO8S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:33:09.245781,2020-09-19 02:33:16.565664,I Like Good Products,Clothing & Accessories,B002G9UDYG,B002G9DO8S
14,14,14,14,AFGMGM3FYEONPY6XQHHWZCF7263A,"April 19, 2018",Expensive,I was able to replace my screen wasn't fun but now it works,yes,0,3.0,https://www.amazon.ca/HYYT-Samsung-Digitizer-Replacement-Assembly/dp/B078W5N2G1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:33:24.658040,2020-09-19 02:33:32.928562,I Like Good Products,Clothing & Accessories,B002G9UDYG,B078W5N2G1
15,15,15,15,AFGMGM3FYEONPY6XQHHWZCF7263A,"April 13, 2018",Buy This,This lamp is so great aesthetically and functionally,yes,0,5.0,https://www.amazon.ca/TaoTronics-Charging-Lighting-Brightness-Licensing/dp/B00APAQSP6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:33:43.022944,2020-09-19 02:33:52.300801,I Like Good Products,Clothing & Accessories,B002G9UDYG,B00APAQSP6
16,16,16,16,AFGMGM3FYEONPY6XQHHWZCF7263A,"April 13, 2018",Product Came Deformed,"My product quality was poor, the handle was deformed and the product doesn't work as intended.",yes,0,1.0,https://www.amazon.ca/Nonstick-4-Piece-Egg-Pancake-Ring/dp/B00005EBGU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:33:59.398185,2020-09-19 02:34:08.658641,I Like Good Products,Clothing & Accessories,B002G9UDYG,B00005EBGU
17,17,17,17,AFGMGM3FYEONPY6XQHHWZCF7263A,"March 20, 2018",American Phone in Canada,"Like most negative comments on this product, this phone has many issues working in Canada. Depending on the day you can expect to experience dropped calls, unable to send texts or connect to mobile data. I needed a backup phone this phone was a poor choice. This is the second ""unlocked"" phone I have purchased and I am starting to see a pattern of American phones not functioning properly in Canada.",yes,5,1.0,https://www.amazon.ca/dp/B071L89B61/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:34:18.752649,2020-09-19 02:34:26.087163,I Like Good Products,Clothing & Accessories,B002G9UDYG,B071L89B61
18,18,18,18,AFGMGM3FYEONPY6XQHHWZCF7263A,"October 25, 2017",Buy this,Great product cheap price,yes,0,5.0,https://www.amazon.ca/ORICO-2588US3-Screw-Less-2-5-inch-Enclosure/dp/B00IWOZAAQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:34:34.180404,2020-09-19 02:34:41.555340,I Like Good Products,Clothing & Accessories,B002G9UDYG,B00IWOZAAQ
19,19,19,19,AFGMGM3FYEONPY6XQHHWZCF7263A,"October 25, 2017",Wow,If your wipers don't work or your fluid spray this will fix it,yes,0,5.0,https://www.amazon.ca/Dorman-Wiper-Pulse-Board-88136/dp/B0002JMU3E/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:34:50.647579,2020-09-19 02:34:57.901516,I Like Good Products,Clothing & Accessories,B002G9UDYG,B0002JMU3E
20,20,20,20,AFGMGM3FYEONPY6XQHHWZCF7263A,"October 25, 2017",Good While It Lasted,"UPDATE: Controller broke like every generation one Nacon snapped at the detachable cable. I liked the controller while it lasted but definitely wouldn't buy another one.

PROS:
I really appreciate the quality and design of this controller. It has more features then a fully loaded Scuf for half the price. The addition of software really makes this controller unique in regards to pro controllers. The biggest fault of pro controllers is durability so I am hoping a licensed product by Sony has some longevity.

CON: You have to give to much information to Nacon in order to download their software.
Took me approximately a week to get used to having the analog sticks since they are offset.",yes,4,4.0,https://www.amazon.ca/Revolution-Controller-Gamepad-Playstation-Designed/dp/B01MXJF056/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:35:06.993712,2020-09-19 02:35:16.233236,I Like Good Products,Clothing & Accessories,B002G9UDYG,B01MXJF056
21,21,21,21,AFGMGM3FYEONPY6XQHHWZCF7263A,"September 1, 2017",Works I am happy,It worked came with tools which is a bonus,yes,One,4.0,https://www.amazon.ca/SANKA-Replacement-Display-Digitizer-Assembly/dp/B00W6Y80HS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 02:35:25.326553,2020-09-19 02:35:33.648483,I Like Good Products,Clothing & Accessories,B002G9UDYG,B00W6Y80HS
