,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"August 18, 2020",Blue Snowball replacement. An inclusive package that offers all necessities and more,"My Blue Snowball failed and I had to scramble to get a new microphone. I landed on this one. The mic quality is comparable to that of a Blue Snowball. With the foam padding off and without the pop filter, you can pick up more of the bass in whatever you are recording, which is what I've opted to do. Setup is just plug and play. The stand seems very sturdy, much more so than a discrete one that I've bought for around $20-30. By far the best addition is the shock mount. When I used to use my Blue Snowball on the other mic arm, my every movement on my desk (keypresses, picking up and putting down a mug) would be translated into reverb and make it really annoying for anyone that I was in a call with. However, with this shock mount, this doesn't happen anymore. I don't hear anything besides my voice in the recordings. Overall, for the money (the whole package costs the same amount as the Blue Snowball alone), the value here is terrific. I really can't be more satisfied.",yes,0,5.0,https://www.amazon.ca/Recording-Microphone-PEYOU-Professional-Suspension/dp/B08DY7XBVC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:46:46.701852,2020-09-18 16:46:55.077795,Michael Wang,Clothing & Accessories,B002G9UDYG,B08DY7XBVC
1,1,1,1,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"June 8, 2020",Looks good and feels good,"Works well, doesn't get overly hot to the touch like other adapter that I've used have. Use it to run a 144hz monitor along with many USBs. The build looks premium and feels premium. Metal construction is quite nice.",yes,0,5.0,https://www.amazon.ca/MacBook-Adapter-CHOETECH-Delivery-Reader/dp/B085VHS41R/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:47:03.171267,2020-09-18 16:47:11.451091,Michael Wang,Clothing & Accessories,B002G9UDYG,B085VHS41R
2,2,2,2,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"September 9, 2019",Battery is absolutely massive,"It takes around 2 hours to charge up fully using an iPad brick and the included cable. The construction is a matte plastic that surprisingly does not leave fingerprints or oil stains when you touch it. The pack itself feels sturdy. The 2.1 amp charging is quite fast, although not as fast as plugging directly into a fast charging brick in the wall, obviously. Good value.",yes,0,5.0,https://www.amazon.ca/Portable-%E3%80%9024800mAh%E3%80%91-Capacity-External-Smartphone/dp/B07TH2CBQ9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:47:18.544083,2020-09-18 16:47:26.838647,Michael Wang,Clothing & Accessories,B002G9UDYG,B07TH2CBQ9
3,3,3,3,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"June 9, 2019",Heavy duty,"This stand has a plastic coating over it, however is primarily made of metal. You can certainly feel how rigid and heavy the stand is. It seems very stable, holding my XPS 15 with ease. The bottom is coated with rubber, that allows it to stay in place no matter what bumps into it. The only thing is that it is a bit of a fingerprint magnet, but other than that, it has been great.",yes,0,5.0,https://www.amazon.ca/Vertical-CHOETECH-Desktop-Aluminum-Adjustable/dp/B07F9JJX98/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:47:36.921978,2020-09-18 16:47:43.170783,Michael Wang,Clothing & Accessories,B002G9UDYG,B07F9JJX98
4,4,4,4,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"March 18, 2019",Really good value,"For 90 bucks, you get a microphone, a pop filter, a stand, and a regular layover filter. The microphone's sound quality is comparable to that of a Blue Snowball. The stand feels very sturdy and made of premium materials. The pop filter is alright, but I personally opt to use the layover filter instead. Great bang for the buck and would highly recommend.",yes,8,5.0,https://www.amazon.ca/Microphone-MAONO-Condenser-Professional-Recording/dp/B07M7BHYT1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:47:51.266589,2020-09-18 16:48:00.542236,Michael Wang,Clothing & Accessories,B002G9UDYG,B07M7BHYT1
5,5,5,5,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"March 12, 2019",Works well with Blue Snowball,"The stand seems study enough. It comes with an adapter for the Blue Snowball and ample room to hang a pop filter off of. Only concern is the long term durability, but we will have to see. For the price I would recommend it.",yes,0,4.0,https://www.amazon.ca/Microphone-Suspension-Adjustable-Broadcasting-Voice-Over/dp/B07H2X4QQN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:48:09.639689,2020-09-18 16:48:18.878623,Michael Wang,Clothing & Accessories,B002G9UDYG,B07H2X4QQN
6,6,6,6,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"March 12, 2019",Great value,"The value proposition here is great. The inclusion of 2 bulbs each with a remote is very impressive given the price. The only complaint I really have is that it seems like all these RGB products use the same channel for their remotes, meaning when I press something on the remote, something happens on a different product. Otherwise, the product is solid and does what it needs to do.",yes,7,4.0,https://www.amazon.ca/ProPOW-Changing-Remote-Control-Dimmable/dp/B07H6GC96V/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:48:28.958087,2020-09-18 16:48:37.203998,Michael Wang,Clothing & Accessories,B002G9UDYG,B07H6GC96V
7,7,7,7,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"March 12, 2019",Vibrant and subtle,"The adhesive on the back of the strip makes it easy to mount anywhere. I chose to mount it on the small wooden underside of my bed frame, where it has yet to sag after a week now, appearing to be strong. The inclusion of two light strips is nice, but is only really useful if you want an extremely long singular strip. If you choose to use them separately, you must purchase another wall plug and transformer. Otherwise, the value proposition is alright and it does what it needs to well.",yes,15,4.0,https://www.amazon.ca/Waterproof-Lighting-Flexible-Changing-Controller/dp/B07L41LHDD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:48:47.298186,2020-09-18 16:48:56.554618,Michael Wang,Clothing & Accessories,B002G9UDYG,B07L41LHDD
8,8,8,8,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"March 2, 2019",Compact and affordable.,"It does what it needs to do at a very low cost. It's a great little device that doesn't protrude out of the device like some other alternatives do. The speed is pretty standard with what you would usually get with an adapter of this size. Nothing noteworthy, but this small thing sure does work and does it at a very compelling price.",yes,One,5.0,https://www.amazon.ca/Adapter-NETVIP-Wireless-Network-Compatible/dp/B07G74LQB3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:49:05.651142,2020-09-18 16:49:13.045958,Michael Wang,Clothing & Accessories,B002G9UDYG,B07G74LQB3
9,9,9,9,AFGWIQ3YERTTVFIOYT4S6GO3XLLQ,"February 26, 2019",Really does insulate better than any mug that I've ever used.,"Originally, I got this mug because I felt like it added to the minimalism and monochrome color scheme that I follow for my office setup. I just needed a standard and aesthetically pleasing mug. However, I'm genuinely blown away with how good this mug is. The construction is truly impeccable. It seems durable, the glossy finish is a bit of a fingerprint magnet but isn't too bad, and the insulation is truly out of this world. Pouring boiling hot water right out of a kettle into this cup for my morning tea does not heat the exterior in the slightest. You cannot feel ANY change in temperature on the outside of the cup. I'm truly shocked with how good this thing performs, and I would highly recommend it for any daily hot beverage consumers.",yes,4,5.0,https://www.amazon.ca/ROCONTRIP-Stainless-Coffee-Insulated-Perfect/dp/B07H25TXTS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 16:49:21.137254,2020-09-18 16:49:27.435118,Michael Wang,Clothing & Accessories,B002G9UDYG,B07H25TXTS
