,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFHA3KC6BKADKYRQAFKGXPENAQAA,"August 24, 2020",Keyboard,"The keyboard has symbols that are for another language and don't have certain symbols that are on a regular keyboard. For example, there is no dollar sign. Frustrating, as this was not on the description.",yes,0,3.0,https://www.amazon.ca/Blackberry-CLASSIC-SQC100-4-Black-Unlocked/dp/B00OYZZ3VS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:26:40.450657,2020-09-30 04:26:48.692718,caz,Clothing & Accessories,B002G9UDYG,B00OYZZ3VS
1,1,1,1,AFHA3KC6BKADKYRQAFKGXPENAQAA,"August 5, 2020",ok,One bag was stale. It's a great coffee otherwise.,yes,0,3.0,https://www.amazon.ca/Kicking-Horse-Coffee-Roast-Whole/dp/B0027Z8VES/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:26:57.779135,2020-09-30 04:27:04.080707,caz,Clothing & Accessories,B002G9UDYG,B0027Z8VES
2,2,2,2,AFHA3KC6BKADKYRQAFKGXPENAQAA,"August 5, 2020",great,comfortable,yes,0,4.0,https://www.amazon.ca/BedStory-Mattress-CertiPUR-US-Certified-Ventilated/dp/B07W7XQ4YK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:27:11.167906,2020-09-30 04:27:19.414690,caz,Clothing & Accessories,B002G9UDYG,B07W7XQ4YK
3,3,3,3,AFHA3KC6BKADKYRQAFKGXPENAQAA,"March 31, 2020",Quick dry,Not super absorbent but no sand stuck to it and easy to pack.,yes,0,5.0,https://www.amazon.ca/Microfiber-Towel-Travel-Purple-160x80cm/dp/B06XCMYJHH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:27:26.513073,2020-09-30 04:27:34.796871,caz,Clothing & Accessories,B002G9UDYG,B06XCMYJHH
4,4,4,4,AFHA3KC6BKADKYRQAFKGXPENAQAA,"March 31, 2020",slim fit,No dislikes,yes,0,4.0,https://www.amazon.ca/ONeill-Wetsuits-Protection-Womens-Tahitian/dp/B01M7V7M5X/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:27:41.889504,2020-09-30 04:27:49.132527,caz,Clothing & Accessories,B002G9UDYG,B01M7V7M5X
5,5,5,5,AFHA3KC6BKADKYRQAFKGXPENAQAA,"March 31, 2020",Great,No dislikes,yes,0,5.0,https://www.amazon.ca/Belilent-Sneakers-Athletic-Surfing-Breathable/dp/B07PM26DVD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:27:59.228619,2020-09-30 04:28:06.461443,caz,Clothing & Accessories,B002G9UDYG,B07PM26DVD
6,6,6,6,AFHA3KC6BKADKYRQAFKGXPENAQAA,"March 31, 2020",Ordered a small. but top was too small for anyone with a larger than B cup,"Quality was as expected. Service was great. When I expressed concern over the size of the top, they dealt with it promptly.",yes,0,5.0,https://www.amazon.ca/SHEKINI-Womens-Padded-Printing-Swimsuit/dp/B07D35V88L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:28:14.550701,2020-09-30 04:28:21.848680,caz,Clothing & Accessories,B002G9UDYG,B07D35V88L
7,7,7,7,AFHA3KC6BKADKYRQAFKGXPENAQAA,"January 13, 2020",Good product,Great product,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:28:31.944888,2020-09-30 04:28:39.196230,caz,Clothing & Accessories,B002G9UDYG,B002G9UDYG
8,8,8,8,AFHA3KC6BKADKYRQAFKGXPENAQAA,"December 1, 2019",great,good quality,yes,0,5.0,https://www.amazon.ca/dp/B07Z8HXT4Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:28:48.284066,2020-09-30 04:28:54.518731,caz,Clothing & Accessories,B002G9UDYG,B07Z8HXT4Q
9,9,9,9,AFHA3KC6BKADKYRQAFKGXPENAQAA,"December 1, 2019",Hot and irritating,"The mask doesn't ""breathe"" at all and caused a skin irritation for my daughter.",yes,0,3.0,https://www.amazon.ca/PartyCostume-Dolphin-Halloween-Party-Animal/dp/B078V1DXB3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 04:29:03.608035,2020-09-30 04:29:10.842752,caz,Clothing & Accessories,B002G9UDYG,B078V1DXB3
