,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"May 29, 2019","fast delivery,",amazing little item. worked well when needed,yes,0,5.0,https://www.amazon.ca/ABOX-Starter-Upgraded-Portable-Flashlight/dp/B07DGGG3GR/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:39:15.172323,2020-09-30 07:39:23.415190,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07DGGG3GR
1,1,1,1,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"May 12, 2019","fast delivery, works well.",Just installed this pump and it functions as expected. Ordering a 2nd one,yes,One,5.0,https://www.amazon.ca/SAILFLO-1100GPH-Marine-Plumbing-Submersible/dp/B071Z75M4Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:39:31.509954,2020-09-30 07:39:37.774579,Amazon Customer,Clothing & Accessories,B002G9UDYG,B071Z75M4Y
2,2,2,2,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"April 21, 2019",fit,able to use for whatever.,yes,0,5.0,https://www.amazon.ca/Amazon-ca-Gift-Card-Balance-Reload/dp/B00US2GFB8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:39:45.876297,2020-09-30 07:39:52.161187,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00US2GFB8
3,3,3,3,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"April 20, 2019",fit,replacement fits and appears to be a good product,yes,0,5.0,https://www.amazon.ca/Zljiont-H13-101-099-01-BY12-084-029-98-BY13-101-001-13-GBC1143W-CGas/dp/B077X6NKY1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:40:02.249351,2020-09-30 07:40:09.501880,Amazon Customer,Clothing & Accessories,B002G9UDYG,B077X6NKY1
4,4,4,4,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"February 22, 2019",better than expected,These lights provide more lumins than I had hoped for. Easy install,yes,0,5.0,https://www.amazon.ca/dp/B07CN5PWJ9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:40:18.596514,2020-09-30 07:40:26.873824,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07CN5PWJ9
5,5,5,5,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"January 21, 2019",Fast shipping/it works,I liked the fast service and the fact that units all work. Used to control living room lighting. Recommend this product.,yes,0,5.0,https://www.amazon.ca/Woods-13569-Indoor-Wireless-Control/dp/B003ZTWYXY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:40:34.968888,2020-09-30 07:40:42.251684,Amazon Customer,Clothing & Accessories,B002G9UDYG,B003ZTWYXY
6,6,6,6,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"December 22, 2018",quality,units provided less light than another model. used to light up a service entrance,yes,0,3.0,https://www.amazon.ca/NatureGlow-Security-Waterproof-Wireless-Driveway/dp/B06ZZNPHSN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:40:49.337382,2020-09-30 07:40:57.596843,Amazon Customer,Clothing & Accessories,B002G9UDYG,B06ZZNPHSN
7,7,7,7,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"November 16, 2018",to small,The front bucket seat covers were fine but the rear bench covers would only fit an import not a full size pick-up. I did expect a slightly heavier grade cloth. Oh well !,yes,0,3.0,https://www.amazon.ca/FH-Group-Universal-Piping-FH-FB063115/dp/B00FYX2H0Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:41:07.682416,2020-09-30 07:41:15.959773,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00FYX2H0Y
8,8,8,8,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"August 24, 2018",Four Stars,another gift,yes,0,4.0,https://www.amazon.ca/12-Rules-Life-Antidote-Chaos/dp/0345816021/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:41:26.055819,2020-09-30 07:41:34.326413,Amazon Customer,Clothing & Accessories,B002G9UDYG,0345816021
9,9,9,9,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"August 24, 2018",Five Stars,Just what I wanted,yes,0,5.0,https://www.amazon.ca/Black-Huggie-Hinged-Earrings-Unisex/dp/B00XPRQTY6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:41:42.415162,2020-09-30 07:41:50.648986,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00XPRQTY6
10,10,10,10,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"August 24, 2018",Four Stars,A perfect gift.,yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:41:58.743396,2020-09-30 07:42:05.039718,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002G9UDYG
11,11,11,11,AFIUSYMOW3QAIF2GHRONBPCMBKEA,"June 22, 2018",Great boots,Great looking boots.. Comfortable to wear all day. Fast shipping,yes,0,5.0,https://www.amazon.ca/Wolverine-Mens-W04727-Boot-Brown/dp/B000IEXRIU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 07:42:15.133513,2020-09-30 07:42:22.408189,Amazon Customer,Clothing & Accessories,B002G9UDYG,B000IEXRIU
