,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"July 25, 2020","Not 140w, but 50w","Dont buy this. It is supposed to be 140w. Yet, it take only 0.43 amps at best after its start peak, meaning about 50w... gardbage",yes,0,1.0,https://www.amazon.ca/Thermostat-Aluminum-Constant-Temperature-Thermistor/dp/B07FMW775R/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:01:21.773777,2020-09-18 17:01:31.062826,TSC,Clothing & Accessories,B002G9UDYG,B07FMW775R
1,1,1,1,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"July 3, 2020",Great,Good price and works perfecly in my eggs incubator,yes,0,5.0,https://www.amazon.ca/Inkbird-Thermostat-Temperature-Thermostats-Germination/dp/B01I6LQKRQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:01:40.153697,2020-09-18 17:01:49.466311,TSC,Clothing & Accessories,B002G9UDYG,B01I6LQKRQ
2,2,2,2,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"July 3, 2020",Super product,Super easy to use. Do a excellent job and the price is fare!,yes,0,5.0,https://www.amazon.ca/CAMWAY-Crimping-Tool-Cinch-Clamps/dp/B07QQPG6YP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:01:59.557315,2020-09-18 17:02:08.858892,TSC,Clothing & Accessories,B002G9UDYG,B07QQPG6YP
3,3,3,3,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"July 3, 2020",Good but pricy,Does what is it supposed to. Easy to install. But think it is expensive for what it is,yes,0,4.0,https://www.amazon.ca/Little-Giant-Incubator-Installation-Guide/dp/B078SK1TLD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:02:17.948391,2020-09-18 17:02:24.180470,TSC,Clothing & Accessories,B002G9UDYG,B078SK1TLD
4,4,4,4,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"July 3, 2020",Good item,Works perfecly. Reasonable price,yes,0,5.0,https://www.amazon.ca/Apollo-PXPC12100JR-Pinch-Clamp-Stainless/dp/B07SCH5BJZ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:02:34.274301,2020-09-18 17:02:42.563413,TSC,Clothing & Accessories,B002G9UDYG,B07SCH5BJZ
5,5,5,5,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"July 3, 2020",Super,Great item. My old trampoline is like a new now,yes,0,5.0,https://www.amazon.ca/TRAMPOLINE-DEPOT-PREMIUM-V-RING-SPRINGS/dp/B003TMPRW2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:02:50.656120,2020-09-18 17:02:57.931929,TSC,Clothing & Accessories,B002G9UDYG,B003TMPRW2
6,6,6,6,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"July 3, 2020",Great item,"Great solid item. Only thing is that you need to buy a fitting it order to plug it ro a pex line. Beside that, just great",yes,0,4.0,https://www.amazon.ca/Stainless-Automatic-Waterer-Supplies-Livestocktool/dp/B073WQF7ZL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:03:06.025130,2020-09-18 17:03:15.279478,TSC,Clothing & Accessories,B002G9UDYG,B073WQF7ZL
7,7,7,7,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"May 11, 2020",Broke after 6 months,"I bought that item 6 months ago, and the internal bearing is already done. Makes an horrible noise.",yes,0,1.0,https://www.amazon.ca/VIVOSUN-Inline-Ventilation-Variable-Controller/dp/B01CTM0JF2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:03:22.371100,2020-09-18 17:03:28.636343,TSC,Clothing & Accessories,B002G9UDYG,B01CTM0JF2
8,8,8,8,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"April 2, 2020",Great!,Best hat a ever had. A bit too small but it eventually took my size,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:03:36.728111,2020-09-18 17:03:44.024107,TSC,Clothing & Accessories,B002G9UDYG,B002G9UDYG
9,9,9,9,AFKZHJND4TQQ46TDNRSNSQQCUT6A,"April 2, 2020",Verry impressed,I must say i am verry impress with this vacuum and the price for it. Works verry well!,yes,0,5.0,https://www.amazon.ca/Eufy-BoostIQ-Super-Thin-Self-Charging-Medium-Pile/dp/B079QYYGF1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 17:03:53.118291,2020-09-18 17:04:00.522569,TSC,Clothing & Accessories,B002G9UDYG,B079QYYGF1
