,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFLREMKO547VCVINO2PMCLF6EYOQ,"July 4, 2020",Super,Excellant,yes,0,5.0,https://www.amazon.ca/LIGHTSMAX-Catcher-Ribbon-Sticky-Ribbons/dp/B07X2MD461/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:58:18.933832,2020-09-29 22:58:28.182426,Daevon,Clothing & Accessories,B002G9UDYG,B07X2MD461
1,1,1,1,AFLREMKO547VCVINO2PMCLF6EYOQ,"June 24, 2020",Super,Super ! Thanks,yes,0,5.0,https://www.amazon.ca/KBETHOS-Classic-Adjustable-Profile-Unstructured/dp/B00IELBCNQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:58:36.271948,2020-09-29 22:58:45.514125,Daevon,Clothing & Accessories,B002G9UDYG,B00IELBCNQ
2,2,2,2,AFLREMKO547VCVINO2PMCLF6EYOQ,"June 21, 2020",Fabulous! Exactly what was expected!,Quick delivery and this tape is one of the best I’ve seen for do caulking with mobile air conditioning adapters! I recommend for if if that’s what you’re looking for. Thanks you I’m very satisfied!!,yes,0,5.0,https://www.amazon.ca/HighFree-Adhesive-Flashing-Leakage-Aluminum/dp/B08699J27H/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:58:55.593652,2020-09-29 22:59:01.832258,Daevon,Clothing & Accessories,B002G9UDYG,B08699J27H
3,3,3,3,AFLREMKO547VCVINO2PMCLF6EYOQ,"June 9, 2020",Bof,Bof,yes,0,2.0,https://www.amazon.ca/dp/B07TBRYDBV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:59:08.921695,2020-09-29 22:59:15.154513,Daevon,Clothing & Accessories,B002G9UDYG,B07TBRYDBV
4,4,4,4,AFLREMKO547VCVINO2PMCLF6EYOQ,"June 9, 2020",Excellent!,Excellent! Exactly like was expected,yes,0,5.0,https://www.amazon.ca/Bathroom-Pedal-Bin-Toilet-Brush/dp/B01MU2AMXF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:59:24.242108,2020-09-29 22:59:31.487771,Daevon,Clothing & Accessories,B002G9UDYG,B01MU2AMXF
5,5,5,5,AFLREMKO547VCVINO2PMCLF6EYOQ,"June 7, 2020",Excellant !,Ilike was expected ! Thanks,yes,0,5.0,https://www.amazon.ca/Danby-Specifically-DPA140HUB1WDD-DPA120HCB1WDB-DPA140CB1WDB/dp/B078FNCYSN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:59:38.580690,2020-09-29 22:59:44.837661,Daevon,Clothing & Accessories,B002G9UDYG,B078FNCYSN
6,6,6,6,AFLREMKO547VCVINO2PMCLF6EYOQ,"April 20, 2020",Perfect ! Exacly was Expected,"I'm very satisfied ! Poweful and perfect for someone who lives in appartment, all types of floors, stores etc. I Strongly recommend !",yes,0,5.0,https://www.amazon.ca/Eureka-Whirlwind-Canister-NEN110A-Lightweight/dp/B07GB4S9H5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:59:52.918542,2020-09-29 23:00:00.165170,Daevon,Clothing & Accessories,B002G9UDYG,B07GB4S9H5
7,7,7,7,AFLREMKO547VCVINO2PMCLF6EYOQ,"January 18, 2020",Excellant,Correspond exactement a la description,yes,0,5.0,https://www.amazon.ca/Achim-Home-Furnishings-Cordless-Morningstar/dp/B075RXK7P7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:00:09.254328,2020-09-29 23:00:17.519417,Daevon,Clothing & Accessories,B002G9UDYG,B075RXK7P7
8,8,8,8,AFLREMKO547VCVINO2PMCLF6EYOQ,"January 1, 2020",Excellant !,"Je suis extrèmement satisfait de mon achat, ce n'est pas cheap on voit clairement que c'est de grande qualité c'est exactement ce que je voulais pour mon bureau look moderne",no,2,5.0,https://www.amazon.ca/Monarch-Specialties-7304-Computer-Facing/dp/B0731ZNG7Z/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:00:26.608636,2020-09-29 23:00:33.878580,Daevon,Clothing & Accessories,B002G9UDYG,B0731ZNG7Z
9,9,9,9,AFLREMKO547VCVINO2PMCLF6EYOQ,"December 9, 2019",Excellant !,"Correspond parfaitement a ce qui est affiché, je suis très satisfait.",yes,0,5.0,https://www.amazon.ca/Board-Dudes-17026BDVA-1-24-Inch-Aluminum/dp/B001G60ISQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:00:41.976699,2020-09-29 23:00:50.223740,Daevon,Clothing & Accessories,B002G9UDYG,B001G60ISQ
