,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"May 25, 2019",Quality material!,Great product. I've had it for 2 years and it's still holding up great.,yes,0,5.0,https://www.amazon.ca/HAVIT-HV-MP830-Magic-Professional-Gaming/dp/B0152HPXXE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:12:13.458342,2020-09-18 14:12:19.764440,Cameron,Clothing & Accessories,B002G9UDYG,B0152HPXXE
1,1,1,1,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"May 3, 2019",Quality material! But abit big!,These shirts are sized big. I usually take an XL but the XL in this shirt was pretty big but hopefully will shrink in the washer/dryer. Otherwise very good quality and the pocket is strong enough to hold things.,yes,One,5.0,https://www.amazon.ca/Carhartt-Workwear-T-Shirt-Original-X-Large/dp/B002GHC19I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:12:26.892631,2020-09-18 14:12:34.165297,Cameron,Clothing & Accessories,B002G9UDYG,B002GHC19I
2,2,2,2,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"May 3, 2019",Easy to read!,Awesome product that has to be every carpenters favorite sqaure do to the inside scribe cut outs.,yes,0,5.0,https://www.amazon.ca/Swanson-Tool-SW1201K-12-Inch-without/dp/B01CI4UBN6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:12:43.294151,2020-09-18 14:12:52.557558,Cameron,Clothing & Accessories,B002G9UDYG,B01CI4UBN6
3,3,3,3,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"January 30, 2019",Glides through hair softly,Great hair brush,yes,0,5.0,https://www.amazon.ca/Wet-Brush-Classic-Metallics-Collection/dp/B005LPN8R6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:13:02.658603,2020-09-18 14:13:08.977262,Cameron,Clothing & Accessories,B002G9UDYG,B005LPN8R6
4,4,4,4,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"January 30, 2019",Quality and small,Quality made product that holds up to the daily tasks it was bought for. Great little edc knife on your keyring.,yes,0,5.0,https://www.amazon.ca/Victorinox-Swiss-Classic-Pocket-Knife/dp/B000FNIKIQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:13:18.078835,2020-09-18 14:13:24.360382,Cameron,Clothing & Accessories,B002G9UDYG,B000FNIKIQ
5,5,5,5,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"January 25, 2019",Cheap quality hat thats great for anyone,Hat stretches to fit your head. Great product. Im an apprentice carpenter and it holds up very well on the job. Holds up for easily half a year for like $12? Lots of colors to choose for different days of the week too which I like. Can't be beat imo.,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:13:34.489055,2020-09-18 14:13:41.764356,Cameron,Clothing & Accessories,B002G9UDYG,B002G9UDYG
6,6,6,6,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"September 14, 2018",Great water bottle for all ! 🙂,Great water bottle that holds lots. I've dropped it plenty of times and it barely has marks on it and holds up great. Nothing bad to say.,yes,0,5.0,https://www.amazon.ca/Nalgene-Tritan-Mouth-Bottle-32-Ounce-Gray/dp/B001NCDE98/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:13:50.890701,2020-09-18 14:13:57.217973,Cameron,Clothing & Accessories,B002G9UDYG,B001NCDE98
7,7,7,7,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"September 14, 2018",Can't beat this watch for the price!,Can't beat this watch for the price. I like it because I work in trades and if it takes a beating I can just order another one. Awesome watch for hands on working people.,yes,0,5.0,https://www.amazon.ca/Casio-W800H-1AV-Classic-Digital-Sport/dp/B001AWZDA4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:14:05.321673,2020-09-18 14:14:11.591643,Cameron,Clothing & Accessories,B002G9UDYG,B001AWZDA4
8,8,8,8,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"September 14, 2018",Durable and has a slot for a lock if you want to lock it up.,I was expecting this to be lower quality with the price being so low but it's great to be honest! Very solid and holds all of my carpentry tools that I don't take in my belt. It's compact and fits great in the trunk/backseat.,yes,0,5.0,https://www.amazon.ca/STANLEY-STST16331-16-Essential-Toolbox/dp/B01B79ZFV6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:14:21.697185,2020-09-18 14:14:27.975720,Cameron,Clothing & Accessories,B002G9UDYG,B01B79ZFV6
9,9,9,9,AFNR3UYUW6SETRUTKOQL627ZNDOQ,"September 14, 2018",Made with quality.,This saves your wrist alot of extra motion. Holds all extra bits too in the back compartment which is great.,yes,0,5.0,https://www.amazon.ca/STANLEY-66-358-Ratcheting-MultiBit-Screwdriver/dp/B007QRX0HK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 14:14:38.088981,2020-09-18 14:14:47.387912,Cameron,Clothing & Accessories,B002G9UDYG,B007QRX0HK
