,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"January 9, 2020",Ensemble de clés Resident Evil 2,Objet de collection en très bonne état. Pour les fans de Resident Evil 2. Ne déverrouille pas de vrais portes.,no,0,5.0,https://www.amazon.ca/Resident-Collection-Pendent-Cosplay-Accessories/dp/B07QKZML5X/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:38:09.444968,2020-09-29 22:38:15.730191,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07QKZML5X
1,1,1,1,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"January 9, 2020",Jouet pour chien,Le poulet a arrêté de chanter après une semaine. Mon chien est vraiment déçu!,yes,0,3.0,https://www.amazon.ca/Hartz-Stunt-Pilots-Slingshot-Chicken/dp/B0015N631Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:38:23.818988,2020-09-29 22:38:30.096049,Amazon Customer,Clothing & Accessories,B002G9UDYG,B0015N631Q
2,2,2,2,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"November 13, 2019",Parler au téléphone,Excellente bebelle pour parler au téléphone dans l'auto ou écouter de la music.,yes,0,5.0,https://www.amazon.ca/VicTsing-Transmitter-Bluetooth-Wireless-Hands-free/dp/B07RLXY967/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:38:40.179259,2020-09-29 22:38:46.427944,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07RLXY967
3,3,3,3,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"January 13, 2019",Une tuque idéale pour les journées froides d'hiver.,Utilisé durant l'hiver. Un peu trop grande sur la tête mais très confortable.,yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:38:55.516697,2020-09-29 22:39:04.768178,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002G9UDYG
4,4,4,4,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"December 8, 2018",Histoire intéressante jouable en coopération avec un mode Arcade et un excellent éditeur de map.,Excellent jeu vidéo avec un éditeur de map très complet inclut avec. J'espère que New Dawn sera aussi bien que FC5.,yes,0,5.0,https://www.amazon.ca/Far-Cry-Standard-Bilingual-PlayStation/dp/B072J5YR5T/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:39:12.849422,2020-09-29 22:39:20.115856,Amazon Customer,Clothing & Accessories,B002G9UDYG,B072J5YR5T
5,5,5,5,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"December 8, 2018",Aucune différence ressenti suite à la prise de ces comprimés.,J'aurais pensé avoir un regain d'énergie avec ces comprimés mais j'ai ressenti aucune différence.,yes,0,2.0,https://www.amazon.ca/Nu-Life-Energy-Caplets-Count-Bottle/dp/B002GU72AI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:39:27.198689,2020-09-29 22:39:34.490949,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002GU72AI
6,6,6,6,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"December 8, 2018",Robuste et grosseur parfaite pour mon Galaxy S8,Le meilleur protecteur de cellulaire que j'ai eu. Ma copine est jalouse parce qu'elle n'a pas trouvé de protecteurs similaires pour son Galaxy A5.,yes,0,5.0,https://www.amazon.ca/Samsung-SUPCASE-Full-Body-Holster-Protector/dp/B07796Q91N/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:39:44.579002,2020-09-29 22:39:52.850010,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07796Q91N
7,7,7,7,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"December 8, 2018",Confortable et chaud lorsqu'il fait froid.,Très confortable mais un peu trop grand.,yes,0,4.0,https://www.amazon.ca/Carhartt-Midweight-Sweatshirt-Heather-X-Large/dp/B075M3TFVX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:40:00.964865,2020-09-29 22:40:09.269636,Amazon Customer,Clothing & Accessories,B002G9UDYG,B075M3TFVX
8,8,8,8,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"November 12, 2018",Great product,Do the job!,yes,0,5.0,https://www.amazon.ca/Samsung-Feitenn-Aluminum-Military-Shockproof/dp/B071G12FJK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:40:17.327075,2020-09-29 22:40:24.616555,Amazon Customer,Clothing & Accessories,B002G9UDYG,B071G12FJK
9,9,9,9,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"November 1, 2018",Souliers confortables et robustes.,Excellente paire de souliers pour les randonnées pédestres.,yes,0,5.0,https://www.amazon.ca/Salomon-Ultra-Trail-Running-Black/dp/B072FKXDJ1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:40:32.706996,2020-09-29 22:40:39.958987,Amazon Customer,Clothing & Accessories,B002G9UDYG,B072FKXDJ1
10,10,10,10,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"October 16, 2018",Excellent,Parfait pour recharger cellulaires ou tablettes lorsqu'on fait de la longue route en voiture et que l'on doit utiliser le gps.,yes,One,5.0,https://www.amazon.ca/Anker-PowerDrive-Charger-Bluetooth-Headsets/dp/B00VH84L5E/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:40:49.047256,2020-09-29 22:40:56.286850,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00VH84L5E
11,11,11,11,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"September 26, 2018",Three Stars,Les manches sont trop large. Sinon le t-shirt est bien.,no,0,3.0,https://www.amazon.ca/Tee-Luv-Distressed-Pennzoil-T-Shirt/dp/B06XCGX111/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:41:05.364873,2020-09-29 22:41:13.642248,Amazon Customer,Clothing & Accessories,B002G9UDYG,B06XCGX111
12,12,12,12,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"September 5, 2018",Five Stars,My best t-shirt since long time! Good quality,yes,0,5.0,https://www.amazon.ca/Callahan-Parts-Shirt-Novelty-Vintage/dp/B01KMNZ66M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:41:20.738273,2020-09-29 22:41:28.009216,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01KMNZ66M
13,13,13,13,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"August 14, 2018",Five Stars,Fit perfect,yes,0,5.0,https://www.amazon.ca/Feelin-Good-Tees-Novelty-Charcoal/dp/B00NMFDE3K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:41:38.086646,2020-09-29 22:41:46.386301,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00NMFDE3K
14,14,14,14,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"March 31, 2017",Four Stars,Little problem with the up/down volume buttom.,yes,0,4.0,https://www.amazon.ca/Galaxy-Samsung-Valenth-Hybrid-Heavy/dp/B01HXHHCLM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:41:56.482883,2020-09-29 22:42:03.719293,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01HXHHCLM
15,15,15,15,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"September 18, 2016",Five Stars,Excellent!.Thanks,yes,One,5.0,https://www.amazon.ca/Wacom-BC82409-WACOM-Bamboo-Splash/dp/B010TQQI5K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:42:12.827174,2020-09-29 22:42:19.111337,Amazon Customer,Clothing & Accessories,B002G9UDYG,B010TQQI5K
16,16,16,16,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"September 9, 2016",Five Stars,It's perfect!!!,yes,0,5.0,https://www.amazon.ca/Rankie-DisplayPort-Cable-Ready-Black/dp/B00Z05JMKO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:42:27.193795,2020-09-29 22:42:35.434206,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00Z05JMKO
17,17,17,17,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"February 11, 2016",Five Stars,Good stuff and fast delivery! Thanks,yes,0,5.0,https://www.amazon.ca/MoKo-Charging-Android-Samsung-Mobile/dp/B00OXR0KEW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:42:42.531697,2020-09-29 22:42:48.785077,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00OXR0KEW
18,18,18,18,AFO6QKK6XQTZ3HISM32TXHQF2VDQ,"November 16, 2015",Five Stars,Absolutly fast delivery and the game is so funny!! Thanks!!!,yes,0,5.0,https://www.amazon.ca/Destiny-Taken-King-PlayStation-French/dp/B00ZQ3HNYC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 22:42:55.875244,2020-09-29 22:43:05.158927,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00ZQ3HNYC
