,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"March 17, 2020",excellent,"have you ever felt bad for an aluminum can before? well be prepared for your first time. no joke. this thing DECAPITATES the damn thing like some demon borne from Hell with a ""Hello my name is Starfrit"" sticker to make you think ""Oh what a cute-sounding name"" and fail to witness the PURE EVIL that it is.",yes,0,5.0,https://www.amazon.ca/Starfrit-Mightican-Manual-Can-Opener/dp/B000X9CDY4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:15:53.454582,2020-09-29 23:16:02.780338,Dan S.,Clothing & Accessories,B002G9UDYG,B000X9CDY4
1,1,1,1,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"March 17, 2020",Not bad,Looks decent be prepared for whatever room you hang this in to smell like someone went to a science laboratory and asked for the 13 worst-smelling chemicals then went to 17 factories and designed a line of perfume based on the combined smells and then sprayed it in every possible wrinkle and surface and crevice like some hormonal teen boy and his cologne on prom night.,yes,5,4.0,https://www.amazon.ca/Artificial-Greenery-Hanging-Garland-Decoration/dp/B074S15WD5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:16:11.861994,2020-09-29 23:16:19.143848,Dan S.,Clothing & Accessories,B002G9UDYG,B074S15WD5
2,2,2,2,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"March 17, 2020",Huge plates,These plates are so low mass and so freaking big they make it look like I'm lifting 100 lbs when I'm lifting 35. Just leave them out in your living room and you are bound to get a few raised eyebrows and bicep squeezes from your guests. No need to ever pick them up,yes,9,5.0,https://www.amazon.ca/DlandHome-Dumbbells-Adjustable-Octagonal-Designed/dp/B081GDW87L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:16:27.226010,2020-09-29 23:16:36.487719,Dan S.,Clothing & Accessories,B002G9UDYG,B081GDW87L
3,3,3,3,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"March 15, 2020",The lenses could be held in place better.,"When cleaning them the lenses rattle in the frame. They are not tightly held.
On another note I put them on two days ago and I have 7 girlfriends now. Afraid to even take them off when I sleep.",yes,0,4.0,https://www.amazon.ca/WOODIES-Walnut-Sunglasses-Black-Polarized/dp/B01HN83BPC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:16:46.593212,2020-09-29 23:16:53.882652,Dan S.,Clothing & Accessories,B002G9UDYG,B01HN83BPC
4,4,4,4,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"March 15, 2020",WARNING THIS IS A SCAM,"I have been to Hawaii and this is NOT what it smells like!!!!
I am not sure where they bottle the odor but it certainly isn't on one of the major islands and I am 99% certain it isn't Hawaiian at all. I haven't traveled much but maybe somewhere in southern Europe?",yes,2,5.0,https://www.amazon.ca/Febreze-freshener-scented-refill-Hawaiian/dp/B07CGSJJNC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:17:03.967900,2020-09-29 23:17:11.252407,Dan S.,Clothing & Accessories,B002G9UDYG,B07CGSJJNC
5,5,5,5,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"March 15, 2020","Bought these ""floating frames"" but they fall every time","Despite advertised as ""floating"" the ones I received seemed to have a dysfunctional anti-gravity as they fall when I release them from chest height. Will be trying other heights maybe its a matter of optimization?",yes,0,5.0,https://www.amazon.ca/Umbra-Document-Frame-Displaying-Certificate/dp/B000FHFHTC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:17:20.333712,2020-09-29 23:17:28.584786,Dan S.,Clothing & Accessories,B002G9UDYG,B000FHFHTC
6,6,6,6,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"February 27, 2020",Starts to fall apart too fast,"Had these shoes twice, each time couldn't last more than a month before the sole starts coming off at the sides",no,0,3.0,https://www.amazon.ca/Steve-Madden-Mens-Fenta-Oxfords/dp/B01N0Z6NX2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:17:38.673855,2020-09-29 23:17:46.904248,Dan S.,Clothing & Accessories,B002G9UDYG,B01N0Z6NX2
7,7,7,7,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"February 6, 2020",Genuine leather? Not sure.,I found in our conversations for it to be a bit insincere.,yes,0,5.0,https://www.amazon.ca/Leather-Wallet-Credit-Holder-Minimalist/dp/B07DGSY9FJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:17:53.998995,2020-09-29 23:18:01.276219,Dan S.,Clothing & Accessories,B002G9UDYG,B07DGSY9FJ
8,8,8,8,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"February 6, 2020",Works for most cutting needs.,"I struggled with larger, human-sized pieces of meat but I guess this board is not meant for that use.",yes,0,5.0,https://www.amazon.ca/Farberware-Bamboo-Cutting-Board-inches/dp/B0002TU482/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:18:08.360252,2020-09-29 23:18:15.634097,Dan S.,Clothing & Accessories,B002G9UDYG,B0002TU482
9,9,9,9,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"February 6, 2020",Joule not Juul,Was anyone else expecting 790 Juuls?,yes,0,5.0,https://www.amazon.ca/AmazonBasics-6-Outlet-Surge-Protector-Power/dp/B00TP1C51M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:18:24.737934,2020-09-29 23:18:33.027661,Dan S.,Clothing & Accessories,B002G9UDYG,B00TP1C51M
10,10,10,10,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"February 6, 2020",Used these towels,But I still got faded,yes,0,5.0,https://www.amazon.ca/AmazonBasics-Fade-Resistant-Cotton-Hand-Towel/dp/B07C41T1D9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:18:42.107590,2020-09-29 23:18:49.374032,Dan S.,Clothing & Accessories,B002G9UDYG,B07C41T1D9
11,11,11,11,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"February 6, 2020",Isn't acrylic a type of paint?,I could not paint with hat.,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:18:57.455116,2020-09-29 23:19:03.795003,Dan S.,Clothing & Accessories,B002G9UDYG,B002G9UDYG
12,12,12,12,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"February 6, 2020",So windproof I was swept away,"Love this umbrella so much that even the hurricane winds couldn't get me to let it go. Traveled from Montreal to Toronto in ~6 hours, which is pretty speedy. Held up well. A bit chilly but would recommend.",yes,0,5.0,https://www.amazon.ca/Repel-Windproof-Travel-Umbrella-Coating/dp/B0160HYB8S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:19:11.894649,2020-09-29 23:19:18.187002,Dan S.,Clothing & Accessories,B002G9UDYG,B0160HYB8S
13,13,13,13,AFTUV2R77TVQHQRQNSGAO64PJQZQ,"August 16, 2018",Larger than advertised (that's not what she said),"As many have said, the dimensions are larger than stated. As a result, it turns out they do not fit in my Ikea drawer. With so many people reviewing them poorly because of this, it's hard to understand why they have not updated their description.",yes,4,3.0,https://www.amazon.ca/Madesmart-Classic-Bin-Granite-12/dp/B010F6HNY4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 23:19:28.275875,2020-09-29 23:19:36.519346,Dan S.,Clothing & Accessories,B002G9UDYG,B010F6HNY4
