,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"September 25, 2020",Great,thanks,yes,0,5.0,https://www.amazon.ca/Olight%C2%AE-Flashlight-Philips-Beautiful-Knurling/dp/B07DGBN6ZF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 14:59:00.128249,2020-09-29 14:59:06.506538,Pavlica,Clothing & Accessories,B002G9UDYG,B07DGBN6ZF
1,1,1,1,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"September 25, 2020",good,thanks,yes,0,5.0,https://www.amazon.ca/Davidson-Motorcycles-Polyester-Mancave-Accessories/dp/B086ZXK9CJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 14:59:14.623213,2020-09-29 14:59:21.057555,Pavlica,Clothing & Accessories,B002G9UDYG,B086ZXK9CJ
2,2,2,2,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"September 25, 2020",good,thanks,yes,0,5.0,https://www.amazon.ca/Harley-Davidson-Motorcycles-Mancave-Accessories/dp/B086ZY514F/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 14:59:29.155440,2020-09-29 14:59:36.583186,Pavlica,Clothing & Accessories,B002G9UDYG,B086ZY514F
3,3,3,3,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"September 25, 2020",Would not re-set,"Waste of time, not sure if it was a one off that didn't re-set",yes,0,1.0,https://www.amazon.ca/eOUTIL-Protractor-Inclinometer-V-Groove-Magnetic/dp/B07QVKZNRV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 14:59:46.676438,2020-09-29 14:59:53.070845,Pavlica,Clothing & Accessories,B002G9UDYG,B07QVKZNRV
4,4,4,4,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",Good,ok for what I need it for...,yes,0,2.0,https://www.amazon.ca/American-Weigh-Scales-Signature-0-1gmrams/dp/B002SC3LLS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:00:03.179595,2020-09-29 15:00:12.454478,Pavlica,Clothing & Accessories,B002G9UDYG,B002SC3LLS
5,5,5,5,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",Good,Good,yes,0,3.0,https://www.amazon.ca/Ultimate-Survival-Technologies-SaberCut-Chainsaw/dp/B001H9N8C0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:00:19.542172,2020-09-29 15:00:26.830924,Pavlica,Clothing & Accessories,B002G9UDYG,B001H9N8C0
6,6,6,6,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",IMO,not needed,yes,0,3.0,https://www.amazon.ca/Build-Perfect-Bug-Out-Bag/dp/1440318743/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:00:36.931526,2020-09-29 15:00:46.204479,Pavlica,Clothing & Accessories,B002G9UDYG,1440318743
7,7,7,7,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",IMO,"Great, wish it was a little thicker...",yes,0,3.0,https://www.amazon.ca/Rothco-European-Surplus-Style-Blanket/dp/B005HMHW2A/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:00:54.277931,2020-09-29 15:01:03.661997,Pavlica,Clothing & Accessories,B002G9UDYG,B005HMHW2A
8,8,8,8,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",Great,Great,yes,0,5.0,https://www.amazon.ca/Sawyer-Products-SP123-Filtration-System/dp/B00FBGCLSC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:01:12.832065,2020-09-29 15:01:21.565421,Pavlica,Clothing & Accessories,B002G9UDYG,B00FBGCLSC
9,9,9,9,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good,yes,0,5.0,https://www.amazon.ca/Canadian-Maple-Canada-Military-Morale/dp/B00LBAM92A/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:01:31.715849,2020-09-29 15:01:41.224259,Pavlica,Clothing & Accessories,B002G9UDYG,B00LBAM92A
10,10,10,10,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",Stolen,Was stolen so I gave it a 1 when its a 5 easy,yes,0,1.0,https://www.amazon.ca/Maxpedition-0253B-C-M-C-Wallet-Black/dp/B005IAB1LE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:01:49.318029,2020-09-29 15:01:57.634422,Pavlica,Clothing & Accessories,B002G9UDYG,B005IAB1LE
11,11,11,11,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",ok,ok,yes,0,3.0,https://www.amazon.ca/Jewelers-Tools-Earthenware-Crucible-Melting/dp/B007A4WB4C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:02:06.723956,2020-09-29 15:02:13.014790,Pavlica,Clothing & Accessories,B002G9UDYG,B007A4WB4C
12,12,12,12,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",ok,ok,yes,0,2.0,https://www.amazon.ca/Ultimate-Survival-Technologies-Find-Me-Lanyard/dp/B00C5XBP6I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:02:23.105834,2020-09-29 15:02:30.537477,Pavlica,Clothing & Accessories,B002G9UDYG,B00C5XBP6I
13,13,13,13,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good,yes,0,5.0,https://www.amazon.ca/Picquic-88151-Multi-Bit-Screwdriver-Full-Size/dp/B01LZILV2L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:02:40.630967,2020-09-29 15:02:49.887336,Pavlica,Clothing & Accessories,B002G9UDYG,B01LZILV2L
14,14,14,14,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",IMO,no pouch,yes,0,4.0,https://www.amazon.ca/HuntGold-Survival-Emergency-Camping-Hiking/dp/B014KT5WMM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:02:58.963042,2020-09-29 15:03:08.306989,Pavlica,Clothing & Accessories,B002G9UDYG,B014KT5WMM
15,15,15,15,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",Great,Great,yes,0,5.0,https://www.amazon.ca/MaxxHaul-70271-Heavy-Motorcycle-Wheel/dp/B008CE0R7W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:03:15.401163,2020-09-29 15:03:21.723904,Pavlica,Clothing & Accessories,B002G9UDYG,B008CE0R7W
16,16,16,16,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",ok,ok,yes,0,4.0,https://www.amazon.ca/Flexzion-Commercial-Ultrasonic-2L-Instruments/dp/B0144E3WPM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:03:31.810922,2020-09-29 15:03:41.112225,Pavlica,Clothing & Accessories,B002G9UDYG,B0144E3WPM
17,17,17,17,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",Meh,"ok,",yes,0,4.0,https://www.amazon.ca/Metal-Masters-Stainless-Casted-Reaper/dp/B00QSKJZVG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:03:51.201829,2020-09-29 15:04:00.546130,Pavlica,Clothing & Accessories,B002G9UDYG,B00QSKJZVG
18,18,18,18,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",ok,"ok, to thin IMO",yes,0,4.0,https://www.amazon.ca/JAJAFOOK-Stainless-Spades-Polished-Cyclists/dp/B074DV432B/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:04:07.637768,2020-09-29 15:04:15.918151,Pavlica,Clothing & Accessories,B002G9UDYG,B074DV432B
19,19,19,19,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",ok,ok,yes,0,3.0,https://www.amazon.ca/Collective-Minds-Strike-Pack-Eliminator/dp/B07ZL9G9HJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:04:26.008816,2020-09-29 15:04:35.280770,Pavlica,Clothing & Accessories,B002G9UDYG,B07ZL9G9HJ
20,20,20,20,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",Meh,"not a bad story,,,",yes,0,3.0,https://www.amazon.ca/Disrupted-My-Misadventure-Start-Up-Bubble/dp/0316306096/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:04:45.378011,2020-09-29 15:04:53.638748,Pavlica,Clothing & Accessories,B002G9UDYG,0316306096
21,21,21,21,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",ok,I thought it was thicker,yes,0,4.0,https://www.amazon.ca/Natural-Candle-Making-Container-Candles/dp/B01M4ILI6U/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:05:00.728055,2020-09-29 15:05:07.038884,Pavlica,Clothing & Accessories,B002G9UDYG,B01M4ILI6U
22,22,22,22,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",waste of $,"I should have returned it,",yes,0,1.0,https://www.amazon.ca/BMF-Leather-Biker-Wallet-Version/dp/B01M7XEA21/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:05:17.131847,2020-09-29 15:05:25.406302,Pavlica,Clothing & Accessories,B002G9UDYG,B01M7XEA21
23,23,23,23,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",great,great,yes,0,5.0,https://www.amazon.ca/Vegetable-32-Open-Seed-Vault/dp/B00LE4RGOE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:05:33.497993,2020-09-29 15:05:41.842488,Pavlica,Clothing & Accessories,B002G9UDYG,B00LE4RGOE
24,24,24,24,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",great,great,yes,0,5.0,https://www.amazon.ca/Maxpedition-Individual-First-Pouch-Khaki/dp/B004Q5GC5C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:05:49.920146,2020-09-29 15:05:57.211536,Pavlica,Clothing & Accessories,B002G9UDYG,B004Q5GC5C
25,25,25,25,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good,yes,0,3.0,https://www.amazon.ca/Grolsch-Bottle-Replacement-Washers-Pack/dp/B004NXUJ06/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:06:05.303306,2020-09-29 15:06:14.641471,Pavlica,Clothing & Accessories,B002G9UDYG,B004NXUJ06
26,26,26,26,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:06:24.753767,2020-09-29 15:06:34.205002,Pavlica,Clothing & Accessories,B002G9UDYG,B002G9UDYG
27,27,27,27,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",ok,"not bad, was cheaper at WallyWorld",yes,0,3.0,https://www.amazon.ca/S-L-Survive-Outdoors-Longer/dp/B00266H5VI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:06:41.295914,2020-09-29 15:06:50.568679,Pavlica,Clothing & Accessories,B002G9UDYG,B00266H5VI
28,28,28,28,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,thanks,yes,0,5.0,https://www.amazon.ca/Flex-fit-Trucker-Brown-Khaki/dp/B07CD2L5DN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:06:58.660889,2020-09-29 15:07:06.971766,Pavlica,Clothing & Accessories,B002G9UDYG,B07CD2L5DN
29,29,29,29,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good stuff for camping,yes,0,5.0,https://www.amazon.ca/Version-iRonsnow-Emergency-Weather-Flashlight/dp/B07BPNFD51/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:07:17.090051,2020-09-29 15:07:25.380563,Pavlica,Clothing & Accessories,B002G9UDYG,B07BPNFD51
30,30,30,30,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good,yes,0,5.0,https://www.amazon.ca/Fantastic-Beasts-Where-Bilingual-2-Disc/dp/B01LTHYZOY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:07:35.474110,2020-09-29 15:07:43.775654,Pavlica,Clothing & Accessories,B002G9UDYG,B01LTHYZOY
31,31,31,31,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,Will buy again,yes,0,5.0,https://www.amazon.ca/Rite-Rain-All-Weather-Holster-OR91/dp/B07HSHZ94T/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:07:52.879493,2020-09-29 15:07:59.189270,Pavlica,Clothing & Accessories,B002G9UDYG,B07HSHZ94T
32,32,32,32,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good,yes,0,5.0,https://www.amazon.ca/Pursuit-Happyness-Widescreen-Bilingual/dp/B000MRA59M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:08:08.273512,2020-09-29 15:08:16.564735,Pavlica,Clothing & Accessories,B002G9UDYG,B000MRA59M
33,33,33,33,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,best pre covid movie.. lol,yes,0,5.0,https://www.amazon.ca/Contagion-Bilingual-Marion-Cotillard/dp/B005SH64LY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:08:24.652444,2020-09-29 15:08:30.906987,Pavlica,Clothing & Accessories,B002G9UDYG,B005SH64LY
34,34,34,34,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good,yes,0,5.0,https://www.amazon.ca/We-Were-Soldiers/dp/B06XJH41J4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:08:37.998888,2020-09-29 15:08:45.278907,Pavlica,Clothing & Accessories,B002G9UDYG,B06XJH41J4
35,35,35,35,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",good,good,yes,0,5.0,https://www.amazon.ca/Black-Hawk-chute-Faucon-Bilingual/dp/B000NA6MNG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:08:54.366417,2020-09-29 15:09:03.626222,Pavlica,Clothing & Accessories,B002G9UDYG,B000NA6MNG
36,36,36,36,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",great movie,great,yes,0,5.0,https://www.amazon.ca/13-Hours-Soldiers-Benghazi-Bilingual/dp/B018IEN2YU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:09:10.714787,2020-09-29 15:09:18.989268,Pavlica,Clothing & Accessories,B002G9UDYG,B018IEN2YU
37,37,37,37,AFVAFH2HRMMSUGFT5PPT2UHUWK7A,"July 16, 2020",Good,good,yes,0,5.0,https://www.amazon.ca/Behind-Enemy-Lines-Owen-Wilson/dp/B007H9CM26/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 15:09:29.109181,2020-09-29 15:09:35.440439,Pavlica,Clothing & Accessories,B002G9UDYG,B007H9CM26
