,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,0,0,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"July 24, 2020",Don’t buy for solar charge,Works great to charge your phone but.. it takes almost 24 hours to charge fully with a wall outlet. And the solar panel really doesn’t charge it.,yes,0,4.0,https://www.amazon.ca/26800mAh-Portable-External-Smartphone-Cellphone/dp/B0856T77H4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:13:48.419778,2020-09-29 16:13:55.736801,Alex,Clothing & Accessories,B002G9UDYG,B0856T77H4
1,1,1,1,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"June 2, 2020",Don’t buy for resin,Do not buy! It is plastic not silicone to start with. The resin doesn’t pop out like it would if it were silicone. Waste of money and not the product I was expecting.,yes,One,1.0,https://www.amazon.ca/Apsung-Silicone-Alphabet-Glitter-Keychain/dp/B083SL3HLJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:14:04.816157,2020-09-29 16:14:14.056498,Alex,Clothing & Accessories,B002G9UDYG,B083SL3HLJ
2,2,2,2,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"March 9, 2020",Good product,Works well,yes,0,5.0,https://www.amazon.ca/VIVOSUN-Digital-Seedling-Thermostat-Controller/dp/B015F4VFGI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:14:22.140612,2020-09-29 16:14:31.379396,Alex,Clothing & Accessories,B002G9UDYG,B015F4VFGI
3,3,3,3,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"February 17, 2020",I’m happy,Great for what it cost,yes,0,5.0,https://www.amazon.ca/Cable-Cover-Cowboy-Zipper-3-6meter/dp/B011IVO3T8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:14:38.466346,2020-09-29 16:14:44.747954,Alex,Clothing & Accessories,B002G9UDYG,B011IVO3T8
4,4,4,4,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"February 17, 2020",Decent,Finish starting to come off. Works well,yes,0,3.0,https://www.amazon.ca/dp/B07W8VKNRT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:14:52.826273,2020-09-29 16:15:02.068166,Alex,Clothing & Accessories,B002G9UDYG,B07W8VKNRT
5,5,5,5,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"February 17, 2020",Bigger than expected,Bigger than I expected. But who wants a small hat?,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:15:09.149706,2020-09-29 16:15:16.423835,Alex,Clothing & Accessories,B002G9UDYG,B002G9UDYG
6,6,6,6,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"February 17, 2020",Very warm,Nice and warm. Fits my big ish head nicely,yes,0,5.0,https://www.amazon.ca/Carhartt-Mens-Woodside-Coal-Heather/dp/B07BDZ6Z8Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:15:24.510018,2020-09-29 16:15:31.782228,Alex,Clothing & Accessories,B002G9UDYG,B07BDZ6Z8Q
7,7,7,7,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"February 16, 2020",Good value but wouldn’t buy again,Didn’t hold up long,yes,0,2.0,https://www.amazon.ca/Charger-Braided-Charging-Syncing-Compatible/dp/B07R9KDMX1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:15:40.864336,2020-09-29 16:15:49.128715,Alex,Clothing & Accessories,B002G9UDYG,B07R9KDMX1
8,8,8,8,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"August 29, 2019",Not what you expect,I ordered a 12 pack of 4oz bottles. I got 1 16oz bottle. Product is ok,yes,0,1.0,https://www.amazon.ca/Chemical-Guys-CWS_402_16-Mr-Pink/dp/B00AFBXQNC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:15:59.214325,2020-09-29 16:16:06.494255,Alex,Clothing & Accessories,B002G9UDYG,B00AFBXQNC
9,9,9,9,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",So far so good,Works as described,yes,0,5.0,https://www.amazon.ca/dp/B078RKV8NH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:16:13.648352,2020-09-29 16:16:22.888974,Alex,Clothing & Accessories,B002G9UDYG,B078RKV8NH
10,10,10,10,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",Work great,Pig pots big plants,yes,0,5.0,https://www.amazon.ca/VIVOSUN-Gallons-Thickened-Nonwoven-Handles/dp/B00VWU2UDC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:16:31.005957,2020-09-29 16:16:40.273506,Alex,Clothing & Accessories,B002G9UDYG,B00VWU2UDC
11,11,11,11,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",Can’t complain.,Work great. I needed them shorter so I rolled the top edge over it’s self to make it a few inches lower.,yes,0,5.0,https://www.amazon.ca/Growneer-Gallons-Planting-Aeration-Handles/dp/B072X9888D/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:16:50.354861,2020-09-29 16:16:56.611677,Alex,Clothing & Accessories,B002G9UDYG,B072X9888D
12,12,12,12,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",Works great needs bloom veg switch,Really needs the switch like the 600w phlizon,yes,2,4.0,https://www.amazon.ca/Phlizon-Thermometer-Humidity-Adjustable-Spectrum/dp/B075SRR8ZD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:17:05.692332,2020-09-29 16:17:13.950979,Alex,Clothing & Accessories,B002G9UDYG,B075SRR8ZD
13,13,13,13,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",Work great,Roots like these.,yes,0,5.0,https://www.amazon.ca/Grodan-Inch-Starter-Mini-Blocks-Count/dp/B00CJICFKY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:17:24.036647,2020-09-29 16:17:30.293825,Alex,Clothing & Accessories,B002G9UDYG,B00CJICFKY
14,14,14,14,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",Leaks,Not very water resistant. Worked for a week the. We got a rain storm. After I couldn’t use it,yes,0,1.0,https://www.amazon.ca/Moisture-Sunlight-Gardening-Flowers-Outdoor/dp/B0742BYVDV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:17:39.374771,2020-09-29 16:17:46.612687,Alex,Clothing & Accessories,B002G9UDYG,B0742BYVDV
15,15,15,15,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",Feels cheap,Opened it up. Noticed the poor quality right away. As I stretch it over my $400 GoPro I hear a click. The case got stuck on the front edge of the GoPro and cracked the silver front of my GoPro. Bad material hard to put on without damage. Needs to have a better material like the real go pro one.,yes,0,1.0,https://www.amazon.ca/Nechkitter-Frame-Compact-Housing-Accessible/dp/B017AOE3L0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:17:56.713686,2020-09-29 16:18:03.969561,Alex,Clothing & Accessories,B002G9UDYG,B017AOE3L0
16,16,16,16,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",Nice and sharp,So far so good,yes,0,5.0,https://www.amazon.ca/Dritz-100-Piece-Long-Pearlized-2-Inch/dp/B0018NBYS0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:18:12.053470,2020-09-29 16:18:21.308960,Alex,Clothing & Accessories,B002G9UDYG,B0018NBYS0
17,17,17,17,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"December 29, 2018",So far so good,My second phlizon light. Great value both met my needs for veg and flower. I really like the veg bloom switch as well.,yes,0,5.0,https://www.amazon.ca/Phlizon-Thermometer-Humidity-Adjustable-Spectrum/dp/B0752CL6KJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:18:29.395998,2020-09-29 16:18:35.705211,Alex,Clothing & Accessories,B002G9UDYG,B0752CL6KJ
18,18,18,18,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"August 25, 2017",Great upgrade for your blaze,Great quality. My only complaints are the Fitbit doesn't click in as nicely as the original band and the band seems a little narrow in my opinion but same as it is in the picture. Both are minor issues that don't mean much so overall a great product for the money.,yes,0,4.0,https://www.amazon.ca/dp/B07315JYTX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:18:45.789949,2020-09-29 16:18:54.068717,Alex,Clothing & Accessories,B002G9UDYG,B07315JYTX
19,19,19,19,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"August 25, 2017",Amazing,Works great! Huge difference after 1 use. You can feel how much cleaner your teeth feel vs just toothpaste. Keep in mind it needs to be used daily or every other day to maintain. The process of mixing is pretty messy but it wipes up pretty easily with water. Close your lips while brushing or there will be charcoal everywhere! Overall it's a great buy and does what it says it does!,yes,0,5.0,https://www.amazon.ca/aimnaturals-Whitening-Activated-Toothbrush-Artificial/dp/B07281DFVC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:19:03.149427,2020-09-29 16:19:10.422831,Alex,Clothing & Accessories,B002G9UDYG,B07281DFVC
20,20,20,20,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"May 13, 2015",looks just like the picture...curved and all,came in as ordered but doesnt sit flat on keyboard,yes,0,3.0,https://www.amazon.ca/Skque-premium-Keyboard-Silicone-Macbook/dp/B004IMSWGA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:19:17.505376,2020-09-29 16:19:25.731134,Alex,Clothing & Accessories,B002G9UDYG,B004IMSWGA
21,21,21,21,AFXCOA3QATHO76LR7UQTMEUYF4YQ,"March 8, 2013",dont be a fool. buy high quality cases,looks good but scratches your phone,yes,One,1.0,https://www.amazon.ca/BoxWave-Minimus-Brushed-Aluminum-iPhone/dp/B00067PXCC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 16:19:32.815825,2020-09-29 16:19:40.047249,Alex,Clothing & Accessories,B002G9UDYG,B00067PXCC
