,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AH6HY7DZARENPYZJ7VWOD3QT4CNQ,True,Didn't expect to love these sunglasses as much as I do!,"I seem to constantly break and/or misplace my sunglasses so it's important that I don't pay an arm and a leg for them. These were super affordable, and I ended up loving them so much more than I ever thought I would. There's something about the tint (I chose the blue pair, I'm not sure if the tint is different based on which colour you get) that just makes everything look so incredibly vibrant and summery. I get complimented on them all the time, it's so strange because they're so simple! And LIGHT! I can barely feel them on my face - compared to some of the other sunglasses I have, they feel like I'm not even wearing glasses of any kind! I would definitely recommend these! I would recommend the wider version unless you have a very, very small head...I tried both sizes (I think I have a pretty average sized head) and the wider version was much more comfortable.","August 6, 2019",Chris P. Bacon,5.0,19,https://www.amazon.ca/gp/profile/amzn1.account.AH6HY7DZARENPYZJ7VWOD3QT4CNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:42.851933,2020-10-05 15:45:43.025813,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
1,AGOPAMNO3ZITWHRTZWPETBB5PYJQ,True,Fantastic!,"Absolutely fantastic glasses! Going to get a pair in the same style with prescription, so consider this a trial for style. Unlike my other pair of CGID, these actually came with a case, sleeve, and cleaning cloth. The lenses are truly polarized and are as described.

PROs:
- mirror finish... but you knew that already.
- spring hinge design
- no noticeable flashing or fusing residue on bridge or hinges
- polarized
- ""value pack"" with the case, sleeve and cloth

CONs:
- tint is brown... it doesn't specify but I'd rather have gray
- bridge wider than I'd like but this is the style

OVERALL:
- know the style you're buying into and there won't be any issues.
- just a small step under designer types but leagues ahead of drugstore or ""fashion jewelry"" glasses","August 31, 2017",Jay,5.0,21,https://www.amazon.ca/gp/profile/amzn1.account.AGOPAMNO3ZITWHRTZWPETBB5PYJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:43.031670,2020-10-05 15:45:43.215553,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
2,AEWSACKNUOQVYQEIGYAS4M6DZR6Q,True,Big head perfect fit.,"I was scared when I purchased these sunglasses because I have a large head and I read some reviews by people who said they were too small. For reference I wear a size 8 hat and the circumference of my head is 64cm... I've got a large head. The glasses fit better than any pair of glasses I have ever owned. DO NOT buy the 47mm variety if you have a large head 51 is the way to go.

That being said... to be honest this is the first pair of sunglasses I have ever purchased that wasn't $5 or $10 at a drugstore... they're absolutely amazing... they're great at reducing glare... it makes the surface of the water look like a CGI or something. Would wholly recommend these glasses and I fully intend on purchasing another pair.

Best of all about these glasses... someone matched me on Tinder just to say they liked my glasses before unmatching me.","May 20, 2018",Matthew Woods,5.0,17,https://www.amazon.ca/gp/profile/amzn1.account.AEWSACKNUOQVYQEIGYAS4M6DZR6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:43.223381,2020-10-05 15:45:43.428753,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
3,AFDJXODSHJUJAV256TCC4G37KBTQ,True,Perfect!,"I love that these glasses appear blue to the beholder, but when I wear them, I see things in a regular sunglasses shade. I bought them for a hippie costume, but they are comfortable and good quality, so will be my regular sunglasses, after Halloween. My son likes them so much, he ordered himself a pair, in a different colour.","October 29, 2018",Annie Carr,5.0,14,https://www.amazon.ca/gp/profile/amzn1.account.AFDJXODSHJUJAV256TCC4G37KBTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:43.433633,2020-10-05 15:45:43.600603,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
4,AEN2X75UCDTZZXADURX5M76POWFA,True,Worth it!,"These are the 47mm, fit of the lens is just a tad big on my mini head but, the fit is perfect at the temples and ears. Will definitely keep, as the quality is quite good for 19.99$ flash deal. Way better than what you would find in a pharmacy or a H&M/Forever 21 type store. The lens is a bit less mirrored than I expected on the black color way, but thats totally fine for me and I like the lens filter of a gray tone (as opposed to green or brown sometimes on sunnies). Happy purchase!","March 27, 2019",Amazon Customer,5.0,17,https://www.amazon.ca/gp/profile/amzn1.account.AEN2X75UCDTZZXADURX5M76POWFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:43.606465,2020-10-05 15:45:43.802243,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
5,AE2UYCQAISBATWEEEOTPZIVBIWSQ,True,"Not metal, no anti-glare, Not Safe For Driving.","They look decent enough, but they are cheap plastic frames, they have no anti-glare coating, but they deliver a few of the things they promise. Here are the promises they make:
Round - Yes
Metal - No
Circle - Uh, yes
Polarized - Yes
Sunglasses - No
Leather Case - Yes

You might ask why I said sunglasses as no when they are covered with a coating to darken. Well, without the anti-glare coating on them, they are basically useless. As someone who sold glasses, they amount of glare you get off your face from these glasses will render them completely unsafe for use outside for driving or doing anything important. DO NOT. USE THEM. FOR DRIVING.","June 10, 2019",H.,2.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AE2UYCQAISBATWEEEOTPZIVBIWSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:43.807123,2020-10-05 15:45:43.996762,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
6,AERUDTMFEKABAMUIKYNOGI4UCTTA,True,COOL Polarized Sunglass,YES its a polarized sunglasses I already tested it with the light from outdoor sunlight and even indoor light it can really protect from the glare lights that can distract to my vision.Its comes also tester for polarized sunglasses you can check to my pictures upload the difference without this cool 😎 sunglass shape and I got the blue beach fancy color I love it though .I can ware this to my COOL mood.😂😂😎😎,"August 19, 2017",Mi Amore ❤️,5.0,24,https://www.amazon.ca/gp/profile/amzn1.account.AERUDTMFEKABAMUIKYNOGI4UCTTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:44.002269,2020-10-05 15:45:44.167843,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
7,AEE4IHYD3RUD4NOE2Z5SF4X7CCVA,True,Love them!,"Very comfortable and look very cool! These are actually my second pair as a couple of years back I ordered the same sunglasses but the version with larger lenses. Both are great and fit nicely. I still have the old ones but at different times and after months of heavy use both legs broke at the area where the screws attach to the frame, so I ordered new ones. I'm not very careful with my glasses so I can't blame them...","August 31, 2018",Imaginos,4.0,12,https://www.amazon.ca/gp/profile/amzn1.account.AEE4IHYD3RUD4NOE2Z5SF4X7CCVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:44.173814,2020-10-05 15:45:44.362158,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
8,AEUHC7DRC23OS7RFNIFRS52HYHTQ,True,Glasses have a weird and distracting glare!,"BEWARE: trendy, seemingly good quality, BUT weird lens glare!!! A few reviews showed similar experiences with these glasses.

I received these glasses on time on December 12, 2018. However, due to a surgery, I wasn't able to test them well until recently. I very quickly noticed a weird glare when looking at bright surfaces and screens (my phone being my main concern as I plan to use these glasses outside and take photos while wearing them). I think this defeats the purpose of wearing sunglasses to help you see better when it gives off a peculiar and very distracting rainbow-ish glare when looking at bright surfaces/screens.

I am hoping to return or exchange these but I'm afraid that because I've passed the return window (Jan 31), I won't receive any compensation or help. Good looking glasses, but not effective.","February 3, 2019",Cris,2.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AEUHC7DRC23OS7RFNIFRS52HYHTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:44.367938,2020-10-05 15:45:44.537034,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
9,AF3OOGCMGHJIHXS6L53XMBAEDAWA,True,Great sunglasses!,"Great glasses I love them! Took them on vacation with me. The only problem I would say is because they are polarized lens, I don't recommend driving with them because of the way they make you see (not being able to see the time or radio station on your dashboard for example). But other than that they fit and feel great!","October 5, 2018",Phil,5.0,9,https://www.amazon.ca/gp/profile/amzn1.account.AF3OOGCMGHJIHXS6L53XMBAEDAWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 15:45:44.544067,2020-10-05 15:45:44.730630,CGID E01 Retro Vintage John Lennon Inspired Round Metal Circle Polarized Sunglasses With Leather Case,No,,B002G9UDYG,AE3M33LQQTZTEFHMQNFK7C43K7GA,B01N0XD49G
