,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AG3QMNKSKMWE25KYMLKHQRVXGTXQ,True,Is this for real?,"Bought three touques, and two of them seem real. Black one is made in Canada, blue one in the USA. The Coal Heather is made in China. It also doesn’t have a genuine label inside. On Carhartt.com it says all touques with exception of Brite orange, Brite Lime, Black, and Dark Green is made in USA. The black one is made in Canada, and is of very good quality, but the Coal Heather is supposed to be made in USA, but the tag doesn’t say that. It is also of poor quality. It. Has loose stitching, its too tight, the fabric is rough, too small, and the outside label is noticeably shinier than the other two. The other two are not the same as each other either, but they seem higher quality though.","September 15, 2018",Amazon Customer,1.0,184,https://www.amazon.ca/gp/profile/amzn1.account.AG3QMNKSKMWE25KYMLKHQRVXGTXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:12.174192,2020-10-05 16:19:12.322539,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
1,AGG3XVYKG6CQDIONI2ICTRFFUV7A,True,Canada warm..,"Keeps my head warm, doesn't stretch out after wearing all day and best of all, no itchy toque head. Price and free shipping, can' t beat it!!","February 17, 2019",Rob & Jen,5.0,74,https://www.amazon.ca/gp/profile/amzn1.account.AGG3XVYKG6CQDIONI2ICTRFFUV7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:12.327421,2020-10-05 16:19:12.463082,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
2,AFO7FF2YAITMN2YAGSAIBTHWUJDA,True,Pleasantly surprised!,"I read a lot of reviews on both the adult and toddler toques/""hats"" and was concerned about quality, size, and colour accuracy. I wanted to get matching toques for my 1 year old son and myself. I bit the bullet because they were such a great price. They came super fast and I was very pleased when I opened the package. While the Amazon picture for the Carhartt brown hat was darker than the one for the adult hat, when they arrived, both were the legitimate Carhartt Brown colour. Matchy matchy! (note, the picture I provided has poor lighting, so they look a bit different, but trust me, they could have come from the exact same batch of dye). I was also worried that the toddler hat would stand very tall and loose (as shown in the Amazon advertisement photo), but no, it is about the same proportion as the adult toque.
Both are of the exact same quality and fabric. Both have legit Made in USA tags on them. My only issue is that my 1 year old has a big head and I might need to exchange this toque for the young child size.","October 21, 2019",Nathan Buhler,5.0,11,https://www.amazon.ca/gp/profile/amzn1.account.AFO7FF2YAITMN2YAGSAIBTHWUJDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:12.467963,2020-10-05 16:19:12.604602,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
3,AF2CHWP2QX5VJJTIXBHZSCZN26FA,True,Extremely Warm Hat,"Pro's
+ Very warm (almost hot)
+ Highly adjustable fold (double cover for the ears)
+ Label can be removed easily with an exacto knife
+ Seems to be fairly durable and well made

- Each hat color seems have a slightly different size/elasticity (could be caused by washing and/or due to use)
- Label sits very high on your head if you wear this toque as you would a ""normal"" toque (can easily be removed)","March 25, 2019",Jonathan Nowak,5.0,9,https://www.amazon.ca/gp/profile/amzn1.account.AF2CHWP2QX5VJJTIXBHZSCZN26FA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:12.609482,2020-10-05 16:19:12.749049,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
4,AGF7NCMMZKGYPKZD5PMEMDDWMPBQ,True,Amazing hat!,This is my favourite hat of all time. I wear it nearly every day and it fits great. I get compliments on it all the time and it’s great value for the quality of the hat.,"December 12, 2019",Tori Hannah,5.0,9,https://www.amazon.ca/gp/profile/amzn1.account.AGF7NCMMZKGYPKZD5PMEMDDWMPBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:12.753931,2020-10-05 16:19:12.893497,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
5,AGMAGRLZ3V2WZTQ7HUUSAKEW3FRA,True,Elegant Hat (or Touque as they call it here in Canada),"Ordered the Dark Brown/Sandstone color & it looks great! It's made in USA & the one-size-fits-all holds definitely true. It easily fits a naughty 5 year old or even naughtier 30+ year old.

The 100% Acrylic thing will be confirmed within a year or two. I got a Genuine Levis Touque from a Levis store last time & within a year, it has lint hanging all over it so I have trust issue now until I see something last.","January 5, 2020",FT,5.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AGMAGRLZ3V2WZTQ7HUUSAKEW3FRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:12.898381,2020-10-05 16:19:13.053562,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
6,AH342COKFARF6T4TMY2XTTSE2RYQ,True,They are good,"I bought three different colours. There was a slight difference in fit between the three. I have a very large head were my wife has normal size. Her fit is fine, mine is a teeny bit smug. Pull the turned up flap down and there is a very relaxed fit. When I pull the brim up as shown in pics mine is snug. But as I said, I have a large Mellon. Overall the are perfectly fine and a decent product. No buyers remorse. The cobalt blue or whatever it's called is a bright vibrant blue.","April 13, 2018",Chris up north,4.0,8,https://www.amazon.ca/gp/profile/amzn1.account.AH342COKFARF6T4TMY2XTTSE2RYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:13.058442,2020-10-05 16:19:13.198009,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
7,AHE4H34YBIBCGYU2UVUF7P2LHA3A,True,"Nice, winter hat","I have a few Carhartt hats that I've bought in store and this one here fits in with them as per the same good quality material and great look. I've noticed that quite a few reviews say that this hat had a loose fit on them but for me that was not the case at all. I'm not sure if they actually sent me a children's hat, but for some reason it just seems really small on my head whereas the other ones I have have a much looser fit (both tighter around the base and shorter at the top point). It could be because my older ones are stretched a bit from use, but I do not recall them ever feeling ""tight"" even when I first purchased them. Still a great hat though so I'll be keeping it for sure - maybe just try to stretch it out first lol","November 26, 2018",Stephanie M.,4.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AHE4H34YBIBCGYU2UVUF7P2LHA3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:13.202890,2020-10-05 16:19:13.356121,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
8,AFGKZJYI4KKDRMRAWZK26JE7KAVA,True,Lost elasticity,"I had this beanie for about 2 weeks, and after 3 washes it is all stretched out. Not just a little. Its has lost all its elasticity. I've never had a touque do this. Maybe I got a fake one, or washed it wrong. Not what I expect from Carhartt. Just sucks because it is completely useless. 2 weeks and I'm throwing it out. It was annoying enough to leave this review. Hopefully others have better luck.

After reading a couple other reviews, it looks like it's kind of a gamble as to what you get. Mine is Chinese made. Apparently other people are getting products made domestically. Lucky me 😁","November 30, 2019",Chillbilly Glasses,1.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AFGKZJYI4KKDRMRAWZK26JE7KAVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:13.361976,2020-10-05 16:19:13.499593,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
9,AGCJSUWVN4X47CRHAN3OHP3SGL6Q,True,It’s actually a really good hat!,"It’s a genuine Carhartt hat. It came with tags and everything, the material is so nice, it keeps my head warm and they’re trendy. The colours are spot on. I don’t have anything bad to say about them. I also got the brown one, it looks exactly like the orange- it’s not letting me put a photo so 🤷🏻‍♀️","January 26, 2019",Victoria ,5.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AGCJSUWVN4X47CRHAN3OHP3SGL6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:19:13.504473,2020-10-05 16:19:13.640137,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
10,AHBCLJF2DIXZMTADSG2UENMUC6HQ,True,My head hurts.,"I love wearing hats and thought this style was cute for the wintertime - but man does this thing fit small. I don't consider myself to have a large head but I find this hat trying to squeeze the life out of my noggin, I end up with little indents on my forehead from the elastic - like an inverted Thanos chin on my face. Not to mention, it's so tight that it can essentially hold my sunglasses in place without them even touching my face. Did I get a lemon, or has my head grown? Maybe it's just this colour? I don't know.","April 13, 2020",Nicole L,2.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AHBCLJF2DIXZMTADSG2UENMUC6HQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:17.788829,2020-10-05 16:19:17.976222,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
11,AEV2WSFZF3CGLRX6UBWOWEEKVDFQ,True,"Great hat for the price, but a little too small for me","The hat is great quality, but it seems to be too small for me, not to the point of returning it, but to the point of me having to leave it stretched over the back of a chair whenever I'm not wearing it. They're pretty inexpensive, so I'm only taking away one star. Also, while trying to stretch it, the Carhartt patch ripped off the front, but it didn't leave any damage behind to the hat, so I'm not taking a star off. Well made hat for the price - if it was a little bigger I'd order a few more.","September 27, 2019",Chris W,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEV2WSFZF3CGLRX6UBWOWEEKVDFQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:17.981101,2020-10-05 16:19:18.112861,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
12,AGCF42LGH5N5EL3FHQN2PNWBPNEQ,True,Jut Say No!,"There's blood flowing in the skin on the exterior of your skull. It does many good things, e.g. temperature control.
This cap seriously reduces that flow. It may be dangerous.
My first thought putting this on my head was that Carhartt had been bought out by a hedge fund which was milking the final profits from a good name by flogging drecch and planning to sell out just prior to bankruptcy.","September 26, 2020",Amazon Customer,1.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGCF42LGH5N5EL3FHQN2PNWBPNEQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:18.117741,2020-10-05 16:19:18.262189,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
13,AGET5VC5M65SJQXBPO552MLCZILA,True,Great for people with large heads! Keeps you warm and good quality!,"I actually purchased this toque because I have a larger head and noticed someone in the reviews stated it ran a bit bigger. Fits really well! I live in Canada and I wore this toque all winter, all the way down to -25 degrees C. Keeps you super warm and is really comfortable. Only issue I had, and for around $10 I cannot really complain about it, at the end of the Winter the hat did stretch out a bit.","April 12, 2018",Pat Craven,5.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AGET5VC5M65SJQXBPO552MLCZILA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:18.267068,2020-10-05 16:19:18.407612,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
14,AHEIYMF53TU7B4RPAL7GDV23BS4A,True,Warm/colour is awesome!,"I actually love this beanie, it’s unisex so anyone can wear it! The colour/casual look goes well with every single fall/winter outfit. It’s also super warm, which is really nice if you live in a colder climate.

The only downside is the length of the beanie, there’s excess fabric that sticks out from the top. However, some people love that, it’s a look on its own. (Very structured beanie)","April 12, 2020",Catherine,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHEIYMF53TU7B4RPAL7GDV23BS4A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:18.412491,2020-10-05 16:19:18.573532,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
15,AG6XBUOPLRUNALTTWUHZCU26DNVQ,True,Fits too small,Ordered 2 men's Carthatt acrylic hats the exact same style and both were one size fits all. Bought them for a Christmas stocking gift. One fit fine but the red one was too tight and was not as flexible as the black one. A few family members tried it on and they all found it fit too small. It may fit a boy's small head but not an average man's size head. I can't return it because I bought it too early for Christmas so I am stuck with it. Note that it was only the red one that was too small.,"December 29, 2019",sw,1.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AG6XBUOPLRUNALTTWUHZCU26DNVQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:18.584267,2020-10-05 16:19:18.734573,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
16,AEK6W2UJSEOLCXIZDARKW7EDEODA,True,Red/navy is slightly darker than expected but still awesome,"Yep it's a soft, well fitting, authentic Carhartt beanie. I tried to get an accurate photo of the color of this thing but my pic came out a bit lighter than what I see in person; the thing about this type of color is that it changes depending on the lighting. Regardless I think it's awesome if you want a speckled red hat","July 6, 2020",spror,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEK6W2UJSEOLCXIZDARKW7EDEODA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:18.739452,2020-10-05 16:19:18.872187,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
17,AFFK4IMPIGHSFLHW5TB5Z5TWZYBA,True,Love,"It’s a little more purple than the photo but I actually like it more! Comfy, warm and nice quality!

Good toque for Canadian winters!","November 3, 2018",Shannah Clarke,5.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AFFK4IMPIGHSFLHW5TB5Z5TWZYBA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:18.877067,2020-10-05 16:19:19.038107,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
18,AGXN4Z2KYQAYF2BH6CCAJ22JXVJA,True,christmas present,Went to my parents house wearing a hat and my step-dad saw it and commented that he was going to take it so i bought an extra one for christmas for him. great quality bought one for my boyfriend who works outside as well. he says it keeps his head nice and warm. as pictured.,"December 20, 2018",Amazon Customer,5.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AGXN4Z2KYQAYF2BH6CCAJ22JXVJA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:19.043962,2020-10-05 16:19:19.190363,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
19,AFPTGNGUFTLPUXTPM7FFOUDBVPAQ,True,"Nice colour, fits extremely small","The colour is very nice (wine) and true to the photo, but the hat fits extremely smaller than anticipated. As a woman with a fairly small to average sized head, I'm not sure how this would fit a man's head comfortably. It certainly doesn't have that Carhatt ""look"" that has become so popular. Maybe it will stretch over time, but not super thrilled with it.","January 21, 2020",Taylor Curley,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFPTGNGUFTLPUXTPM7FFOUDBVPAQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:19.195244,2020-10-05 16:19:19.334810,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
20,AELTO4BCEQQK66CJYMBOYRNZIPJQ,True,Mens hat? More like children size,I am a 5 foot 4 inches tall woman weighing 120 pounds I do not have a large head. But with that said I purchased this mens hat because I hate tight hats giving me a headache and this hat is sooooo small even my two elementary school aged boys don't want to wear it either. Why is it made so tight when its supposed to be for adult males?????,"October 1, 2020",Alexis L,1.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AELTO4BCEQQK66CJYMBOYRNZIPJQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:21.501758,2020-10-05 16:19:21.676463,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
21,AHFX42EW4FQVJVXIN5O43NUX4PUA,True,A bit dissapointed.,"Amazon says these are made in the USA, and I try to always buy products that are made in countries known for good manufacturing standards. But my toque was made in Taiwan, and that is a real shame. I see in reviews that many that the hats are from different origins. Some were even made in Canada which I actually prefer to the US as I am Canadian. I have no significant qualms with Thai manufacture, but one of the main reasons I purchased the hat is because of it's US origin. Although it is soft and comfortable, earning itself a 4/5 star review from myself; I am nevertheless going to be far warier of product origin claims on Amazon.","September 22, 2020",Mark Stevenson,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHFX42EW4FQVJVXIN5O43NUX4PUA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:21.683296,2020-10-05 16:19:21.817981,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
22,AH4AB4ZGQBPOKZHHFM2AG7MY5QFQ,True,Worth every penny,"I bought this for my son last autumn to go with his new jacket and after several washes and hanging to dry it is still going strong. Thanks Carhardt for continuing to make a durable product that works as hard as the people that wear it.

Worth every penny","September 12, 2018",Amazon Customer,5.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AH4AB4ZGQBPOKZHHFM2AG7MY5QFQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:21.822862,2020-10-05 16:19:21.996589,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
23,AEKF2NBA2U46MY7EPBEC7T7DCQ6A,True,Not the colour I was expecting ☹️,This was not the colour I got. Instead of a bright yellow it’s more of a dark mustard. Very disappointed ☹️,"December 5, 2019",Nicolle Perry,1.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AEKF2NBA2U46MY7EPBEC7T7DCQ6A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:22.001469,2020-10-05 16:19:22.172268,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
24,AHWMO6PDYPQCITLZO254PCYGPZFA,True,Great warm hat for the price,I paid $14 and ordered the dark blue colour. Well made and nice colour. Can't beat the price for this hat. I followed another reviewer who provided pictures of the various logo designs and how it corresponds to country of origin. Mine was made in the US. Please click helpful if this review helped you. Cheers; Gary,"December 30, 2019",Gary W.,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHWMO6PDYPQCITLZO254PCYGPZFA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:19:22.178123,2020-10-05 16:19:22.316715,Carhartt Men's Acrylic Watch Hat,Carhartt Sportswear - Mens,1,B002G9UDYG,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,B01C3LW2KO
