,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id
0,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"May 23, 2020",Wow,"Could not wait to use this as soon as I got it. Remember my gran had something similar but beat up and old and some beautiful, flavorful food came out of that pot. OMG...perfect size and it browns meat beautifully. People please understand this is old school cooking pot. Just be gentle and it will last you for years. No metal. Seriously, not metal. Wooden spoon. Jambalaya came out beautiful, had to say I made the best Paella in that pan ever and the burgundy stew was out of this world.",yes,0,5.0,https://www.amazon.ca/Cooks-Standard-02518-Stainless-Casserole/dp/B01M2Z7PYC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:38:46.926127,2020-09-30 20:38:54.202340,Buzz,Clothing & Accessories,B00T7U6FDK
1,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"May 23, 2020",silent,"Can you hear that? No, because its a silent clock you dummy. Looks great and not a sound.",yes,0,5.0,https://www.amazon.ca/Lumuasky-Non-Ticking-Classic-Kitchen-Decorative/dp/B07YXWQDWG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:39:04.296125,2020-09-30 20:39:11.568776,Buzz,Clothing & Accessories,B00T7U6FDK
2,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"May 23, 2020",Perfect size,"for the price, you can't loose. Little inside ridge holds all your hanging files and then some. Just what this is designed for. A large lightweight, stack able add as you go filing box's.",yes,0,5.0,https://www.amazon.ca/IRIS-USA-Inc-R-FB-21E-Letter/dp/B07CQ919KP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:39:19.662587,2020-09-30 20:39:26.961347,Buzz,Clothing & Accessories,B00T7U6FDK
3,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"May 18, 2020",Perfect size,"Heavy duty and perfect size. For the price, you can't go wrong.",yes,0,5.0,https://www.amazon.ca/DEWALT-DWST17806-Tstak-Deep-Flat/dp/B00CBY2EIO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:39:35.055861,2020-09-30 20:39:44.324357,Buzz,Clothing & Accessories,B00T7U6FDK
4,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"May 4, 2020",very nice,just like advertised. Fits perfect and looks great,yes,0,5.0,https://www.amazon.ca/Superior-Modern-Viking-Collection-Chocolate/dp/B01M63NA29/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:39:52.420301,2020-09-30 20:40:00.683708,Buzz,Clothing & Accessories,B00T7U6FDK
5,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"April 17, 2020",Very nice,"Arrived quick, super cheap and adds a great look to the man cave. Exactly what it looks like, beautiful.",yes,0,5.0,https://www.amazon.ca/Wall-Art-Painting-Pictures-Decoration/dp/B00RDDW06Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:40:07.775550,2020-09-30 20:40:16.042550,Buzz,Clothing & Accessories,B00T7U6FDK
6,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"April 10, 2020",Best deal ever,Why pay $50 + for a name brand hoodie when this is the best,yes,3,5.0,https://www.amazon.ca/Jerzees-Pullover-Hooded-Sweatshirt-Medium/dp/B00T7U6FPI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:40:24.131596,2020-09-30 20:40:31.416831,Buzz,Clothing & Accessories,B00T7U6FDK
7,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"April 10, 2020",Genuine product,Real cinnamon sticks.,yes,0,5.0,https://www.amazon.ca/Certified-Organic-Ceylon-Cinnamon-Sticks/dp/B07495F2X5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:40:38.499990,2020-09-30 20:40:45.722860,Buzz,Clothing & Accessories,B00T7U6FDK
8,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"June 24, 2018",like really deep,"Deep, like really deep. Big brain stuff, mine to small",yes,0,4.0,https://www.amazon.ca/Simpsons-Their-Mathematical-Secrets/dp/1620402777/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:40:55.818099,2020-09-30 20:41:02.093298,Buzz,Clothing & Accessories,B00T7U6FDK
9,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,"June 24, 2018",Five Stars,works as it should,yes,0,5.0,https://www.amazon.ca/MoKo-Tab-9-6-Case-Folding/dp/B01EHSKXE8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 20:41:10.183404,2020-09-30 20:41:17.479976,Buzz,Clothing & Accessories,B00T7U6FDK
