,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id
0,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"June 9, 2020",Awesome,The cables work great for my phone and they showed up super fast.,yes,0,5.0,https://www.amazon.ca/Pack%E3%80%91INIU-Charging-Reinforced-Tangle-Free-Organizing/dp/B07Y2XQYGG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:47:34.221874,2020-09-30 11:47:43.645134,ebony,Clothing & Accessories,B002G9UDYG
1,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"March 24, 2020",Great,"I was originally sent the wrong hoodie and size, but i returned and reordered.
The hoodie is perfect. Thank you.",yes,0,5.0,https://www.amazon.ca/Under-Armour-Fleece-Hoodie-Black/dp/B07L9HLN86/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:47:51.750914,2020-09-30 11:48:01.116723,ebony,Clothing & Accessories,B002G9UDYG
2,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"March 19, 2020",Holy this game is fun it is super good,"Includes
Young bird",yes,19,5.0,https://www.amazon.ca/Sega-of-America-Sonic-Forces/dp/B0778R8ZD4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:48:11.213491,2020-09-30 11:48:20.606301,ebony,Clothing & Accessories,B002G9UDYG
3,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"December 2, 2019",Only recieved half the rod.,I ordered the 6 foot 6 inch rod and only recieved half of it.,yes,2,2.0,https://www.amazon.ca/Okuma-Celilo-Graphite-Lightweight-CE-S-662UL-1/dp/B000JUGU78/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:48:29.711597,2020-09-30 11:48:36.109403,ebony,Clothing & Accessories,B002G9UDYG
4,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"April 29, 2019",Looks previously opened,"The toy looks ok so far. The package looks to have been returned by someone else previously. It is taped back up. If it was just for myself it wouldn't be an issue, but this was bought as a birthday gift for my sons friend.",yes,0,3.0,https://www.amazon.ca/Transformers-Cyberverse-Warrior-Class-Optimus/dp/B076KR1YK9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:48:43.223550,2020-09-30 11:48:51.643349,ebony,Clothing & Accessories,B002G9UDYG
5,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"December 27, 2018",As expected,My son loves these books.,yes,0,5.0,https://www.amazon.ca/Big-Nate-Silent-But-Deadly/dp/1449489915/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:48:59.750418,2020-09-30 11:49:06.119427,ebony,Clothing & Accessories,B002G9UDYG
6,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"December 27, 2018",Awesome,Really good deal.,yes,0,5.0,https://www.amazon.ca/Pokemon-Steam-Siege-60-card-Theme/dp/B01I41EODA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:49:15.223395,2020-09-30 11:49:24.659725,ebony,Clothing & Accessories,B002G9UDYG
7,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"December 27, 2018",Awesome,Great little set.,yes,0,5.0,https://www.amazon.ca/LEGO-Unikitty-Cloud-41451-Building/dp/B07C8T3PH9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:49:32.765467,2020-09-30 11:49:41.187280,ebony,Clothing & Accessories,B002G9UDYG
8,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"December 27, 2018",Awesome,Son loved it,yes,0,5.0,https://www.amazon.ca/LEGO-Unikitty-Prince-Puppycorn-Building/dp/B07C8T3Y47/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:49:49.298869,2020-09-30 11:49:56.722538,ebony,Clothing & Accessories,B002G9UDYG
9,AGNDMBWG5MJVFQRMIDNVSWXGYLNQ,"December 27, 2018",Awesome,Fit perfectly and looks really good.,yes,0,5.0,https://www.amazon.ca/Under-Armour-Sleeve-T-Shirt-Heather/dp/B00KXACRF8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 11:50:06.827069,2020-09-30 11:50:15.193617,ebony,Clothing & Accessories,B002G9UDYG
