,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id
0,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"February 6, 2020",Good running board,"Good running board for the price.
Lots of extra hardware for different application.
Sturdy.",yes,0,5.0,https://www.amazon.ca/iBoard-Running-Boards-2009-2018-2010-2018/dp/B00V928VA4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:22:54.401573,2020-09-30 08:23:02.689706,Patrick,Clothing & Accessories,B002G9UDYG
1,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"February 6, 2020",Good fit,"Good fit for my 2016 ram 1500 crew cab.
It fit with my back flip hard tonneau cover.",yes,0,5.0,https://www.amazon.ca/Go-Rhino-8127B-Stake-Pocket/dp/B003K00AUC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:23:11.784092,2020-09-30 08:23:18.027201,Patrick,Clothing & Accessories,B002G9UDYG
2,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"November 14, 2019",Very nice,Very nice,yes,0,5.0,https://www.amazon.ca/DEWALT-DWST17809-TSTAK-Open-Tote/dp/B01NA7V3X0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:23:25.126234,2020-09-30 08:23:31.374069,Patrick,Clothing & Accessories,B002G9UDYG
3,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"November 14, 2019",Good,Kept my head warm,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:23:38.472549,2020-09-30 08:23:47.744520,Patrick,Clothing & Accessories,B002G9UDYG
4,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"November 14, 2019",Very sturdy,Very sturdy,yes,0,5.0,https://www.amazon.ca/DEWALT-DWST17807-Metal-Latch-Suitcase/dp/B00B6K4V80/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:23:57.840947,2020-09-30 08:24:04.106675,Patrick,Clothing & Accessories,B002G9UDYG
5,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"November 14, 2019",It look nice,It look nice,yes,0,5.0,https://www.amazon.ca/Moveland-Stainless-License-Canada-Standard/dp/B07H9PK4Q4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:24:12.197646,2020-09-30 08:24:19.504922,Patrick,Clothing & Accessories,B002G9UDYG
6,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"November 14, 2019",Looks good,"Looks good, gotta stretch it realy hard for my gmc canyon",yes,0,5.0,https://www.amazon.ca/ARRIVAL-CAR-PASS-Universal-Steering/dp/B01LYJ7FXV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:24:28.598227,2020-09-30 08:24:37.869462,Patrick,Clothing & Accessories,B002G9UDYG
7,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"November 14, 2019",Very nice,Very nice,yes,0,5.0,https://www.amazon.ca/MYLMSM-Auto-Valve-Cover-Keychain/dp/B076Y1BNTC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:24:47.954818,2020-09-30 08:24:54.216717,Patrick,Clothing & Accessories,B002G9UDYG
8,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"November 14, 2019",Looks good,Looks good,yes,0,5.0,https://www.amazon.ca/Spartan-SCI-FI-Comics-Games-Automotive/dp/B07NP6LBWK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:25:01.308054,2020-09-30 08:25:07.579807,Patrick,Clothing & Accessories,B002G9UDYG
9,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"November 14, 2019",Sticks well,Sticks well,yes,0,5.0,https://www.amazon.ca/Hydra-Automotive-Decal-Bumper-Sticker/dp/B076K2NBSY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:25:17.671925,2020-09-30 08:25:26.943626,Patrick,Clothing & Accessories,B002G9UDYG
10,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"August 2, 2019",I got one pair instead of two...,I got the steps delivered today and receive only one pair. Im going to return the one pair (2pcs) and hoping to get the two pairs right away(x4 pcs),yes,0,3.0,https://www.amazon.ca/Bully-BBS-1103-Aluminium-Steps-12x12x12/dp/B07FV4VCXQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:25:35.029213,2020-09-30 08:25:44.296152,Patrick,Clothing & Accessories,B002G9UDYG
11,AGTPE2OCOE3XU22H56AGE6JBFW3Q,"August 15, 2015",Five Stars,Realy good:),yes,0,5.0,https://www.amazon.ca/HDE-Breakaway-Cables-Wired-Controllers/dp/B00ISBR41Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:25:52.387265,2020-09-30 08:25:59.657898,Patrick,Clothing & Accessories,B002G9UDYG
