,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id
0,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"September 23, 2020",Fits to small,No filter included,yes,0,2.0,https://www.amazon.ca/Sportswear-designer-breathable-protective-Reuseable/dp/B08BYX9GR6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:56:55.202973,2020-09-30 02:57:03.454450,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
1,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"September 16, 2020",Excellent product,Quality item,yes,0,5.0,https://www.amazon.ca/Revlon-Professional-COCONUT-hair-treatment/dp/B01BLEIR30/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:57:11.546192,2020-09-30 02:57:19.844131,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
2,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"June 24, 2020",Suffice,It’s ok for the price,yes,0,3.0,https://www.amazon.ca/Ladies-Wallet-Leather-Clutch-Credit/dp/B07KR5HL8L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:57:27.931335,2020-09-30 02:57:36.215984,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
3,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"June 24, 2020",Quality item,Quality product,yes,0,5.0,https://www.amazon.ca/Stainless-Hemostat-Forceps-Serrated-Ratcheted/dp/B07PSDML8W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:57:45.295742,2020-09-30 02:57:51.527081,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
4,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"June 24, 2020",Excellent quality,Excellent quality product,yes,0,5.0,https://www.amazon.ca/Garlic-Box-Ultimate-Roasted-Salt/dp/B01DTE1G4M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:58:00.620583,2020-09-30 02:58:07.973401,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
5,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"January 5, 2020",Excellent product,Great price,yes,0,5.0,https://www.amazon.ca/DAVIDsTEA-Serenity-Lavender-Strawberries-Hibiscus/dp/B07YGTTFKT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:58:18.063838,2020-09-30 02:58:25.292021,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
6,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"December 28, 2019",Great price,Quality product,yes,0,5.0,https://www.amazon.ca/Weigh-Gram-Digital-Jewelry-Kitchen/dp/B06ZY1BSYL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:58:33.389936,2020-09-30 02:58:42.655439,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
7,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"November 27, 2019",Quality item,No issues,yes,0,5.0,https://www.amazon.ca/JETech-Screen-Protector-6-5-Inch-Tempered/dp/B07GZQBVPC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:58:50.743317,2020-09-30 02:58:57.050450,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
8,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"November 27, 2019",Top notch quality,"Excellent product, great price",yes,0,5.0,https://www.amazon.ca/ESR-iPhone-Pro-Max-Scratch-Resistant/dp/B07VJM82Z5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:59:06.131630,2020-09-30 02:59:13.389533,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
9,AGUNU7B2WAMONLUYGMFPP42QIHXQ,"October 23, 2019",Works for headaches,Excellent product,yes,0,5.0,https://www.amazon.ca/Hagina-Original-Japanese-Natural-Massage/dp/B07LFHK66S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 02:59:21.472309,2020-09-30 02:59:30.700876,Colleen K Clipperton,Clothing & Accessories,B002G9UDYG
