,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id
0,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"September 13, 2020",Best Spices!,These spices are Amazing! I have to my son in law for his birthday and he was thrilled!! Next time it will be my gift!!,yes,0,5.0,https://www.amazon.ca/Trader-Joes-Foodies-Cookie-Stickers/dp/B081B6Z95Z/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:36:34.257445,2020-09-30 01:36:42.589348,Sincerely Sande,Clothing & Accessories,B002G9UDYG
1,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"April 23, 2020",Poor quality,They disintegrate!!Was a substitute for another product -not impressed!I guess buyer beware!,yes,0,1.0,https://www.amazon.ca/Impresa-Products-3-Pack-Absorbing-Sponge/dp/B06XTZGXDP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:36:49.716146,2020-09-30 01:36:57.209570,Sincerely Sande,Clothing & Accessories,B002G9UDYG
2,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"March 9, 2020",Mindful read!!,Great reading! arrived quickly,yes,0,5.0,https://www.amazon.ca/Heal-Your-Body-Physical-Metaphysical/dp/0937611352/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:37:04.309230,2020-09-30 01:37:13.761917,Sincerely Sande,Clothing & Accessories,B002G9UDYG
3,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"March 6, 2020",Cute little toys!!,They are cute little squishies!! Somewhat smaller than I had expected though. Do not give to children under 3!!,yes,0,5.0,https://www.amazon.ca/Squishys-Satkago-Children-Octopus-Chicken/dp/B07787FMRM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:37:21.898431,2020-09-30 01:37:30.344968,Sincerely Sande,Clothing & Accessories,B002G9UDYG
4,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"February 21, 2020",Great desk accessory!,Just the right size-easy to clean and write on!,yes,0,5.0,https://www.amazon.ca/TONWON-Protector-Waterproof-Writing-Pad%EF%BC%8C15%C3%9731/dp/B07KR6GY53/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:37:38.499834,2020-09-30 01:37:47.947711,Sincerely Sande,Clothing & Accessories,B002G9UDYG
5,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"February 7, 2020",Gets the job done!! Cute too!,Small but mighty!! Just what was needed for a smaller commercial work space!,yes,0,5.0,https://www.amazon.ca/Numatic-Top-Seller-Professional-HVX200-22-accessory/dp/B005F5K3Z2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:37:57.079921,2020-09-30 01:38:03.509718,Sincerely Sande,Clothing & Accessories,B002G9UDYG
6,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"February 7, 2020",Works Amazing!!,Absolutely love this humidifier! So quiet and the difference in air quality is Amazing!!,yes,0,5.0,https://www.amazon.ca/Humidifier-Ultrasonic-Bedroom-Essential-Diffuser/dp/B07QXW2NSG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:38:11.659582,2020-09-30 01:38:20.098114,Sincerely Sande,Clothing & Accessories,B002G9UDYG
7,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"January 16, 2020",I can dream,Very interesting read! Well written and gorgeous photos!!,yes,0,5.0,https://www.amazon.ca/Little-Farmstead-Living-Creating-Country/dp/1683560140/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:38:27.202042,2020-09-30 01:38:36.629402,Sincerely Sande,Clothing & Accessories,B002G9UDYG
8,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"January 4, 2020",Great value,Great steam feature,yes,0,5.0,https://www.amazon.ca/T-fal-FV2622Q0-Ultraglide-Steam-Iron/dp/B01N0SBEGC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:38:45.758666,2020-09-30 01:38:54.236424,Sincerely Sande,Clothing & Accessories,B002G9UDYG
9,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"December 5, 2019",Fun toys,Bought it for my granddaughter and she loves it!! So cute with the twins!!,yes,0,5.0,https://www.amazon.ca/Skipper-Babysitters-Nurture-Nursery-Playset/dp/B07NC793XK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:39:02.363824,2020-09-30 01:39:09.852900,Sincerely Sande,Clothing & Accessories,B002G9UDYG
10,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"November 21, 2019",Great coffee!,I’m enjoying this new found breakfast delight!!,yes,0,5.0,https://www.amazon.ca/Folgers-Lively-Colombian-K-Cup-Coffee/dp/B01EX2O3TE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:39:16.977897,2020-09-30 01:39:23.374262,Sincerely Sande,Clothing & Accessories,B002G9UDYG
11,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"November 9, 2019",Attractive and comfortable!!,Love these for work! They cushion your feet for every step!,yes,0,5.0,https://www.amazon.ca/Skechers-Performance-Womens-Slip-Walking/dp/B00L4INGIU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:39:31.499656,2020-09-30 01:39:40.928868,Sincerely Sande,Clothing & Accessories,B002G9UDYG
12,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"October 20, 2019",Great size! Pretty fabric!,Great larger size-pretty fabric!,yes,0,5.0,https://www.amazon.ca/Oversized-Sunglasses-Durable-Protective-Reading/dp/B07QRZYTZ6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:39:48.055333,2020-09-30 01:39:57.456681,Sincerely Sande,Clothing & Accessories,B002G9UDYG
13,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"October 20, 2019",Comfortable!,These are comfy-however a bit on the smaller side! I always order larger because I have found many companies skimp on fabrics!!,yes,0,3.0,https://www.amazon.ca/Brilliance-Vanity-Fair-Undershapers-48301/dp/B07NR26G72/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:40:05.579785,2020-09-30 01:40:13.946654,Sincerely Sande,Clothing & Accessories,B002G9UDYG
14,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"September 25, 2019",Amazing product!!,Purchased this for a Birthday gift and the recipient is over the moon happy!! He said it felt a bit odd at first with the heaviness -however slept blissfully!! Thank-you!!!,yes,0,5.0,https://www.amazon.ca/Weighted-Blanket-Upgraded-Cotton-Gravity/dp/B07PFJ2R6X/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:40:22.099311,2020-09-30 01:40:28.527695,Sincerely Sande,Clothing & Accessories,B002G9UDYG
15,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"September 15, 2019",Pretty plus functional!!,I love these candles!! Look very realistic and romantic!! Never have to worry about forgetting to blow them out!! I will purchase more for gifts!!,yes,0,5.0,https://www.amazon.ca/Pandaing-Realistic-Flameless-Candles-Function/dp/B01FNRIG6Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:40:37.631391,2020-09-30 01:40:47.103184,Sincerely Sande,Clothing & Accessories,B002G9UDYG
16,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"September 15, 2019",Pretty pink bottle,"I use this pretty bottle for an essential oil spray container, it is just the right size!!",yes,0,5.0,https://www.amazon.ca/Refillable-Bottles-Cosmetic-Perfume-Container/dp/B07JKLFQLT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:40:54.265191,2020-09-30 01:41:01.696453,Sincerely Sande,Clothing & Accessories,B002G9UDYG
17,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"August 5, 2019",Writes beautifully!! I have to hold onto them so no one steals them!!,My favourites!!,yes,0,5.0,https://www.amazon.ca/Pilot-Precise-Stick-Rolling-35346/dp/B00006IEBL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:41:11.829494,2020-09-30 01:41:18.203620,Sincerely Sande,Clothing & Accessories,B002G9UDYG
18,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"August 5, 2019",It really works!!,It works very well in keeping the tub drain free of hair!! Very easy to clean!!,yes,0,5.0,https://www.amazon.ca/TubShroom-TSWHT454-Revolutionary-Protector-Strainer/dp/B01BYMTYBS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:41:27.381575,2020-09-30 01:41:35.904541,Sincerely Sande,Clothing & Accessories,B002G9UDYG
19,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"June 26, 2019",Comfortable and pretty!!,I love this company-the dresses are so comfortable and wash like rags -I just hang to dry!,yes,0,5.0,https://www.amazon.ca/Sakkas-15009-Alexis-Embroidered-Sleeveless/dp/B01GKA6K70/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:41:46.034463,2020-09-30 01:41:52.487630,Sincerely Sande,Clothing & Accessories,B002G9UDYG
20,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"June 26, 2019",Great value!,Lovely soap! Great size and oh so kind to my hands!!,yes,0,5.0,https://www.amazon.ca/Pre-Provence-Enriched-72-Percent-Marseille/dp/B00TBJVIDE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:42:00.624681,2020-09-30 01:42:07.093049,Sincerely Sande,Clothing & Accessories,B002G9UDYG
21,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"June 26, 2019",Easy to use!!,"Have only used it once-just got it, really does a great cleaning job on my jewelry",yes,0,5.0,https://www.amazon.ca/Magnasonic-MGUC500-Professional-Ultrasonic-Eyeglass/dp/B007Q2M17K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:42:17.197901,2020-09-30 01:42:25.606311,Sincerely Sande,Clothing & Accessories,B002G9UDYG
22,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"June 6, 2019",Pretty Fun !!!,Love the colors!!,yes,0,5.0,https://www.amazon.ca/Cambridge-59806-Limited-Perforated-8-5x11-Inch/dp/B007Z7OIBI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:42:33.768331,2020-09-30 01:42:41.180864,Sincerely Sande,Clothing & Accessories,B002G9UDYG
23,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"June 6, 2019",They really work!!,These are the best cloths for cleaning!!!,yes,0,5.0,https://www.amazon.ca/MR-SIGA-Microfiber-Cleaning-Cloths/dp/B010N0N7PQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:42:49.281966,2020-09-30 01:42:58.668215,Sincerely Sande,Clothing & Accessories,B002G9UDYG
24,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"April 27, 2019",Good value,Great product!! I’m a clean freak!,yes,0,5.0,https://www.amazon.ca/SIGA-Dual-Action-Scrubbing-Sponge/dp/B01A6HV6AE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:43:08.773202,2020-09-30 01:43:15.163273,Sincerely Sande,Clothing & Accessories,B002G9UDYG
25,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"March 25, 2019",Beware!!,Dislike and extremely disappointed!! Would fit a dolls pillow! Worst purchase ever from Amazon!!,yes,0,1.0,https://www.amazon.ca/Always-Kiss-Me-Goodnight-12/dp/B00OLADLYW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:43:23.281459,2020-09-30 01:43:32.771848,Sincerely Sande,Clothing & Accessories,B002G9UDYG
26,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"March 25, 2019",Great sound!!,Bought for a gift-absolute Loved by my friend!!,yes,0,5.0,https://www.amazon.ca/Innovative-Technology-Bluetooth-Turntable-Black/dp/B01G9CS7OS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:43:42.890528,2020-09-30 01:43:50.271559,Sincerely Sande,Clothing & Accessories,B002G9UDYG
27,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"March 25, 2019",Perfect size and durability for commercial spaces!,Awesome size for commercial cleaning!,yes,0,5.0,https://www.amazon.ca/Rubbermaid-Commercial-Twisted-Blend-FGJ25500BL00/dp/B005KD6DBW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:43:59.438367,2020-09-30 01:44:05.804207,Sincerely Sande,Clothing & Accessories,B002G9UDYG
28,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"March 25, 2019",Well made!,Sweet hat for a little boy ! Well made to keep the cold and wind out!,yes,0,5.0,https://www.amazon.ca/Carhartt-Little-Acrylic-Watch-Toddler/dp/B0051D9NR2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:44:15.920870,2020-09-30 01:44:22.253144,Sincerely Sande,Clothing & Accessories,B002G9UDYG
29,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"February 3, 2019",Lovely vintage style kettle,Love this kettle -boils rapidly and it is Cute! Matches my vintage Russell Hobbs toaster,yes,0,5.0,https://www.amazon.ca/Russell-Hobbs-Electric-Stainless-KE5550BKRC/dp/B075GN3TT4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:44:29.409633,2020-09-30 01:44:36.784099,Sincerely Sande,Clothing & Accessories,B002G9UDYG
30,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"January 20, 2019",Family Fun!!,The grands love it! Instant selfies they can display!,yes,0,5.0,https://www.amazon.ca/Phetium-Leather-Protective-Shoulder-Fujifilm/dp/B0746P57YD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:44:43.891617,2020-09-30 01:44:52.333086,Sincerely Sande,Clothing & Accessories,B002G9UDYG
31,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"January 20, 2019",Fun!,I quite like my new film and camera! Bought it for my grands to enjoy!!,yes,0,5.0,https://www.amazon.ca/dp/B00O4OR4GQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:44:59.478947,2020-09-30 01:45:06.855792,Sincerely Sande,Clothing & Accessories,B002G9UDYG
32,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"January 20, 2019",A special treat for the price!,Nothing to dislike ! Works well and just the right size!,yes,0,5.0,https://www.amazon.ca/Handheld-Operated-Portable-Bulletproof-Cappuccino/dp/B07FVX7XQQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:45:16.967163,2020-09-30 01:45:24.396115,Sincerely Sande,Clothing & Accessories,B002G9UDYG
33,AHVSOM6ZPU363AXRPXGHSVX2W7OQ,"December 8, 2018",Cute and functional,Love it!! So cute and toasts everything just perfect!!,yes,0,5.0,https://www.amazon.ca/Russell-Hobbs-Toaster-Stainless-TR9150BKRC/dp/B075GGKVSD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:45:34.513067,2020-09-30 01:45:42.932150,Sincerely Sande,Clothing & Accessories,B002G9UDYG
