,id,date_review_posted,review_title,review,verified_purchase,people_find_helpful,ratings,product_url,start,end,author,product_category,product_id
0,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"August 18, 2020",Nice computer,Very good machine for everyday needs recommend.,no,One,5.0,https://www.amazon.ca/VivoBook-Touchscreen-Processor-Fingerprint-J401MA-AB01-CA/dp/B087Z58PY5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:23:27.416024,2020-09-16 16:23:36.678050,Stan,Electronics,B087Z58PY5
1,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"March 27, 2020",Will bay again.,My best screen protector so far.,yes,0,5.0,https://www.amazon.ca/LK-Protector-Alignment-Installation-Replacement/dp/B07GDNG23D/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:23:44.765114,2020-09-16 16:23:51.027923,Stan,Electronics,B087Z58PY5
2,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"March 27, 2020",Ordinary speakers with extraordinary hype around.,"Good for small rooms. Not very clear and crispy or powerful sound. It's just okay.
Would recommend for computer setup.",yes,0,4.0,https://www.amazon.ca/Edifier-R1700BT-Bluetooth-Bookshelf-Speakers/dp/B016PATXSI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:23:59.124201,2020-09-16 16:24:06.389564,Stan,Electronics,B087Z58PY5
3,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"March 27, 2020","Touch screen very sensitive and convertible, very light and thin, long battery life,not expensive.","Excellent machine for my 11 old daughter for school and every day tasks. Very impressed. Good alternative for Apple.
Good job Asus.",yes,2,5.0,https://www.amazon.ca/VivoBook-Laptop-Celeron-Processor-Windows/dp/B07JBJM275/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:24:13.484710,2020-09-16 16:24:20.777242,Stan,Electronics,B087Z58PY5
4,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"January 21, 2020",Good for back slippers,Good neck support but uncomfortable to sleep on the side .,yes,0,4.0,https://www.amazon.ca/Core-Products-FIB-220-Tri-Core-Cervical/dp/B005RCBKE6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:24:28.864414,2020-09-16 16:24:36.149073,Stan,Electronics,B087Z58PY5
5,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"January 21, 2020",Gave neck support.,It's good pillow overall...but a little bit high for me.,yes,0,4.0,https://www.amazon.ca/MARNUR-Orthopedic-Pillow-Contour-Certification-Pillowcase/dp/B078WRQYXW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:24:44.232722,2020-09-16 16:24:50.517561,Stan,Electronics,B087Z58PY5
6,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Quality of product very cheap.,To long.,yes,0,2.0,https://www.amazon.ca/Champion-Powerblend-Pullover-Hoodie-Medium/dp/B01HIUTCVM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:24:57.610700,2020-09-16 16:25:06.868440,Stan,Electronics,B087Z58PY5
7,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Recommend,Good quality product.,yes,0,5.0,https://www.amazon.ca/Moog-K90477-Camber-Adjusting-Bolt/dp/B000HPNWBW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:25:13.958618,2020-09-16 16:25:21.267545,Stan,Electronics,B087Z58PY5
8,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Small but convenient,Better than expected.,yes,0,5.0,https://www.amazon.ca/TOPELEK-Brightness-Rechargeable-Flexible-Dormitory/dp/B0757ZGFP2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:25:29.359032,2020-09-16 16:25:35.643119,Stan,Electronics,B087Z58PY5
9,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Good for a price,Not bad quality but I need bigger one.,yes,0,4.0,https://www.amazon.ca/Ringside-Latex-Speed-Bladder-Small/dp/B006K423ZU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 16:25:45.734127,2020-09-16 16:25:53.032214,Stan,Electronics,B087Z58PY5
