,id,date_review_posted,review_title,review,verified_purchase,people_find_helpful,ratings,product_url,start,end,author,product_category,product_id
0,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"August 29, 2020",Garbage !!,Garbage. Save your money. Do your research first.,yes,0,1.0,https://www.amazon.ca/VivoBook-Touchscreen-Processor-Fingerprint-J401MA-AB01-CA/dp/B087Z58PY5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:30:29.621925,2020-09-16 08:30:37.022478,Phoenix Courtney,Electronics,B087Z58PY5
1,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"August 21, 2020",Does not align.,"Holes don't line up. No hole in the back for fingerpri t scan. Phone fits in nicely, if that's all you want.",yes,0,1.0,https://www.amazon.ca/Compatible-Resistant-Absorption-Silicone-Transparent/dp/B07P7FS4H5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:30:44.145445,2020-09-16 08:30:51.547628,Phoenix Courtney,Electronics,B087Z58PY5
2,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"June 16, 2020","Issues, but easily fixed.","Limited App options and had to factory reset because it froze up downloading apps. Apps wouldn't download and couldn't clear to retry. I found downloading 1 at a time works. Don't have any qued. After that was solved, it's a good lil tablet. Its a lil porker though, got some weight to it. Enjoy.",yes,0,3.0,https://www.amazon.ca/Fire-HD-8-Tablet/dp/B0839NW337/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:31:00.652217,2020-09-16 08:31:07.985454,Phoenix Courtney,Electronics,B087Z58PY5
3,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"June 9, 2020",R’ D’ R D,"Loose, hard to hold. Need only 1 Algorithm. R’D’R D Still a pretty kewl puzzle.",yes,0,4.0,https://www.amazon.ca/Coogam-Shengshou-Megaminx-Kilominx-Puzzle/dp/B06XGWWSKD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:31:15.149186,2020-09-16 08:31:22.521404,Phoenix Courtney,Electronics,B087Z58PY5
4,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,,,,no,0,,,2020-09-16 08:31:34.632396,2020-09-16 08:49:33.135379,Phoenix Courtney,Electronics,B087Z58PY5
5,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"September 22, 2018","4xL , maybe for a toddler.",Way to small.,yes,0,1.0,https://www.amazon.ca/Billila-Unisex-Printed-Pullover-Sweatshirt/dp/B077HP9FCJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:49:42.371617,2020-09-16 08:49:49.735144,Phoenix Courtney,Electronics,B087Z58PY5
6,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"August 24, 2018",Enjoyable,Good time spender on long trips.,yes,One,5.0,https://www.amazon.ca/Elloapic-ShengShou-Megaminx-Dodecahedron-Gigaminx/dp/B06XKJZ5ZT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:49:56.849669,2020-09-16 08:50:04.318897,Phoenix Courtney,Electronics,B087Z58PY5
7,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"August 24, 2018",Fits all sizes.,Super easy to put together and convenient compact shipping.,yes,0,5.0,https://www.amazon.ca/Zinus-Compack-Adjustable-Spring-Mattress/dp/B015IHMK5C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:50:14.412857,2020-09-16 08:50:23.650678,Phoenix Courtney,Electronics,B087Z58PY5
8,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"June 22, 2018","Good sound, time and temp all in one","Good sound , time and temp all in one, very convenient.",yes,0,5.0,https://www.amazon.ca/Soundance-Bluetooth-Temperature-Wireless-A10/dp/B076CWYLBN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:50:31.732685,2020-09-16 08:50:40.982007,Phoenix Courtney,Electronics,B087Z58PY5
9,AFKU6GGIGDBELXJUYMBEKIPFYMXQ,"May 17, 2018",As expected. Bought for the different color scheme.,As expected. Bought for the different color scheme.,yes,2,5.0,https://www.amazon.ca/HJXD-global-Magic-2x2x2-Stickerless/dp/B01N6NEZMC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:50:51.060723,2020-09-16 08:50:59.316544,Phoenix Courtney,Electronics,B087Z58PY5
