,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AEUWQQ2GPMPJLKASTOW64IPY6J2A,True,"Teeny Tiny hoodie has no room for me, let alone my cat.","Comically small. I usually fit a woman's large, and ordered an XXL that I could fit into, in a tight and squeaky pinch. Definitely would not also fit my cat.

Fabric is not at all stretchy, and I would recommend ordering 3 or 4 sizes up if you can. The XXL I received fits my boyfriend snugly, who typically fits into my old women's medium size hoodies, but hardly leaves room for my quite-small cat. So if you're a medium and you own a chinchilla/ ferret or a wee kitten, the XXL could work for you.

Seriously, don't buy this. Not worth the money.","August 22, 2018",Amazon Customer,2.0,9,https://www.amazon.ca/gp/profile/amzn1.account.AEUWQQ2GPMPJLKASTOW64IPY6J2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:04.155711,2020-10-05 16:00:04.295279,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
1,AGU2DLZHTMLEX55KNV54R77I4KTA,True,Thin but surprisingly cozy,"I read previous reviews AFTER ordering this hoodie Not the smartest plan, but here we are. From the moment I opened the package I noticed immediately the quality of the hoodie is not the best, but for the price I'm not going to complain too much. The size was surprisingly okay. I was anticipating something that was too small, that I might get stuck in - but it's actually fairly baggy and honestly quite comfortable despite the thin fabric. It feels like something one might wear to bed.

The pouch is quite big and looks comfortable with a soft lining, but my cat doesn't seem to like the hoodie at all - save for the hoodie ties and pom-pom ends. The pouch itself is big enough to accomodate him... But I don't plan to walk around with him in it. He's in the 10-13lb range. I think it will be a strictly cuddle-on-the-couch hoodie.","October 17, 2019",Heidi,4.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AGU2DLZHTMLEX55KNV54R77I4KTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:04.300160,2020-10-05 16:00:04.458270,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
2,AFXNFDJCNKQXCDBXUMRMKK2TKVIA,True,"Too small, too thin and doesn't even fit a kitten!","I'm pretty sure I received the wrong size. The sticker said XL and I measured myself based on the size chart but it's SO TINY. I usually fit in a medium but got a couple sizes up based on reviews and it can't even fit my ragdoll kitten :/ He's 6 months old and it won't fit him, a huge waste of money. I've been trying to find a way to contact the store to see if I got the wrong size but I can't find a way to get in contact. Can't return to amazon due to the amount of cat hair already on it. Super disappointed. You might as well make yourself one at this price.","September 1, 2020",Jess,1.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFXNFDJCNKQXCDBXUMRMKK2TKVIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:04.463151,2020-10-05 16:00:04.592958,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
3,AERW3BEQV6EZY6TPKKH2CAFGZPIQ,True,"As advertised, but cat hates it.","The sweater fits as advertised and is what I expected, but my cat absolutely hates this sweater. You have to put an arm under the pocket while cat is inside because it doesn't adequately hold him up (so you can't just put him in the pocket and walk around). This sweater made my cat frustrated and he angrily jumped out of it every time. Note. my cat loves being held and cradled usually. The sweater comes as advertised (in fact it's quite comfy) but be aware that it may not be so fun for your cat...","March 2, 2019",Amazon Customer,3.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AERW3BEQV6EZY6TPKKH2CAFGZPIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:04.597838,2020-10-05 16:00:04.740333,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
4,AEHN62Q57LN37GU6Q3HPTDXKOGYQ,True,My cat rescuer loved it.,"My sister rescued our cat who was being bullied by our other cat and dog. So this was a thank-you gift. She loved it!! Some reviews said to size up, which I did. But I found the size right on. The material is a bit cheap, so I give it 4 stars. But it's a great gift. Our cat is tiny, so no issues fitting in the pouch.","December 26, 2019",comet6comet,4.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AEHN62Q57LN37GU6Q3HPTDXKOGYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:04.745213,2020-10-05 16:00:04.895517,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
5,AEWQTN23FIQWOIGOQJQBGMDDUZ2A,True,Cute and Accommodating,"Very happy with this purchase overall, and did go up two sizes to allow for extra wiggle room in the kangaroo pouch for the critter. Only downside is that even after washing, I found the fabric to have a very odd/potent smell which is somewhat off putting. Hoping it will just wear off!","April 23, 2018",Kathryn Simpson-Brown,4.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AEWQTN23FIQWOIGOQJQBGMDDUZ2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:04.900399,2020-10-05 16:00:05.036063,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
6,AFTWEI44RPTOFCU37AZVGW5TRGNQ,True,"Sizing good, cat too fat","I swear my cat isn't super obese, just a little chunky... but after 1 or 2 uses of this sweater I can see the inner seams coming undone. It's just not constructed super well for an adult cat. Kittens and skinny cats shouldn't cause the seams to start loosening... Otherwise comfy, fits me great, and cute design.","April 5, 2020",Hannah,4.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AFTWEI44RPTOFCU37AZVGW5TRGNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:05.040940,2020-10-05 16:00:05.181485,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
7,AFKT7EJ4JOVWRK3KAOHSVGJIX7SA,True,"Buy 1 size up, fast shipping","Got this for a present for my girlfriend. After reading reviews, I bought 1 size up (medium instead of small) and it fit my girlfriend perfectly! It arrived a lot faster than I thought it would as well!","July 18, 2017",Toria,5.0,7,https://www.amazon.ca/gp/profile/amzn1.account.AFKT7EJ4JOVWRK3KAOHSVGJIX7SA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:05.186366,2020-10-05 16:00:05.332764,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
8,AFAR5YBBMTNIEUVF2WRITV6NFD3A,True,Bon produit,"J’ai acheté ce chandail pour porter mon chihuahua. Elle adore ça. Je porte habituellement du 2xl et j’ai commandé le 3xl il est juste de la bonne taille, mais le tissu n’est pas extensible. J’ai l’intention de le porter au camping cet été, alors le tissu assez mince le rendra confortable à ce moment de l’année. Les manches sont quand même très longues mais assez étroites. La pochette où on installe l’animal est faite de tissu très doux et est munie d’une fermeture éclaire tout le tour pour la retirer facilement lors du lavage. C’est un beau produit en général.","January 25, 2020",Syndia,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFAR5YBBMTNIEUVF2WRITV6NFD3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:05.337645,2020-10-05 16:00:05.465537,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
9,AGQ7KFWOJVURTE4XWQCO2AZBKZ6Q,True,"Super cute, kinda cheap though",This is hilarious. I have an 8 lbs toy poodle and she fits well. A little snug but she actually seemed to enjoy being a little joey. The material feels cheap and thin and the hood is small but overall I'm fairly happy. If you follow their size chart then sizing shouldn't be an issue.,"February 17, 2018",Amazon Customer,4.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AGQ7KFWOJVURTE4XWQCO2AZBKZ6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 16:00:05.470419,2020-10-05 16:00:05.614866,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
10,AHMXXEZYPA7UPHOOC3CO7MQ6HYNA,True,HORRIBLE BUY,Where do I start on how horrible this product is. First you have to order 2 sizes larger just for it to fit. Material is supper thin and cheap. Not warm or comfortable at all. Found many rips in it before even wearing it. This is the same thing you will find on any Chinese website . Don’t buy not worth it.,"July 9, 2020",Phil,1.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHMXXEZYPA7UPHOOC3CO7MQ6HYNA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:00:11.769681,2020-10-05 16:00:11.901441,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
11,AGO5VCQAQUSHYJC6LLJEZXATOGKQ,True,Pocket could be better,This sweater is definitely for kittens. Not for adult cats. Unless you have slender adult cats like siamese or sphynx. They could fit. My cat is average weight. & it felt like the sweater pocket might rip. He was too big to fit in my opinion. The sweater fit fine without a cat. The embroidered stitching is great. So my only complaint is the sturdiness of the pocket & the pocket could be a lil bigger. Delivery came on time. It's an ok product.,"April 21, 2020",Shotpoppa ,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGO5VCQAQUSHYJC6LLJEZXATOGKQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:00:11.906321,2020-10-05 16:00:12.037105,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
12,AEVLPVWPAQJ3STYJTBV5TKPJ3GZQ,True,My kitty approves,"Well in a Hoodiae I am a M and I recommend going up 2 sizes. I ordered a XL because of the reviews I read and I was glad I did. It gives me enough room and my cat enough too. The fabric is a little light tho.
My cat is peacefully sleeping in the pouch as I write this. I havent washed it but i will probably hang it to dry cause I read reviews that the stitches can come apart. I am happy with this purchase","September 26, 2020",raeanne,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEVLPVWPAQJ3STYJTBV5TKPJ3GZQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:00:12.041986,2020-10-05 16:00:12.187410,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
13,AGJ4LCXRMQM6I2HUD35LQF3UICCQ,True,"Good, but head hole is small","Make sure you buy at LEAST one size bigger. The head hole is quite small, as is the cat pocket. My 10lb kitty fits perfectly, but my 14lb kitty really fills out the pouch. The material is thin, but still pretty warm. Over all it is a good quality for the price.","June 25, 2018",Gavin/Aimee,5.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AGJ4LCXRMQM6I2HUD35LQF3UICCQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:00:12.193264,2020-10-05 16:00:12.325066,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
14,AGOX3HYJXAJ7677V67BNGFSBSHDQ,True,Don't waste your money,"Arrived with torn and frayed tassel strings, and a large hole in the pouch. I have contacted the seller for my money back, as this hoodie is inexcusable damaged. Don't waste your money on this cheap, horribly made product.","April 9, 2019",Amazon Customer,1.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGOX3HYJXAJ7677V67BNGFSBSHDQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-10-05 16:00:12.328970,2020-10-05 16:00:12.455849,Ladyjiao Womens Mewgaroo Pet Holder Cat Eared kangaroo Pouch Sweatshirt Hoodie,No,"18,699",B002G9UDYG,AE5PVJPICBQ2FOAK5PY6GC3O4CNA,B078W56BS2
