,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AH633AXQOHVJFC74WTOJK3UDMUUQ,True,good socks,"My daughter, who had cervical cancer, loves these socks. I put them in her Christmas stocking. They are good quality, soft, with bright colours....and the sentiment is spot on!","January 1, 2020",watsofunny,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AH633AXQOHVJFC74WTOJK3UDMUUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:38.556778,2020-10-05 18:57:38.696297,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
1,AGH3Q5A64TT4BWDT5ZEBWOPCGGUA,True,Exactly as pictured,"I bought these for a customer . I haven’t opened them, but the socks look great . Exactly as pictured if not better. Definitely gift worthy.","January 6, 2020",Jill ,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGH3Q5A64TT4BWDT5ZEBWOPCGGUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:38.700201,2020-10-05 18:57:38.830986,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
2,AHZEOLEE4MMFYDMTYKYSMZCI6Z3A,True,'F' Cancer Socks,"have arrived, as described, not passed along to the recipient as yet, Thank you","September 6, 2020",Crazycat,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHZEOLEE4MMFYDMTYKYSMZCI6Z3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:38.835866,2020-10-05 18:57:38.975433,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
3,AEVBRVAFKNREKKQKXB5F5ZABQWLA,True,I would recommend them.,These socks are super cute and great quality. I think my mom will get a kick out of them.,"April 21, 2020",Catharine Bird,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEVBRVAFKNREKKQKXB5F5ZABQWLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:38.981291,2020-10-05 18:57:39.115001,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
4,AEYQEJ5NDHYEXVQTWPDXVNRUQ7QQ,True,Soft and comfy,Bought these as a gift for my uncle. He gets lots of compliments during chemo. He says they fit perfectly and are very soft and comfortable.,"February 15, 2020",Melissa L,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEYQEJ5NDHYEXVQTWPDXVNRUQ7QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:39.119881,2020-10-05 18:57:39.253592,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
5,AGAIDZL254TCEHYU6PQVQKTW6NIQ,True,Sized appropriately.,Socks are cute.,"February 16, 2020",Lori Bote,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGAIDZL254TCEHYU6PQVQKTW6NIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:39.258472,2020-10-05 18:57:39.398041,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
6,AHP5DE6U5BHGWNZDY7STH7X6RPUA,True,small fit,"I bought these for my 12 year old daughter, and they barely fit her feet!","June 9, 2020",Trish Harper,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHP5DE6U5BHGWNZDY7STH7X6RPUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:39.403895,2020-10-05 18:57:39.537609,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
7,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,True,Great socks,Awsome,"December 28, 2019",Ryan M.,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEBGY7RXWZDCVFWKVQL6AF2HW3EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:39.542489,2020-10-05 18:57:39.675224,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
8,AHPCZYR3AD5XF7SLXMWA2GXFGMOQ,True,good laugh,"Gave as gift, and very well received. Had a good laugh","March 23, 2020",Debbie Boyce,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHPCZYR3AD5XF7SLXMWA2GXFGMOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:39.680104,2020-10-05 18:57:39.823574,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
9,AHMN6IY2SOFMRR2MXGCNKHOEQFXA,True,Product as described.,Fun socks. Fit well.,"November 24, 2019",Denise,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHMN6IY2SOFMRR2MXGCNKHOEQFXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 18:57:39.828455,2020-10-05 18:57:39.959239,Beat Cancer Socks - Funny Novelty Gift for Cancer Survivor or Chemo Patient - For Men and Women,,"10,256",B002G9UDYG,AEBGY7RXWZDCVFWKVQL6AF2HW3EA,B06XRDXD6G
