,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AFCA5VPJLUCFQRQQCBEKHQQSNKQQ,True,Being enjoyed,"Purchased for my wife to use in Fall/Spring type weather in Canada. She said they fit great, keep her hands warm, and the touchscreen part works well - also works great for unlocking the touch sensor on the Toyota Camry door. They might be ok as a driving glove even in winter, Will update if there are any issues in the coldest parts of winter (Jan/Feb)
Currently has worked well down to -8C or so that it has gotten to in the past week since these arrived.","November 6, 2018",BrianM,5.0,6,https://www.amazon.ca/gp/profile/amzn1.account.AFCA5VPJLUCFQRQQCBEKHQQSNKQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:21.214576,2020-10-05 19:26:21.367842,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
1,AEM2EMSHOC2FCOXCGWUW3R2S4Z4A,True,Nice for touchscreen and fits my hands.,"I just received the item today and was worried if this will fit my small hands. When i tried it, it perfectly fit. The touchscreen, I loved it so much. I will no longer take off my gloves to use my phone when I'm outside. I'll let you know when it makes my hands warm. I'll add comment in the future. But overall, I am happy with my purchase. Thanks!","January 18, 2018",Patty,5.0,6,https://www.amazon.ca/gp/profile/amzn1.account.AEM2EMSHOC2FCOXCGWUW3R2S4Z4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:21.372688,2020-10-05 19:26:21.505423,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
2,AEYE4MYVFH7HINLLSYWWDARSK77A,True,Not recommended for small hands,Every winter I lose my gloves so after misplacing my leather ones I got these ones since they look good and are touchscreen friendly. They work quite well my only problem is that they're a bit big especially the thumb which makes it hard to use a phone. While they look good for faux leather they don't compare to real leather but that's a given. Overall I would recommend if you don't have small hands.,"April 22, 2019",Camila,4.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AEYE4MYVFH7HINLLSYWWDARSK77A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:21.510306,2020-10-05 19:26:21.646018,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
3,AGYQUZ6OL33ZRMB27S5RWIV5VOGA,True,Soft leather and very warm,"These gloves are so great! Very soft leather and fuzzy inner lining, also pretty cute with the bow tie. The best thing about it is that I can use my phone without taking them off. It's so convenient in the - 5 weather.","November 22, 2018",han,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGYQUZ6OL33ZRMB27S5RWIV5VOGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:21.650898,2020-10-05 19:26:21.792417,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
4,AH4FT475WMV4NOHMNA2REIBZXBXQ,True,Stylish and functional. A little disappointed with the bows.,Keep hands very warm (even warm to the touch on outside of the gloves). Touch screen finger tips are very functional. Unhappy that the bows came off after only a few weeks of wear.,"March 28, 2018",GoToGuy,4.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AH4FT475WMV4NOHMNA2REIBZXBXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:21.797297,2020-10-05 19:26:21.932960,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
5,AHDJE2QCTT5EGLDY6NWVN2FLKWBA,True,Very good looking.,"It is very pretty and professional, but it does get too moist inside very quickly, it doesn't aerate.","June 25, 2019",Emily,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHDJE2QCTT5EGLDY6NWVN2FLKWBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:21.937841,2020-10-05 19:26:22.068664,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
6,AHMUB6ZLR72FG7OBKEJMDXEZH5IA,True,Sexy,Sleek pair of gloves. Keeps your hands warm in -10 Celsius. Most important it works with my phone when wearing it!,"November 2, 2018",yumiwang,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHMUB6ZLR72FG7OBKEJMDXEZH5IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:22.073544,2020-10-05 19:26:22.219943,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
7,AFKS5VVTV7MY4477LOIV3HSWKH2A,True,Gloves,Thought I would give these a go. The touch pads are annoying and I found I was taking my gloves off anyways.,"December 29, 2018",Jillian Lawrence,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFKS5VVTV7MY4477LOIV3HSWKH2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:22.224823,2020-10-05 19:26:22.352679,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
8,AHW26WLFQIMPFWY3ORRCTNBUB3KA,True,Perfect for now - not for small hands,i just received them and they are perfect. I usually buy size 8 gloves and they fit perfectly so I guess they would fit size 7.5 to 8.5 or M/L to L. I only Hope they will last even if they are not leather.,"January 4, 2018",Amazon Customer,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AHW26WLFQIMPFWY3ORRCTNBUB3KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:22.357559,2020-10-05 19:26:22.491270,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
9,AEROCCLLBUTZ3GZSIYTVX2Z5XUZQ,True,love,"Beautiful, high quality gloves made of fine leather. Love the cashmere inside.","November 5, 2018",Sophia,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEROCCLLBUTZ3GZSIYTVX2Z5XUZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:26:22.497152,2020-10-05 19:26:22.634741,"Women's Touchscreen Texting Gloves, Ulstar Winter Leather Driving Gloves Cashmere/Wool/Fleece Lining Windproof Outdoor Skiing Bowknot Gloves for Women (Bowknot)",,"115,420",B002G9UDYG,AEHUPZHLTNG2MBIMJUYQ7XL6JTMQ,B077Z214VX
