,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AH5LVMZYPZX7N76I2754USIUBNXQ,True,Great value,"I would give this bra a 5 star if the strap buckles weren't as visible. Most bras the strap buckles sit toward the back so are not noticable but these when adjusted normally are in the front and they are not black so they stand out so I have to be careful what top I wear it with.
The bra looks great on, they are a larger cut so I had to exchange for a cup size smaller than usual. Pretty comfy too.","December 19, 2018",Kell,4.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AH5LVMZYPZX7N76I2754USIUBNXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:53.081700,2020-10-05 20:36:53.219314,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
1,AG4NQEPAN2OHCZKKM77OR7OODIYQ,True,Worth the purchase,I liked it so much I bought another one. Strong material that stands up. Since I gained weight I've struggled to find a bra that makes 'the girls' look like they did in a Victoria Secret bra. This did it! and for a fraction of the price! I believe true to size.,"May 16, 2019",Sandra Johnson,5.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AG4NQEPAN2OHCZKKM77OR7OODIYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:53.224195,2020-10-05 20:36:53.362790,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
2,AHSI5UNVVHAEQVXS4JDLTMY7A65Q,True,Extremely comfy and practical. Cute but simple at the same time!,"Got the 38B and it fits perfectly in terms of both cup and band sizes.

Fabric on the bra is super soft, and the the straps don't dig into my shoulders.

Well designed and doesn't show bra lines when wearing tshirts and thin materials.

Its a comfy everyday bra, but it has just a touch of lace and 1 rhinestone in the middle to make me feel fancy! Excellent bra in every way!","June 4, 2019",L. Sanchez,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AHSI5UNVVHAEQVXS4JDLTMY7A65Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:53.367666,2020-10-05 20:36:53.526753,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
3,AGZDX7B2VO6TCB3W7QXX3IMSMRLQ,True,Didn’t fit me,"This is way too big and I have to send it back. I ordered a 42 B because I need the large band and bit smaller cup but this is definitely more like a c or d cup. It’s a little over padded for my liking as well but some may love it, I prefer no padding at all and it’s my mistake , I ordered because of all the good reviews saying it was true to size but it wasn’t for me.","December 16, 2019",Sam L,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGZDX7B2VO6TCB3W7QXX3IMSMRLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:53.531633,2020-10-05 20:36:53.665386,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
4,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,True,Disapointed with this one,"I was disappointed with this because the last bra I ordered from this company is my favourite bra. Unfortunately, this one seems like a bigger cup, the fit isn't awful but definitely not proper (even though they are both apparently 34DDD) and the sides of it dig into my armpit no matter how much I adjust the straps. The quality of the bra overall is decent for the price if it weren't for the issues mentioned above.","January 29, 2019",Naomi,3.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AEL4PEFWBBEB7RDVIFLE6DVJDYKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:53.671242,2020-10-05 20:36:53.808858,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
5,AFQ7NG4QZPG4YQLRL4LDKVQRRLDA,True,Comfortable,Came in good packaging and was on time. I love the colour and how it’s fits so comfortably. Definitely will be ordering more in the future!! It was so easy to return it since I have lost weight and I knew I was a certain size but they were very accommodating and sent me the size that I wanted. Thanks!!,"July 22, 2020",Melly,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFQ7NG4QZPG4YQLRL4LDKVQRRLDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:53.814713,2020-10-05 20:36:53.959160,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
6,AEZD7MDPBUM3C4AKFHOEZD6JX6RQ,True,Fits perfectly,"I love that it FITS! But it comes up under my arms a bit too high and gets uncomfortable. Not badly enough that I would return, just prevents giving 5-stars.
Great quality construction and materials","November 20, 2018",Natasha Heredia,4.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AEZD7MDPBUM3C4AKFHOEZD6JX6RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:53.964041,2020-10-05 20:36:54.104611,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
7,AH5LVMZYPZX7N76I2754USIUBNXQ,True,Cheap and good!,"Sizing is way off, it runs very large, but a good bra for the money. Not excellent but if you're on a budget this is much better than other cheap bras.","August 8, 2019",Kell,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AH5LVMZYPZX7N76I2754USIUBNXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:54.110466,2020-10-05 20:36:54.243203,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
8,AHTDQOC5H2NB2I6674H245KV2VFA,True,Fits great! Especially for the price!,I usually order a 34DD for light push up bras and this fit well. The fabric is so soft and it has a nice wide band which is so comfy. I will be ordering more because the price is so great for such a lovely bra! It also came early!,"August 15, 2020",Raerae,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHTDQOC5H2NB2I6674H245KV2VFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:54.248083,2020-10-05 20:36:54.393507,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
9,AH65M37LGQIVZGPTLINF76AUDQKQ,True,Comfortable and great,Nice under clothes as it can’t be seen. Fits perfectly and so comfortable that I end up wearing it almost every day. Definitely worth the money,"May 27, 2020",Krissy Mccaig,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AH65M37LGQIVZGPTLINF76AUDQKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 20:36:54.398387,2020-10-05 20:36:54.538930,Smart & Sexy Womens Perfect Push-up Bra Padded Bra,Smart & Sexy,"8,766",B002G9UDYG,AEL4PEFWBBEB7RDVIFLE6DVJDYKQ,B07BVWZ2V1
