,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AGNYSY2REGFYDQQOOXX7J2IEA5EA,True,Good price fits ok,"I previously bought sunglasses from ZeroUV years ago. I've always liked them. I saw these on Amazon and for the price I had to order. It was slightly less than on their website. But when I received them they just came in a paper box. I thought there would be a microfiber sleeve cover that wouldve came with it like my previous purchase years ago. Nopes just a paper box that you're going to throw away. The fit is ok. Very dark tint. I would give 5 stars had it come in a cover or case. I had also purchased a similar version of these on Amazon which was couple bucks more but came with a microfiber cloth, sleeve cover and hard case. If u don't mind the price and dont need a cover than this purchase would be good for you.","March 8, 2020",Linda,4.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AGNYSY2REGFYDQQOOXX7J2IEA5EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:49.864259,2020-10-06 00:48:50.138916,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
1,AFUTKHQB2LVUU5JK7BXA3RTIR7AQ,True,"Well made, cheap sunglasses with a *very* dark tint","These glasses are *very* dark, so I find that I can only wear them on the sunniest of days. I'd rather have something that gradually tints darker towards the top for driving. Also, an effect of the style is that they don't provide my side coverage, and I find that I can see the reflection of my face in the edges. I also find them somewhat small and tight. For these reasons I regret buying these, but it was not possible to try them on before purchasing, obviously.

Despite my personal complaints, I will say that they are quite inexpensive and feel like they are decently well made.","May 26, 2018",Joseph Lien,3.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AFUTKHQB2LVUU5JK7BXA3RTIR7AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:50.148674,2020-10-06 00:48:50.420707,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
2,AHUEMIJOKPRU65CE4ST777RVLGEA,True,"Good enough, not great.","These glasses get a some hype on the internet. Ignore the hype. They're kind of cheap-looking, good-enough glasses. They feel cheap, too, with sticky hinges. I wouldn't buy them again.","February 3, 2017",Adam Norman,3.0,6,https://www.amazon.ca/gp/profile/amzn1.account.AHUEMIJOKPRU65CE4ST777RVLGEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:50.430141,2020-10-06 00:48:50.706759,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
3,AEAEWH36V55ZQJKXDY5U7TAG76WA,True,Very dark... works well in extreme sunlight ...,"Very dark...works well in extreme sunlight..though it has 2 tiny problems, (1) if you keep going back and forth between a somewhat dark room and outside (with a lot of sunlight) --- you can't see anything in the room with the sun glasses..and you will have to keep taking off and putting the sun glasses back on over and over again. And (2) if you have sunlight coming from behind...you will get a glare...","March 13, 2018",Amazon Customer,4.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AEAEWH36V55ZQJKXDY5U7TAG76WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:50.717342,2020-10-06 00:48:50.911009,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
4,AG7UWO2US7QERNZJSU73TKUG4KZQ,True,Not purple lenses,"I was expecting purple lenses, they are actually grey lenses with a purple mirror tint. Very disappointed! I will most likely be returning them.

The hinges are very tight. I’m afraid to use them as it feels like the may break.

Other than that they look nice and feel fairly comfortable to wear.","September 23, 2017",Lesley,1.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AG7UWO2US7QERNZJSU73TKUG4KZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:50.936000,2020-10-06 00:48:51.104470,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
5,AGZ5M37OTNVAVOMZS64NQPGZ62YA,True,"Great sunglasses, but wrong size","This is the second time I've bought these sunglasses. I lost my first pair. They're great glasses for the price. However, I ordered the wider glasses and I'm almost certain I didn't get the correct ones. They're fine, but a bit of a tight fit for my big head. Still, well worth the price I paid.","March 9, 2020",Pat,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGZ5M37OTNVAVOMZS64NQPGZ62YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:51.111301,2020-10-06 00:48:51.270845,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
6,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,True,happy overall !,"love this ! good price, fit nicely and are comfy once you wear them. bought them for vacation and wore them every day - surprisingly didn’t lose them
in the ocean ! will continue to wear them and if i would i’d buy again.","May 13, 2020",Sarah ,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGZ3O457IP7K7JRGHCEVQTFJZZJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:51.276700,2020-10-06 00:48:51.449706,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
7,AGWQG3SPS64MOLDE7UWS5CIK5DRA,True,Quelle chance,"Dans la voiture, les yeux bleus qui ont été opéré au lazer demeurent très vulnérables au soleil ! Cette lunette est bien ! Elle a un côté rétro. J’adore !","August 31, 2020",marmottes,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGWQG3SPS64MOLDE7UWS5CIK5DRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:51.456559,2020-10-06 00:48:51.620515,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
8,AGQNI3GSB3W6J4D2IFC2TJ6DJLJA,True,Second Pair completely different then advertised,The first pair of sunglasses were amazing. Bought a second pair and the shape was completely different. The lenses are more rounded at the bottom.,"June 27, 2019",Karina L.,1.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGQNI3GSB3W6J4D2IFC2TJ6DJLJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:51.626364,2020-10-06 00:48:51.785108,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
9,AGZERKVG4GEK234Q66LXAG2XTJOQ,True,"Terrible, do not buy","Have had 2 pairs, both broke in the same spot of the frame (while on my face) within days of wearing them. Do not buy","September 11, 2018",nosmase,1.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AGZERKVG4GEK234Q66LXAG2XTJOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 00:48:51.789989,2020-10-06 00:48:51.925654,zeroUV - Matte Black Horn Rimmed Sunglasses,zeroUV Sunglasses,"6,398",B002G9UDYG,AGZ3O457IP7K7JRGHCEVQTFJZZJQ,B01DBTCOPK
