,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AGPS5L4JVEL3QPIU5WDGY6EZWI5A,True,"I’d recommend to another, 5 stars.","Great quality, vivid color. It fits a tad on the smaller size than average. Size up one if you're on the fence. Cobalt blue is the best color, love it!","October 3, 2017",Maya,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGPS5L4JVEL3QPIU5WDGY6EZWI5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:24.674418,2020-10-06 01:14:24.949494,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
1,AGAE42P5KDO56HTT3EGGWXL5TBKA,True,Good but go a size up,Product is good. Definitely fits snug. You have to go a size up. had to return the original for a bigger size. No big deal. easily done,"November 3, 2017",Eryn Dixon,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGAE42P5KDO56HTT3EGGWXL5TBKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:24.955349,2020-10-06 01:14:25.105704,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
2,AENL7UDP5ELZMEBYUUAUTX7R2BKQ,True,Five Stars,Excellent.,"April 9, 2018",Amazing Review,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AENL7UDP5ELZMEBYUUAUTX7R2BKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:25.110585,2020-10-06 01:14:25.243369,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
3,AGPWVE53RJWWMKP3257YV6OYPHMQ,True,Five Stars,It's awesome and is very comfy,"February 8, 2017",Amazon Customer,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGPWVE53RJWWMKP3257YV6OYPHMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:25.249225,2020-10-06 01:14:25.387210,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
4,AHUQYM764Z26CDDHSG3GVSPSHERQ,True,Thanks!!!,"Very happy with the product, fit and look!","March 8, 2017",Sherrie Salahub,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHUQYM764Z26CDDHSG3GVSPSHERQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:25.393066,2020-10-06 01:14:25.641838,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
5,AEDQIJWH2CHCQ3AK7PFZWKKFUDAQ,True,Five Stars,Love it thanks,"December 1, 2016",Amazon Customer,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEDQIJWH2CHCQ3AK7PFZWKKFUDAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:25.653550,2020-10-06 01:14:25.829409,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
6,AGVA7O7OGNFXCFJYNWK262CK4PBA,True,Five Stars,very comfortable. fits well and looks good.,"December 15, 2016",rajina s,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGVA7O7OGNFXCFJYNWK262CK4PBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:25.836159,2020-10-06 01:14:25.994033,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
7,AG7ARFVHE3NZXSSH2FEIUQL6F5PQ,False,Puma! Love it.,"Super comfortable, soft fleece lining, it's a nice sweater, Puma has always been a good name. Fast shipping, great service.","July 16, 2016",Laura,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AG7ARFVHE3NZXSSH2FEIUQL6F5PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:26.000560,2020-10-06 01:14:26.158735,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
8,AHBFAAAXWA45343QEM7O27277BYQ,False,Four Stars,A nice sweater that's warm and comfy.,"August 1, 2016",Amanda A,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHBFAAAXWA45343QEM7O27277BYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:26.164074,2020-10-06 01:14:26.285585,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
9,AG3H25ESSRT777GDPJYWHJJ4VN5Q,True,100 % happy customer: ) Order a size up as the ...,Fabulous quality and fit! 100 % happy customer :) Order a size up as the sizes run small. Im usually a small but ordered a medium and it fits perfect. The fabric is wonderful.,"January 2, 2018",Camille Cadorette,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AG3H25ESSRT777GDPJYWHJJ4VN5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-06 01:14:26.290465,2020-10-06 01:14:26.442882,PUMA Women's Essential No.1 Hoody Fleece Womens,Puma,,B002G9UDYG,AHTRP76BBPX55OIOETPFEMRS5HKQ,B01ELRYQ0M
