,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"January 5, 2020",Melted the enclosure!,"I installed it in my truck, on the 2nd day it started making a whirring noise from the fan and the 3rd day it melted the enclosure, lucky I noticed it or it could have caught fire. Would not recommend even when it did work on the first day the heat coming out was barely noticeable.",yes,0,1.0,https://www.amazon.ca/dp/B07ZR4VRSL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:53:05.953067,2020-09-17 20:53:15.243230,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07ZR4VRSL
1,1,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"January 2, 2020",They work great!,"These lights worked great to grow my basement herb garden, would recommend 100%",no,0,5.0,https://www.amazon.ca/240W-Samsung-LED-Grow-Light/dp/B081ZT6BMC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:53:22.334168,2020-09-17 20:53:30.609405,Amazon Customer,Clothing & Accessories,B002G9UDYG,B081ZT6BMC
2,2,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"November 21, 2018",Great Product,"This is an amazing quality product. It is sturdy and durable in hand and brews amazing espresso. The value of this product is excellent and does just as good of a job as pricey espresso machines. I use this product several times daily and it has yet to rush, tarnish, of fail. This product is a bit tricky to clean, but I have designated a special toothbrush to use, to get into all the cracks, and it rinses well with water.

This espresso pot works wonders while camping too. Who does want a hot Americano while out in the bush?

Wonderful product, I would recommend this to anyone!",yes,One,5.0,https://www.amazon.ca/Bialetti-Express-3-Cup-Stovetop-Espresso/dp/B0000CF3Q6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:53:38.700343,2020-09-17 20:53:46.007611,Amazon Customer,Clothing & Accessories,B002G9UDYG,B0000CF3Q6
3,3,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"November 21, 2018",Awesome Value,"This is a great product, great value, and holds its shape well. I will definitely purchase this in the future. It comes exactly as described and is very warm, too! This looks great on men and women.",yes,0,5.0,https://www.amazon.ca/Console-Armrest-Secondary-Storage-Organizer/dp/B077YG8BYN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:53:56.099205,2020-09-17 20:54:04.373171,Amazon Customer,Clothing & Accessories,B002G9UDYG,B077YG8BYN
4,4,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"November 21, 2018","Great Product, Great Value.","This product absolutely performs as well as costly whitening treatments that you'd get from your dentist. The product is sleek, easy to use, and provides results on the first try.

It comes with 2 molds! So you and your partner can both receive the benefits of at home whitening! Additionally, the amount of whitening gel that came was great: There is a ton, so you can use this product for a really really long time. It also comes with a removal battery, so you can a new one if needed, but it has yet to need a battery change even after several months. The teeth re-mineralizer that is included also makes my teeth feel stronger after each use.

This product had my teeth so white, I was receiving compliments after just 2 uses! This is a great product and makes an awesome gift for those looking for a whiter smile. It comes with a neat carrying case for the teeth molds so they remain clean while put away. I recommend this to everyone!",yes,4,5.0,https://www.amazon.ca/Grinigh%C2%AE-Whitening-Carbamide-Remineralizing-Bleaching/dp/B07B8L2HLH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:54:13.456469,2020-09-17 20:54:22.704370,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07B8L2HLH
5,5,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"November 21, 2018",This item is GOOD LUCK!,"I purchased this item because I wanted to try my hand at gold-panning. It is incredibly light-weight yet durable, an excellent product for both the experienced and inexperienced alike. It is a perfect size, so it can always be kept in a vehicle or backpack to use on any riversides you come across.

In my case though, my family and I consider this product to be LUCKY!: The first time we went out to pan with this, I found a 3 gram nugget within 20 minutes! I didn't think I could actually make money using this product, but it's ease of use has given me the opportunity of making cold-hard cash despite my inexperience!

This is an amazing product, and in my case, a great investment! Not only is it a perfect pass time during summer camping trips, but could serve to be a new source of income with a bit of luck and skill!",yes,0,5.0,https://www.amazon.ca/SE-GP1012BB10-10-Inch-Plastic-Riffles/dp/B00M4GG05C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:54:30.794609,2020-09-17 20:54:39.101796,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00M4GG05C
6,6,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"November 21, 2018",Great Product,"This product is exactly as described. It is a heavy, good quality material. There is very little give in this hat, and it keeps it's shape well. It is very easy to clean, and seems to not hold odors like other materials do. I have owned several of these hats in the past and will continue to purchase these in the future.

Overall: It is an awesome, warm hat and a great value too! I would definitely recommend these to anyone, and can't wait to give these out as gifts this holiday season.",yes,4,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:54:47.195536,2020-09-17 20:54:56.467830,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002G9UDYG
7,7,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"November 21, 2018",Easy on the stomach,"This product came exactly as described. The safety seal was intact and product was packaged nicely. What I really love about this product compared to other brands was how easy it was on the stomach. This is my first time purchasing this brand, and I plan to purchase the exact same product when I run out. It was gentle on the stomach and didn't leave me feeling groggy or tired at all. The value and amount of tablets that come is a great deal!

I will certainly be buying this again!",yes,One,5.0,https://www.amazon.ca/Best-Naturals-Capsules-capsules-relaxation/dp/B00B10XXGG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:55:03.561104,2020-09-17 20:55:09.822776,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00B10XXGG
8,8,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"November 21, 2018",DELICIOUS!,"This product is exactly as described. It is oh-so-rich tasting, I can't believe it's sugar free. Of course, my favorite way to use it is putting it in coffees, but I also love using it to flavor over-night oats, apple pie filling, and pumpkin pies! It's great for baking!

I will certainly be buying this product again, as I am quickly running out. This gives you all of the richness without the sugar. It is sweet and a little goes a long way, so better bang for your buck! It is truly an A+ product for diabetics or those just looking to minimize their sugar intake.

I have tried many other sugar-free syrups in the past, but this is by far the winner in terms of flavor AND price. I fully recommend this to anyone!",yes,11,5.0,https://www.amazon.ca/Torani-Sugar-Free-Salted-Caramel-milliliters/dp/B005IGWD1K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:55:17.902441,2020-09-17 20:55:27.152539,Amazon Customer,Clothing & Accessories,B002G9UDYG,B005IGWD1K
9,9,AG4U3S7QJW2WXH2GPRZUHSFKKBPQ,"November 21, 2018",These are BRIGHT,"This is an incredible product. I live in Northern Canada and boy, does it get dark out here. The headlights on my stock 2016 Tacoma were just NOT cutting it, so I purchased these.

What an IMPROVEMENT! The field of light is wide, far, and clear. It truly lights up the road ahead as if it's daylight. They were so easy to install and felt really durable in hand. The crisp quality of these lights make it feel like you're driving in HD at night.

I would recommend these light to anyone, and I am going to purchase these for everyone else in my family for the added feeling of safety when you has clear visuals of the road ahead. These perform exceptionally well in heavy fog and blizzard type weather as well. Knowing that myself and my family are driving with these lights truly makes me feel safe.",yes,7,5.0,https://www.amazon.ca/LED-Headlight-Conversion-EAGLE-12000LM/dp/B0777NQS5Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 20:55:34.242470,2020-09-17 20:55:43.497952,Amazon Customer,Clothing & Accessories,B002G9UDYG,B0777NQS5Q
