,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"September 6, 2018",Huge headphones! Too Big,Product is amazing like beats and I have always loved MPOW,yes,0,2.0,https://www.amazon.ca/Headphones-Mpow-Connection-Sweatproof-Workout-Black/dp/B07C4HH863/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:53:51.557498,2020-09-18 23:53:57.870469,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07C4HH863
1,1,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"September 6, 2018",AWESOME,"Love it, works just like a fit bit, it did however stop working when it got really wet however MPOW is sending me a new one and they were easy to communicate with over email.",yes,0,5.0,https://www.amazon.ca/Mpow-Waterproof-Bracelet-Pedometer-Smartphones/dp/B07D6HKW6S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:54:06.961014,2020-09-18 23:54:13.233853,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07D6HKW6S
2,2,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"September 6, 2018",very cheap,Came with two pairs however they were not long enough for my lash line and the same length as my real lashes. I've had them for two weeks and none of them have all 3 magnets anymore (they have all ripped off) I've purchaser magnetic lashes before from other sellers that were great and these are not the same.,yes,0,1.0,https://www.amazon.ca/Magnetic-Eyelashes-Magnets-LeifLea-Natural/dp/B07F2GYHY1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:54:21.349822,2020-09-18 23:54:28.647290,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07F2GYHY1
3,3,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"June 30, 2018",Love them!,Awesome little product! Beautiful packaging and lashes are high quality and natural looking. They took me a little practicing as I am used to glue on ones but I will be buying a second pair!,yes,One,5.0,https://www.amazon.ca/Magnetic-Eyelashes-Qivange-Upgrade-Reusable/dp/B07CTM5K8C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:54:35.756293,2020-09-18 23:54:42.088814,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07CTM5K8C
4,4,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"June 10, 2018",Not the best,Scratched my phone cause it moved when I used the home button. The screen protector was bubbly too. Price makes sense,yes,0,1.0,https://www.amazon.ca/Efanr-Coverage-Protective-Tempered-Protector/dp/B01LYR3TCG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:54:51.207421,2020-09-18 23:54:57.524809,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01LYR3TCG
5,5,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"June 10, 2018",Best purchase,"Awesome quality, beautiful case and not bulky. Fast shipping too",yes,0,5.0,https://www.amazon.ca/MOSNOVO-Pattern-Printed-Plastic-Protective/dp/B07463SX7Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:55:06.617316,2020-09-18 23:55:12.904636,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07463SX7Y
6,6,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"June 10, 2018",Case is awesome.,Case great! Screen protector came cracked,yes,0,4.0,https://www.amazon.ca/Tempered-Protector-Ultra-Thin-Anti-Scratch-Protective/dp/B075ZXJ88H/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:55:21.003196,2020-09-18 23:55:27.280138,Amazon Customer,Clothing & Accessories,B002G9UDYG,B075ZXJ88H
7,7,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"January 11, 2018",Decent quality,Pretty sure it’s a real brand toque. Fits perfect bought it for my boyfriend but he wears it a lot and looks a little worn already since Christmas. Wears it almost everyday,yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:55:37.376233,2020-09-18 23:55:44.662054,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002G9UDYG
8,8,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"August 29, 2017",Good product,Works perfectly!,yes,0,5.0,https://www.amazon.ca/VicTsing-Displayport-Resolution-Thunderbolt-Microsoft/dp/B06W2GV5YL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:55:53.752248,2020-09-18 23:56:02.056226,Amazon Customer,Clothing & Accessories,B002G9UDYG,B06W2GV5YL
9,9,AH2AHQGS37QG3HFPKFV4Z3SAF72Q,"August 29, 2017",Perfect!,Awesome gloves. It really removes a lot of hair and my cats don't mind it at all. (They are very sensitive and hate being brushed). It's a little hard to remove the hair unless it's full enough but it vaccum's off so easy!,yes,0,5.0,https://www.amazon.ca/Grooming-TOPELEK-Deshedding-Removing-Shedding/dp/B06ZZ9YTQZ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 23:56:09.148752,2020-09-18 23:56:18.397801,Amazon Customer,Clothing & Accessories,B002G9UDYG,B06ZZ9YTQZ
