,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"March 6, 2018",Good set of lip balms for a decent price,"Great selection of lip balms. Each lip balm has it's own unique outlying feature.

Melon: Easily the best tasting one but seems like the weakest for me. I also found it brittle
Lemon: Tastes good and decently refreshing, bit acidic as expected and works well
Mint: Great refreshing feeling and the taste is good
Hemp: The most generic one, it's great if you don't want any flavor and works quite well

I have to put them on multiple times throughout the day. Living in Toronto, lip balms are a must have but I wish these were a bit stronger. I would purchase again. For now, it's a 4/5 but I'll update in a couple weeks to see if they're good long-term",yes,8,4.0,https://www.amazon.ca/100-Natural-Lip-Balm-Beeswax/dp/B01N2GI0RT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:36:11.744249,2020-09-30 03:36:18.042702,Shuaib,Clothing & Accessories,B002G9UDYG,B01N2GI0RT
1,1,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"March 6, 2018",Works perfect for a '06 CRV,"Works well as expected.

Installation was Easy peasy.",yes,0,5.0,https://www.amazon.ca/dp/B00B30HT28/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:36:26.129963,2020-09-30 03:36:34.370429,Shuaib,Clothing & Accessories,B002G9UDYG,B00B30HT28
2,2,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"February 15, 2018",Good rugged speaker,Great look on this rugged speaker. I purchased this for a friend. Output on the sound is pretty good and the battery lasts a good amount and only have to charge it once a week. Purchased for about $35 so it was a good deal. Otherwise the item is as described.,yes,0,4.0,https://www.amazon.ca/VicTsing-Bluetooth-Waterproof-Shockproof-Activities/dp/B01H2W4SLA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:36:41.454137,2020-09-30 03:36:47.663425,Shuaib,Clothing & Accessories,B002G9UDYG,B01H2W4SLA
3,3,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"February 15, 2018",Great mount and easy to install,"Excellent mount, very easy to install in my room. Recommend mounting with a friend. No creaking noises and the extension is very smooth. I have a pretty heavy old Samsung TV which is still under the recommended weight and I've had no issues. The arm extends out fully and can be retracted fully.",yes,0,5.0,https://www.amazon.ca/Mounting-Dream-Articulating-400x400mm-MD2377/dp/B00QOOZ4DE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:36:55.746591,2020-09-30 03:37:05.013438,Shuaib,Clothing & Accessories,B002G9UDYG,B00QOOZ4DE
4,4,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"February 15, 2018",Good as a short-term solution,"It's okay so there isn't much to say. The product is as described but there's a significant speed difference. Range is a bit better than before. We placed the router in the top floor because that's the only place with an Ethernet plugin. Our main floor and basement had poor range so we invested in this. Made the range a bit better and so nothing else to expect from this product.

If you have slow internet and range issues then make sure you isolate your issue before blaming this product. Your router or internet plan may be the issue.",yes,0,4.0,https://www.amazon.ca/NETGEAR-N300-WiFi-Range-Extender/dp/B00L0YLRUW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:37:12.092944,2020-09-30 03:37:19.321184,Shuaib,Clothing & Accessories,B002G9UDYG,B00L0YLRUW
5,5,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"February 15, 2018",Good for people on a low budget,"Does it's job. Quality isn't very high so you get what you pay for.

I used it for India and UAE.",yes,0,3.0,https://www.amazon.ca/dp/B00HMZUFU6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:37:29.407253,2020-09-30 03:37:38.654585,Shuaib,Clothing & Accessories,B002G9UDYG,B00HMZUFU6
6,6,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"February 15, 2018","Excellent wireless keyboard, great for your TV","Great keyboard for your TV. Purchased on sale for about $25 and there is no competition in the price. The keyboard makes it extremely easy to navigate on your TV with the dedicated yellow-click button on the top left side of the keyboard. You can give this keyboard to anyone and they'll have a great time using it. Your mom, your kid and even yourself.

I wish the touchpad was not so sensitive to water. Any moisture on your hands will make it impossible to use the touchpad but that isn't a huge issue (you shouldn't use wet hands on tech anyways). The arrow keys are very narrow, sometimes a pain to use. No real issues otherwise.

Has great range, slim form factor, keys are mushy with low travel and the volume controls above the touchpad is great placement. I love that the function keys are secondary so I can use media keys (for Spotify) on demand. I would love to purchase a similar higher quality product from Logitech in the future.",yes,4,5.0,https://www.amazon.ca/Logitech-Wireless-Touch-Keyboard-920-007119/dp/B014EUQOGK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:37:45.751648,2020-09-30 03:37:54.060747,Shuaib,Clothing & Accessories,B002G9UDYG,B014EUQOGK
7,7,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"February 15, 2018",Good for bass lovers on a budget,Too much distortion at max volume. Very punchy bass which is great but for 20W speakers it should go louder.,yes,0,3.0,https://www.amazon.ca/Anker-Bluetooth-Subwoofers-Portable-Wireless/dp/B0107WH8Q4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:38:04.150448,2020-09-30 03:38:10.413989,Shuaib,Clothing & Accessories,B002G9UDYG,B0107WH8Q4
8,8,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"February 15, 2018",Good plain and simple hat,Soft fabric that keeps my head super warm. No complaints.,yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:38:19.493452,2020-09-30 03:38:27.781047,Shuaib,Clothing & Accessories,B002G9UDYG,B002G9UDYG
9,9,AHRPOQT7R6VSYXODA7YCTZXJEBYQ,"February 15, 2018",Excellent for posters,Works great. Used 4 pcs per poster with no sag/ drag. Have used it for about 2 months and still going strong.,yes,0,5.0,https://www.amazon.ca/Command-17024C-VP-Poster-Hanging-Strips/dp/B00EZ0QH8K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 03:38:34.887124,2020-09-30 03:38:43.151302,Shuaib,Clothing & Accessories,B002G9UDYG,B00EZ0QH8K
