,id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,author_id
0,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"August 18, 2020",Nice computer,Very good machine for everyday needs recommend.,no,One,5.0,https://www.amazon.ca/VivoBook-Touchscreen-Processor-Fingerprint-J401MA-AB01-CA/dp/B087Z58PY5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:36:38.906168,2020-09-16 22:36:45.207944,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
1,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"March 27, 2020",Will bay again.,My best screen protector so far.,yes,0,5.0,https://www.amazon.ca/LK-Protector-Alignment-Installation-Replacement/dp/B07GDNG23D/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:36:52.292977,2020-09-16 22:36:59.531728,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
2,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"March 27, 2020",Ordinary speakers with extraordinary hype around.,"Good for small rooms. Not very clear and crispy or powerful sound. It's just okay.
Would recommend for computer setup.",yes,0,4.0,https://www.amazon.ca/Edifier-R1700BT-Bluetooth-Bookshelf-Speakers/dp/B016PATXSI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:37:07.613380,2020-09-16 22:37:13.871729,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
3,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"March 27, 2020","Touch screen very sensitive and convertible, very light and thin, long battery life,not expensive.","Excellent machine for my 11 old daughter for school and every day tasks. Very impressed. Good alternative for Apple.
Good job Asus.",yes,2,5.0,https://www.amazon.ca/VivoBook-Laptop-Celeron-Processor-Windows/dp/B07JBJM275/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:37:23.953690,2020-09-16 22:37:30.221144,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
4,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"January 21, 2020",Good for back slippers,Good neck support but uncomfortable to sleep on the side .,yes,0,4.0,https://www.amazon.ca/Core-Products-FIB-220-Tri-Core-Cervical/dp/B005RCBKE6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:37:38.315009,2020-09-16 22:37:45.611736,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
5,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"January 21, 2020",Gave neck support.,It's good pillow overall...but a little bit high for me.,yes,0,4.0,https://www.amazon.ca/MARNUR-Orthopedic-Pillow-Contour-Certification-Pillowcase/dp/B078WRQYXW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:37:53.695507,2020-09-16 22:38:01.945598,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
6,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Quality of product very cheap.,To long.,yes,0,2.0,https://www.amazon.ca/Champion-Powerblend-Pullover-Hoodie-Medium/dp/B01HIUTCVM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:38:09.034295,2020-09-16 22:38:17.362045,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
7,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Recommend,Good quality product.,yes,0,5.0,https://www.amazon.ca/Moog-K90477-Camber-Adjusting-Bolt/dp/B000HPNWBW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:38:27.458347,2020-09-16 22:38:36.718229,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
8,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Small but convenient,Better than expected.,yes,0,5.0,https://www.amazon.ca/TOPELEK-Brightness-Rechargeable-Flexible-Dormitory/dp/B0757ZGFP2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:38:44.813343,2020-09-16 22:38:52.141515,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
9,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Good for a price,Not bad quality but I need bigger one.,yes,0,4.0,https://www.amazon.ca/Ringside-Latex-Speed-Bladder-Small/dp/B006K423ZU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:39:01.245902,2020-09-16 22:39:07.512207,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
10,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Reliable,It's DeWalt.....,yes,0,5.0,https://www.amazon.ca/DEWALT-DW2547Ir-4-Inch-2-Inch-Adaptor/dp/B000YQ341C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:39:15.611733,2020-09-16 22:39:22.875153,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
11,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Amazing,"Exceptional quality. Real leather.
No change shape and color.
Very happy.",yes,0,5.0,https://www.amazon.ca/SHIELDON-Genuine-Leather-Magnetic-Compatible/dp/B07BHHBWFH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:39:32.963446,2020-09-16 22:39:40.239213,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
12,AFAWCRQCNQNMMJLFOALEXPC6JNIA,"November 27, 2019",Good for a price,Nice,yes,0,4.0,https://www.amazon.ca/Floating-Quicksand-Shockproof-Protective-Silicone/dp/B07D9F8CGL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 22:39:47.320027,2020-09-16 22:39:54.587905,Stan,Electronics,B087Z58PY5,AFAWCRQCNQNMMJLFOALEXPC6JNIA
