,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"August 27, 2020",Love these.,"Great set released by hasbro. Especially like they paid homage to the past by keeping the wrong names printed on the cards.

Decent packing job by amazon. Figures arrived minty.",yes,One,5.0,https://www.amazon.ca/Star-Black-4-LOM-Zuckuss-6-Inch-Scale/dp/B083MMXV5R/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:36:06.728996,2020-09-18 22:36:15.021524,Darth Ganja,Clothing & Accessories,B002G9UDYG,B083MMXV5R
1,1,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"December 9, 2019",It is the way.,Excellent figure. Great details and paint. Super happy to add this to my collection. Great series if you haven’t watched it yet.,yes,0,5.0,https://www.amazon.ca/Hasbro-Mandalorian-6-inch-Action-Figure/dp/B07T85WMWL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:36:25.114801,2020-09-18 22:36:32.381308,Darth Ganja,Clothing & Accessories,B002G9UDYG,B07T85WMWL
2,2,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"December 9, 2019",Quality carhartt toque,Carhartt quality. Great fit and nice and soft. Warm. Recommended,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:36:41.473115,2020-09-18 22:36:48.726801,Darth Ganja,Clothing & Accessories,B002G9UDYG,B002G9UDYG
3,3,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"November 24, 2019",Description needs work! But sweater is nice.,"Great quality. Heavy thread and well sewn. Only issue I have is with the descriptions of this item. Above it says, 50/50 cotton blend and it also says 70/30 cotton blend. I can tell you, it’s a 70/30 cotton/poly blend. Another thing it says is “adjustable closure”...not sure what this means as it has no adjustable closure that I can find.

All that said, I am very happy with my purchase.",yes,0,5.0,https://www.amazon.ca/Carhartt-Midweight-Crewneck-Sweatshirt-3X-Large/dp/B07BQFZ23X/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:36:58.816647,2020-09-18 22:37:05.086093,Darth Ganja,Clothing & Accessories,B002G9UDYG,B07BQFZ23X
4,4,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"November 14, 2019",This tool will help to get those tires turning sooner.,"Pretty good unit.

Would have given it 5 stars, but, as others have mentioned, they got powder coat all up in the threads of the spool part. This, however, allowed me to test the welds and metal of this winder, as I really needed to twist this sucker on there with all my might. Only got the shaft half way in there, but I’m not overly concerned about it coming loose. That Wh0r3 is on there good...and the thing never bent. Ok, alright eh! Keep on trucking, Driver.",yes,0,4.0,https://www.amazon.ca/Tie-Downs-Roll-up-Flatbed-Trailers-Warehouses/dp/B01MT0WAGO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:37:15.176373,2020-09-18 22:37:21.456365,Darth Ganja,Clothing & Accessories,B002G9UDYG,B01MT0WAGO
5,5,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"November 12, 2019",Happy customer,"Excellent screen protector. Fits the iPhone XR perfectly. Has a nice smooth finish that allows your fingers to easily slide across the screen. Adheres to the phone with ease and included frame makes install a breeze and with a little dexterity, perfect. Recommend.",yes,0,5.0,https://www.amazon.ca/LK-Protector-Tempered-DoubleDefence-Replacement/dp/B07G36QHZS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:37:28.554941,2020-09-18 22:37:34.820523,Darth Ganja,Clothing & Accessories,B002G9UDYG,B07G36QHZS
6,6,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"December 21, 2018",Great figure! Very happy.,"Nice. Great detailing and quality paint. Waited months for this to get in stock, So glad to cop this for retail.",yes,0,5.0,https://www.amazon.ca/Star-Wars-Black-6-inch-Scale-Figure/dp/B0779SJ2KX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:37:43.913060,2020-09-18 22:37:52.155086,Darth Ganja,Clothing & Accessories,B002G9UDYG,B0779SJ2KX
7,7,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"June 16, 2018","Great kit, fun to build it was!","Great kit with tremendous detail.

This kit is not for the beginner, learn on a few cheaper, simpler kits before tackling this joint.

A socket set, screwdrivers, dowling - you will find these to be really helpful for this build..you will need something to help all the rounded curves this kit requires.

This kit does require patience to get all the rounded pieces right, but it will be worth it.

The two flaps on the wings, for me atleast, were a real pain. I probably folded the tab when I should have twisted it or visa versa, whatever, they are a sore spot for me on this kit, but other than that, had a lot of fun.

A must have for any SW Metal earth collection.",yes,0,5.0,https://www.amazon.ca/Star-Metal-Earth-Slave-Model/dp/B016ADEEO8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:38:00.246597,2020-09-18 22:38:07.527154,Darth Ganja,Clothing & Accessories,B002G9UDYG,B016ADEEO8
8,8,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"June 16, 2018",Another great kit from metal earth.,"Amazingly detailed for its small size.

Another excellent product from the folks at metal earth/fascinations.

Great fun to be had building this mini millennium falcon. Take your time, review and fully understand the instructions before starting and you are sure to end up with a great little model you and your friends will love.

As far as difficulty goes, this was not to hard but like all metal earth kits, there are small parts to deal with. This kit has some spares, so that helps, I needed to use a spare on the rear, above the engine exhaust, those tiny little pieces you have to fold in half, one broke on me, but they actually give you like 4 spares, so it was all good.

Liked this so much, I ordered the larger kit they have. Can’t wait to build it too.",yes,0,5.0,https://www.amazon.ca/Fascinations-Metal-Earth-Millennium-Falcon/dp/B00GY8S8MO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:38:14.618456,2020-09-18 22:38:20.875351,Darth Ganja,Clothing & Accessories,B002G9UDYG,B00GY8S8MO
9,9,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"June 16, 2018","Impressive, most impressive.","So f%*#’n cool.

A great addition to any SW fans collection.

While there are certainly more accurate Vader masks out there, None of them, IMHO, come close to this product by Kenner as far as value goes.

The details on the inside of this mask are phenomenal. How the mask comes apart like it’s father it’s modeled after is impressive, most impressive.

Two things that would make this thing really rock; I wish you could turn on the breathing sounds and leave it on, rather than pushing the button for 3 - 4 breaths at a time. Also, I had hoped for the voice changing mechanics. Those two things would have put this mask over the top.

That being said, The price is very good and at the risk of repeating myself, compared to other masks on the market, the value here can’t be beat.

The only other gripe I have is, like others have said, the small tab/mold marks that can be found on the top of the helmet. Kinda bush league for a mask that has so much attention to detail.

But all in all, amazing.",yes,2,5.0,https://www.amazon.ca/Star-Wars-Premium-Electronic-Helmet/dp/B072QN51ZG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:38:29.966583,2020-09-18 22:38:36.275066,Darth Ganja,Clothing & Accessories,B002G9UDYG,B072QN51ZG
10,10,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"June 16, 2018",Excellent unit. Will meet all of your sub space communications needs.,"This thing is the bees knees.

Looks, sounds and I’m sure feels just like the original prop.

Works flawlessly with my iPhone.

Beautifully built and comes with some really nice accessories such as the travel case, belt pouch and charging stand.

The manual and it’s design are not lost on this trek fan. The manual alone is a great addition to my collection.

Truly happy with this purchase. Great job by the manufacturer.",yes,2,5.0,https://www.amazon.ca/The-Wand-Company-WRC11215-Communicator/dp/B01ITB1OEC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:38:46.366904,2020-09-18 22:38:55.610577,Darth Ganja,Clothing & Accessories,B002G9UDYG,B01ITB1OEC
11,11,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"June 16, 2018",That scent you’ve been searching for.,"Mmmmmm smells good.

Get lots of compliments with Versace Eros.
One of my favorites in my current rotation of creed aventus, Jean Paul Gaultier le male and Lacoste white.
Long lasting, fresh and the ladies love it.

Awesome 300ml bottle will last awhile.",yes,One,5.0,https://www.amazon.ca/Versace-Toilette-Spray-Fluid-Ounce/dp/B00F8OOBLC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:39:05.697662,2020-09-18 22:39:12.037100,Darth Ganja,Clothing & Accessories,B002G9UDYG,B00F8OOBLC
12,12,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"June 16, 2018",Must have for your collection.,"Awesome figure to add to my collection.

Currently have 4 of these SW Bandai movie realizations figures and love them all. Next up, Boba Fett- but ouch- big money for that one.",yes,0,5.0,https://www.amazon.ca/Bandai-Tamashii-Nations-Realization-Stormtrooper/dp/B01BDWSKDM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:39:19.128375,2020-09-18 22:39:27.400260,Darth Ganja,Clothing & Accessories,B002G9UDYG,B01BDWSKDM
13,13,AHP7EUUDEJ5W4GRGCFDWEECNG2EA,"June 16, 2018",Great figures,"Great figures. So sweet to get the Kahn figure in here too. While kirks sculpt is not the most accurate, they got Kahn near perfect.

Fans of the original series and movies are sure to love this kit. I do.",yes,0,5.0,https://www.amazon.ca/Diamond-Select-OCT121568-Action-Figure/dp/B009N9QDWI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 22:39:37.490344,2020-09-18 22:39:44.746917,Darth Ganja,Clothing & Accessories,B002G9UDYG,B009N9QDWI
