,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"September 20, 2020",Not as older version .,The original version had stamped Not etched increments,yes,0,4.0,https://www.amazon.ca/Johnson-Level-1904-0700-Professional-Easy-Read/dp/B00CTGNETW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:28:21.680118,2020-09-30 10:28:31.088698,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00CTGNETW
1,1,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"December 15, 2019",Watch discription Some inaccurate info,Inaccurate product information led to a return Black boot pictured are Cat model control what was sent was Cat model Hauler that have a stiff slippery sole and are extremely heavy,yes,0,1.0,https://www.amazon.ca/Caterpillar-Footwear-Hauler-WP-TX/dp/B01DBIJYWM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:28:40.189891,2020-09-30 10:28:48.578884,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01DBIJYWM
2,2,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"December 15, 2019",Performed as expected,All good it was a gift And they are very happy with it,yes,0,5.0,https://www.amazon.ca/Essential-Cavir-Ultrasonic-Aromatherapy-Humidifier/dp/B07D7ZYC4Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:28:58.677277,2020-09-30 10:29:07.077841,Amazon Customer,Clothing & Accessories,B002G9UDYG,B07D7ZYC4Y
3,3,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"November 2, 2019",Happy with product.,ALL GOOD AND WELL MADE.,yes,0,5.0,https://www.amazon.ca/Wells-Lamont-Ultimate-Resistant-Insulated/dp/B0084CROHI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:29:14.177497,2020-09-30 10:29:21.606074,Amazon Customer,Clothing & Accessories,B002G9UDYG,B0084CROHI
4,4,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"March 11, 2019",Quality,Works as it should All good,yes,0,5.0,https://www.amazon.ca/JRL-Piston-Flywheel-Removal-Husqvarna/dp/B072J975PS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:29:28.705696,2020-09-30 10:29:38.093157,Amazon Customer,Clothing & Accessories,B002G9UDYG,B072J975PS
5,5,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"December 17, 2018",Good quality,Good price good quality Shipped fast,yes,0,5.0,https://www.amazon.ca/LotFancy-5-Inch-8-Hole-Dustless-Sanding/dp/B01LS2JGX0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:29:46.194974,2020-09-30 10:29:55.586935,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01LS2JGX0
6,6,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"June 4, 2018",Five Stars,Works well good fit.,yes,0,5.0,https://www.amazon.ca/Switch-Petcock-Atc250sx-Atc250es-Amhousejoy/dp/B0772LZMWJ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:30:02.689118,2020-09-30 10:30:12.065981,Amazon Customer,Clothing & Accessories,B002G9UDYG,B0772LZMWJ
7,7,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"June 4, 2018",Five Stars,Should work good Got this as a spare,yes,0,5.0,https://www.amazon.ca/SPM-Petcock-Valve-Switch-ATC250ES/dp/B01HB7KK1I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:30:19.171720,2020-09-30 10:30:25.530498,Amazon Customer,Clothing & Accessories,B002G9UDYG,B01HB7KK1I
8,8,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"June 4, 2018",Five Stars,As described,yes,0,5.0,https://www.amazon.ca/STANLEY-91-928-4-Inch-Release-Ratchet/dp/B000NJ7U1A/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:30:33.630023,2020-09-30 10:30:42.054777,Amazon Customer,Clothing & Accessories,B002G9UDYG,B000NJ7U1A
9,9,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"June 4, 2018",Five Stars,Does what it should,yes,0,5.0,https://www.amazon.ca/HQRP-NWZ-S515-NWZ-S516-NWZ-S616F-Protector/dp/B00E99O4DW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:30:52.157844,2020-09-30 10:31:00.590807,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00E99O4DW
10,10,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"June 4, 2018",Five Stars,All good,yes,0,5.0,https://www.amazon.ca/Brothers-Silhouette-Bumper-Sticker-Decal/dp/B00XL0WQFI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:31:09.693160,2020-09-30 10:31:17.083423,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00XL0WQFI
11,11,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"February 22, 2018",Five Stars,Put this on my old KZ worked well,yes,0,5.0,https://www.amazon.ca/Shift-Shifter-Lever-CRF50-Motorcycle/dp/B06X9SY741/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:31:24.181767,2020-09-30 10:31:33.592274,Amazon Customer,Clothing & Accessories,B002G9UDYG,B06X9SY741
12,12,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"February 22, 2018",Four Stars,Sort of large And I have a bigggg head.,yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:31:40.693541,2020-09-30 10:31:48.054744,Amazon Customer,Clothing & Accessories,B002G9UDYG,B002G9UDYG
13,13,AHK7R4IEB2KESLOGYTYU6ODRKUMQ,"February 22, 2018",Five Stars,All good,yes,0,5.0,https://www.amazon.ca/Carhartt-Percent-Moisture-Wicking-Ashland/dp/B00MNLR1ME/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 10:31:57.157895,2020-09-30 10:32:06.571990,Amazon Customer,Clothing & Accessories,B002G9UDYG,B00MNLR1ME
