,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"August 11, 2020",Cute but larger than expected,I wear a women’s size eight so I ordered the size that fits up to 8.5. I found it to be an inch at least too big. Loved the design should work ok. Going to the beach next week so not sure how well they’ll stay on in the water.,yes,0,3.0,https://www.amazon.ca/semai-Quick-Dry-Swimming-Non-Slip-Breathable/dp/B08BZL2FY9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:26:21.756350,2020-09-17 21:26:30.099231,SS,Clothing & Accessories,B002G9UDYG,B08BZL2FY9
1,1,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"August 11, 2020",Don’t trust the photo,Ordered based off the photo provided thinking I was getting red and received purple. Didn’t pay enough attention when I ordered to notice that the description and the image didn’t match.,yes,0,3.0,https://www.amazon.ca/Liquid-Paraffin-Lamp-Oil-Smokeless/dp/B07DD2HCXP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:26:38.209184,2020-09-17 21:26:44.482523,SS,Clothing & Accessories,B002G9UDYG,B07DD2HCXP
2,2,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"August 5, 2020",Comfortable and soft,Super soft and very comfortable. Fit was as expected.,yes,0,5.0,https://www.amazon.ca/ALONG-FIT-Leggings-Pockets-Control/dp/B0881HCMTH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:26:51.607875,2020-09-17 21:26:59.951777,SS,Clothing & Accessories,B002G9UDYG,B0881HCMTH
3,3,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"August 5, 2020",Whimsical and fun,These worked out perfect each of our fans was a different colour and these pull strings were the perfect match. We trimmed the strands tog get the perfect length. Super easy and cute. Got them over a month earlier than we thought.,yes,0,5.0,https://www.amazon.ca/MOTZU-13-inch-Ceiling-Extension-Connectors/dp/B07XGL6N3T/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:27:10.079400,2020-09-17 21:27:16.391165,SS,Clothing & Accessories,B002G9UDYG,B07XGL6N3T
4,4,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"August 5, 2020",Great gift idea,The box was a little banged up but the item was without flaw. Came sooner than anticipated. Took two AA batteries and works great! With enough weight or u can push down gently in the plate. The plate tops the coins into the mouth while playing a short tune. Very easy to get the change out the bottom.,yes,0,5.0,https://www.amazon.ca/No-Face-Coin-Automatic-Piggy-Music/dp/B07LD9M39D/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:27:24.501389,2020-09-17 21:27:33.763403,SS,Clothing & Accessories,B002G9UDYG,B07LD9M39D
5,5,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"August 5, 2020","Comfortable, soft, absorbent",Item is just as described. Super absorbent. We have less issues with the cats moving it around the room like the last one so I’d say the rubber bottom is pretty good. Smaller than I thought but I suck with dimensions. Haven’t had to clean it yet but that is one of the key reasons we bought a new mat,yes,0,4.0,https://www.amazon.ca/Bathroom-Absorbent-Machine-Living-Laundry/dp/B07PNP5FLD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:27:43.869484,2020-09-17 21:27:51.210457,SS,Clothing & Accessories,B002G9UDYG,B07PNP5FLD
6,6,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"July 13, 2020",Great value cat approved,Got these for our cat as he always managed to get out of the others. I’ve noticed he’s not trying to get this one off or scratching around his neck a lot. Great value,yes,0,5.0,https://www.amazon.ca/Tondwin-Collar-Reflective-Adjustable-Puppies/dp/B085VY6YH1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:27:59.310640,2020-09-17 21:28:07.660542,SS,Clothing & Accessories,B002G9UDYG,B085VY6YH1
7,7,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"July 7, 2020","Looks good, seems durable",Love how our tags turned out! Enough room on the back for our single line address and both our cell numbers. Shipping took a bit but it was coming from the states and it is a pandemic.,yes,0,5.0,https://www.amazon.ca/Double-Stainless-Engraved-Personalized-Graphic/dp/B07J63H4TN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:28:14.785048,2020-09-17 21:28:21.095468,SS,Clothing & Accessories,B002G9UDYG,B07J63H4TN
8,8,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"June 17, 2020","Applicator is great, screen is bubbling",Installed very easy so impressed. After almost a month I started getting some bubbling up around the edges. I have two more that when it really bugs me I’ll replace it.,yes,0,3.0,https://www.amazon.ca/LK-Protector-Tempered-DoubleDefence-Replacement/dp/B07G36QHZS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:28:28.224405,2020-09-17 21:28:35.521340,SS,Clothing & Accessories,B002G9UDYG,B07G36QHZS
9,9,AGIJXTLLMI4SUGB2RJP4HKZYTMSA,"June 17, 2020",Looks and works great,Case is cute and pretty sturdy. All the tools makes prepping my nails for a manicure super easy. Where have cuticle scissors been my whole life??!! Game changer!,yes,0,5.0,https://www.amazon.ca/ZIZZON-Clippers-Manicure-Pedicure-Holographic/dp/B07QTQ3K5D/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-17 21:28:42.654002,2020-09-17 21:28:49.949320,SS,Clothing & Accessories,B002G9UDYG,B07QTQ3K5D
