,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"August 22, 2020",Not Vera quality.,"This is not Vera quality that I know.
It has glue marks that will not come out,
Stitching in coming out and unraveling everywhere,
Snap is not staying closed and pops open with nothing in it,
And it is almost $40!",no,0,1.0,https://www.amazon.ca/Vera-Bradley-Iconic-Deluxe-Performance/dp/B07YD4NCNP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:03:21.793684,2020-09-29 21:03:28.171098,Kim,Clothing & Accessories,B002G9UDYG,B07YD4NCNP
1,1,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 31, 2020",All 12 should be in perfect shape.,"Out of 12, 4 are squashed and dented.",yes,2,2.0,https://www.amazon.ca/Rectangular-Containers-Portable-Organizer-Containers/dp/B07L3MP477/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:03:37.296495,2020-09-29 21:03:43.704558,Kim,Clothing & Accessories,B002G9UDYG,B07L3MP477
2,2,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 31, 2020",Squashed item received,The product is nice but one is badly squashed.,yes,0,2.0,https://www.amazon.ca/TooGet-Reusable-Homemade-Tealights-Rectangle-9-Pack/dp/B0836PL31C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:03:51.807983,2020-09-29 21:03:58.192337,Kim,Clothing & Accessories,B002G9UDYG,B0836PL31C
3,3,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 21, 2020",Great!,Got a great deal! and a nice color in person too!,yes,0,5.0,https://www.amazon.ca/KAVU-Unisex-Keyblur-Rhombus-Size/dp/B07F23M7C9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:04:05.302431,2020-09-29 21:04:13.713830,Kim,Clothing & Accessories,B002G9UDYG,B07F23M7C9
4,4,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 18, 2020",Horrible.,"Just received it now.
It is so dirty and I tried cleaning it but it will not clean completely. Photos were taken after cleaning it.
This is a kitchenware but I don’t want to use a dirty item in the kitchen.
Also, this product is not flat. The item them you put on it will move to the middle because it is slanted inward.",no,0,1.0,https://www.amazon.ca/Copco-2555-0190-Non-Skid-Cabinet-Turntable/dp/B0036OQWTU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:04:21.832006,2020-09-29 21:04:29.225349,Kim,Clothing & Accessories,B002G9UDYG,B0036OQWTU
5,5,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 17, 2020",Great gifts,Amazing product!,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:04:37.352205,2020-09-29 21:04:46.784729,Kim,Clothing & Accessories,B002G9UDYG,B002G9UDYG
6,6,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 17, 2020",Great,Very nice.,yes,0,5.0,https://www.amazon.ca/Hot-Wheels-Track-Builder-Stunt/dp/B01JMYP9OQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:04:56.898645,2020-09-29 21:05:03.258248,Kim,Clothing & Accessories,B002G9UDYG,B01JMYP9OQ
7,7,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 17, 2020",nice,Perfect for our Hotwheels toys,yes,0,5.0,https://www.amazon.ca/Energizer-Max-Alkaline-Size-pack/dp/B000JCCT9Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:05:11.368825,2020-09-29 21:05:19.797699,Kim,Clothing & Accessories,B002G9UDYG,B000JCCT9Y
8,8,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 17, 2020",Nice,"This was the second one ordered because the first one was not sealing the phone on the sides.
this one is perfect and protects my phone well.
it looks nice too",yes,0,5.0,https://www.amazon.ca/OtterBox-SYMMETRY-Case-iPhone-ONLY/dp/B00Z7SOBDM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:05:27.907325,2020-09-29 21:05:37.282076,Kim,Clothing & Accessories,B002G9UDYG,B00Z7SOBDM
9,9,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 15, 2020",Stitching is coming undone,"I received the bag yesterday and haven’t even taken it out yet but the stitching on ghe front zipper is already lose and coming off.
I don’t know if I will try to fix it and just use the bag or return it yet but the design and all the pockets are very nice. I just don’t know if. Is worth it to keep.",yes,2,1.0,https://www.amazon.ca/TurnWay-Water-Proof-Backpack-Crossbody-Shoulder/dp/B07V564D29/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:05:46.392692,2020-09-29 21:05:55.442526,Kim,Clothing & Accessories,B002G9UDYG,B07V564D29
10,10,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 10, 2020",Such a great little books,We love this! We read it everyday and was very special,yes,0,5.0,https://www.amazon.ca/Story-Christmas-Book-Advent-Calendar/dp/0761152504/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:06:05.569656,2020-09-29 21:06:14.848932,Kim,Clothing & Accessories,B002G9UDYG,0761152504
11,11,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"January 10, 2020",The best !,"I tried many and even received defective ones from other brands before too but this one by far was easiest to apply, covers the screen very well and looks great!
I couldn’t recommend this one more!",yes,0,5.0,https://www.amazon.ca/IGO-Tempered-Coverage-Protector-Friendly/dp/B07XYJC65R/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:06:21.946281,2020-09-29 21:06:29.199495,Kim,Clothing & Accessories,B002G9UDYG,B07XYJC65R
12,12,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"December 14, 2019",It is defective,"It was a gift but opened one gift early and It was a factory defective box.
Many of the tracks are not finished so it does not connect they sent me a total defective box.",no,0,1.0,https://www.amazon.ca/Hot-wheels-Track-Builder-Curve/dp/B07DB5PH8J/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:06:37.285687,2020-09-29 21:06:45.518859,Kim,Clothing & Accessories,B002G9UDYG,B07DB5PH8J
13,13,AHD6ML7EJTXYU2BSRQF4LYYO22BA,"October 16, 2018",this is a must!,this is an amazing product!,yes,0,5.0,https://www.amazon.ca/Silicone-Protector-Pop-Up-Regular-Drains/dp/B00OCEBMFM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:06:54.602748,2020-09-29 21:07:03.832088,Kim,Clothing & Accessories,B002G9UDYG,B00OCEBMFM
