,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHNPXED2RLBVF3QDGVUMW64T56HQ,"November 4, 2018",Awesome,So comfy ! Fits perfectly . I love it,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:53:25.441815,2020-09-30 00:53:31.838164,FaZe xValore,Clothing & Accessories,B002G9UDYG,B002G9UDYG
1,1,AHNPXED2RLBVF3QDGVUMW64T56HQ,"November 4, 2018",Lovs it,Nice quality. Perfect gift,yes,0,5.0,https://www.amazon.ca/dp/B00ZOT415M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:53:38.991478,2020-09-30 00:53:45.395857,FaZe xValore,Clothing & Accessories,B002G9UDYG,B00ZOT415M
2,2,AHNPXED2RLBVF3QDGVUMW64T56HQ,"November 4, 2018",Was ok,Ok product . nothing crazy,no,0,4.0,https://www.amazon.ca/Removable-Cushion-waterproof-Bottom-Lovely/dp/B01M0TUR82/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:53:55.564405,2020-09-30 00:54:02.134694,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01M0TUR82
3,3,AHNPXED2RLBVF3QDGVUMW64T56HQ,"November 4, 2018",Love it,Amazing lil thing. Run the whole night (10hours + -) . 8 drops for 450ml of water is perfect,yes,0,5.0,https://www.amazon.ca/Essential-Diffuser-Aromatherapy-Humidifiers-Adjustable/dp/B0787Q78JM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:54:09.245855,2020-09-30 00:54:18.654010,FaZe xValore,Clothing & Accessories,B002G9UDYG,B0787Q78JM
4,4,AHNPXED2RLBVF3QDGVUMW64T56HQ,"November 4, 2018",Perfect,Paid 8$ . amazing deal and good oil,yes,One,5.0,https://www.amazon.ca/Upgraded-Essential-Oils-Anjou-Aromatherapy/dp/B07H2HHN84/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:54:25.809258,2020-09-30 00:54:32.291975,FaZe xValore,Clothing & Accessories,B002G9UDYG,B07H2HHN84
5,5,AHNPXED2RLBVF3QDGVUMW64T56HQ,"November 4, 2018",Perfect,So comfy ! Fits perfectly . I love it,yes,One,5.0,https://www.amazon.ca/Hanes-Pullover-Ecosmart-Fleece-Sweatshirt/dp/B074V6Q1DS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:54:41.460811,2020-09-30 00:54:48.923536,FaZe xValore,Clothing & Accessories,B002G9UDYG,B074V6Q1DS
6,6,AHNPXED2RLBVF3QDGVUMW64T56HQ,"October 11, 2018",Perfect,This was the cheapest Oil on the website and I'm super glad I went for them . awesome smell and last long,no,0,5.0,https://www.amazon.ca/Anjou-Aromatherapy-Eucalyptus-Lemongrass-Therapeutic/dp/B01KT9BPXC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:54:59.121091,2020-09-30 00:55:06.460712,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01KT9BPXC
7,7,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 25, 2018",I love it,Amazing cover . super strong material,yes,0,5.0,https://www.amazon.ca/Homitt-58-inch-Burner-Waterproof-Brands/dp/B01HGFBNL6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:55:14.605771,2020-09-30 00:55:21.969856,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01HGFBNL6
8,8,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/Funko-9301-Overwatch-Widowmaker/dp/B01CDEXBAG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:55:32.078465,2020-09-30 00:55:39.587260,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01CDEXBAG
9,9,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/NBHUZEHUA-Novelty-Thoughtful-Birthday-Mothers/dp/B07B3T7P1F/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:55:47.711083,2020-09-30 00:55:57.090024,FaZe xValore,Clothing & Accessories,B002G9UDYG,B07B3T7P1F
10,10,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/Funko-Pop-Games-Overwatch-Lucio/dp/B01NCEQVHU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:56:04.171459,2020-09-30 00:56:10.584584,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01NCEQVHU
11,11,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/Natural-Animal-Hamster-Hand-Woven-Animals/dp/B079L6S86K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:56:18.694651,2020-09-30 00:56:25.089276,FaZe xValore,Clothing & Accessories,B002G9UDYG,B079L6S86K
12,12,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/Anker-4-Port-Macbook-Surface-Notebook/dp/B00XMD7KPU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:56:32.187547,2020-09-30 00:56:41.623556,FaZe xValore,Clothing & Accessories,B002G9UDYG,B00XMD7KPU
13,13,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/AmazonBasics-3-5mm-Stereo-Audio-Cable/dp/B00NO73MUQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:56:50.727179,2020-09-30 00:56:59.098420,FaZe xValore,Clothing & Accessories,B002G9UDYG,B00NO73MUQ
14,14,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/K-Y-Moisturizer-Lubricant-Recommended-Gynecologists/dp/B00WLKYOC2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:57:09.207957,2020-09-30 00:57:17.641025,FaZe xValore,Clothing & Accessories,B002G9UDYG,B00WLKYOC2
15,15,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,no,0,5.0,https://www.amazon.ca/Rankie-DVI-Cable-Feet-Black/dp/B01KRMEVQO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:57:26.790199,2020-09-30 00:57:35.172273,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01KRMEVQO
16,16,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/Ware-Manufacturing-Willow-Tunnel-Hideout/dp/B002H3BLCY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:57:44.275726,2020-09-30 00:57:51.620956,FaZe xValore,Clothing & Accessories,B002G9UDYG,B002H3BLCY
17,17,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/Nuby-536042-Playlinks-Teether-8-Pack/dp/B00840XE74/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:57:58.725607,2020-09-30 00:58:08.144168,FaZe xValore,Clothing & Accessories,B002G9UDYG,B00840XE74
18,18,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,Amazing battery. Finally I can go thru the whole day without charging my pĥone twice,yes,0,5.0,https://www.amazon.ca/dp/B07D2BPS6G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:58:17.248874,2020-09-30 00:58:23.648146,FaZe xValore,Clothing & Accessories,B002G9UDYG,B07D2BPS6G
19,19,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/CINNAMON-TOAST-CRUNCH-French-380-Gram/dp/B007QLZL82/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:58:33.767956,2020-09-30 00:58:42.142392,FaZe xValore,Clothing & Accessories,B002G9UDYG,B007QLZL82
20,20,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",love it,love it,yes,0,5.0,https://www.amazon.ca/Lucky-Charms-Treats-Bars-5-Count/dp/B010B8EIU8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:58:50.267599,2020-09-30 00:58:59.780623,FaZe xValore,Clothing & Accessories,B002G9UDYG,B010B8EIU8
21,21,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",perfect,perfect,yes,One,5.0,https://www.amazon.ca/Pikmi-Pops-Season-Surprise-Medium/dp/B075RFXYHX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:59:07.873864,2020-09-30 00:59:14.320167,FaZe xValore,Clothing & Accessories,B002G9UDYG,B075RFXYHX
22,22,AHNPXED2RLBVF3QDGVUMW64T56HQ,"September 1, 2018",Fine,good mat,yes,0,4.0,https://www.amazon.ca/Petmate-26553-9-Inch-Aspen-Kennel/dp/B0057D9RL8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:59:22.416186,2020-09-30 00:59:28.819641,FaZe xValore,Clothing & Accessories,B002G9UDYG,B0057D9RL8
23,23,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 31, 2018",Perfect,"Awesome lil thing , works like a charm",yes,0,5.0,https://www.amazon.ca/Dehumidifier-Portable-Electric-Moisture-Absorber/dp/B073XKMWQ5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:59:36.926878,2020-09-30 00:59:44.261514,FaZe xValore,Clothing & Accessories,B002G9UDYG,B073XKMWQ5
24,24,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 16, 2018",Weak packaging,Nice scooter but sad part is the wheel and the handle are not alligned at all.. Cant find how to fix this,yes,0,4.0,https://www.amazon.ca/Self-Powered-Scooter-Mechanism-Adjustable-Friction/dp/B01IMNPOJS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 00:59:54.368189,2020-09-30 01:00:00.753118,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01IMNPOJS
25,25,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Love it,Awesome,yes,0,5.0,https://www.amazon.ca/Popcorn-Makers-Collapsible-Microwave-Silicone/dp/B0766P7LL7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:00:10.854855,2020-09-30 01:00:18.284361,FaZe xValore,Clothing & Accessories,B002G9UDYG,B0766P7LL7
26,26,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Perfect,Works good,yes,0,5.0,https://www.amazon.ca/AmazonBasics-Input-Output-Adapter-Cable/dp/B014I8UQJY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:00:27.402234,2020-09-30 01:00:36.802882,FaZe xValore,Clothing & Accessories,B002G9UDYG,B014I8UQJY
27,27,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",10/10,Perfect and no delay at all,yes,0,5.0,https://www.amazon.ca/GANA-Gold-plated-swicher-splitter-Supports/dp/B06XGB78MG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:00:44.910633,2020-09-30 01:00:53.339065,FaZe xValore,Clothing & Accessories,B002G9UDYG,B06XGB78MG
28,28,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Cant clean anything with it,Hate it so much. Waste of money,yes,0,1.0,https://www.amazon.ca/FSDUALWIN-Rust-proof-High-nickel-Grates-%EF%BC%88Please-FSDUALWIN-CA/dp/B073VHLQNW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:01:00.446101,2020-09-30 01:01:07.877154,FaZe xValore,Clothing & Accessories,B002G9UDYG,B073VHLQNW
29,29,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Awesome,Works like a charm,yes,0,5.0,https://www.amazon.ca/UGREEN-Universal-Headphone-Microphone-Raspberry/dp/B01N905VOY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:01:17.998543,2020-09-30 01:01:26.397379,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01N905VOY
30,30,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Amazing,Perfect for my dwarf legs,yes,0,5.0,https://www.amazon.ca/AmazonBasics-DSN-02310-Foot-Rest-Black/dp/B01DN8TG46/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:01:36.509646,2020-09-30 01:01:42.896274,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01DN8TG46
31,31,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Not bad,Its ok,yes,0,3.0,https://www.amazon.ca/LEMEGO-Non-Stick-Reusable-Christmas-Dishwasher/dp/B071D9N39S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:01:52.012992,2020-09-30 01:02:01.415192,FaZe xValore,Clothing & Accessories,B002G9UDYG,B071D9N39S
32,32,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Perfect,Quality is alot better than the one at walmart !,yes,0,5.0,https://www.amazon.ca/AmazonBasics-Cube-Wire-Storage-Shelves/dp/B0735CKFJK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:02:09.524160,2020-09-30 01:02:16.968814,FaZe xValore,Clothing & Accessories,B002G9UDYG,B0735CKFJK
33,33,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Nice gift,Awesome shirt,yes,0,5.0,https://www.amazon.ca/Tstars-Screwed-Grandpa-T-Shirt-XX-Large/dp/B01ALB1G7I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:02:24.080444,2020-09-30 01:02:33.474201,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01ALB1G7I
34,34,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Ok,Ok,yes,0,3.0,https://www.amazon.ca/No-Longer-Available/dp/B0759RSP4S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:02:43.541034,2020-09-30 01:02:50.931428,FaZe xValore,Clothing & Accessories,B002G9UDYG,B0759RSP4S
35,35,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Strong rubber smell,Does the job but really strong rubber smell. First time Ive smell a condom like that,yes,0,3.0,https://www.amazon.ca/TROJAN-Pleasure-Ribbed-Lubricated-Condoms/dp/B00FGOOHKO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:03:00.047462,2020-09-30 01:03:07.434130,FaZe xValore,Clothing & Accessories,B002G9UDYG,B00FGOOHKO
36,36,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Perfect,No odor at all with my bunny,yes,0,5.0,https://www.amazon.ca/Healthy-Pet-Carefresh-Complete-Confetti/dp/B00OKBTM5O/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:03:17.545526,2020-09-30 01:03:24.929170,FaZe xValore,Clothing & Accessories,B002G9UDYG,B00OKBTM5O
37,37,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Really cool,Cute lil gift,yes,0,5.0,https://www.amazon.ca/DCI-26829-Travel-Tools-Keychain/dp/B0051V4XV0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:03:32.037506,2020-09-30 01:03:41.432241,FaZe xValore,Clothing & Accessories,B002G9UDYG,B0051V4XV0
38,38,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Works like a charm,Does the job perfectly,yes,0,5.0,https://www.amazon.ca/HQ-DVI-I-Switch-Port-AVSWITCH-10/dp/B000GTLFS6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:03:48.535678,2020-09-30 01:03:55.954581,FaZe xValore,Clothing & Accessories,B002G9UDYG,B000GTLFS6
39,39,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Awesome,Amazing and easy to carry during windy days,yes,0,5.0,https://www.amazon.ca/dp/B07CWTSPWH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:04:06.058493,2020-09-30 01:04:12.422208,FaZe xValore,Clothing & Accessories,B002G9UDYG,B07CWTSPWH
40,40,AHNPXED2RLBVF3QDGVUMW64T56HQ,"August 5, 2018",Cheap and perfect,My bunny loves it very much,yes,0,5.0,https://www.amazon.ca/Living-World-Nibblers-Loofah-Strawberry/dp/B005D4NO5G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:04:21.522155,2020-09-30 01:04:28.847225,FaZe xValore,Clothing & Accessories,B002G9UDYG,B005D4NO5G
41,41,AHNPXED2RLBVF3QDGVUMW64T56HQ,"May 7, 2018",Three Stars,Wont stay standing still. Had to put paper under the feets,yes,One,3.0,https://www.amazon.ca/Funko-Pop-Games-Overwatch-Symmetra/dp/B01MTUT5GZ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:04:38.971241,2020-09-30 01:04:47.397210,FaZe xValore,Clothing & Accessories,B002G9UDYG,B01MTUT5GZ
42,42,AHNPXED2RLBVF3QDGVUMW64T56HQ,"May 7, 2018",Three Stars,I like it but I cant use it when I want to sleep on my belly. So uncomfortable. Oh and the chimical smell is AWFULL! I washed the pillow by hand and the pillow case in the washing machine and the smell wont go away.,yes,0,3.0,https://www.amazon.ca/Memory-Foam-Pillow-Cooling-Gel/dp/B076BV6GF6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:04:55.500137,2020-09-30 01:05:01.868855,FaZe xValore,Clothing & Accessories,B002G9UDYG,B076BV6GF6
43,43,AHNPXED2RLBVF3QDGVUMW64T56HQ,"May 7, 2018",Cheaply made,Quality is VERY average. Can get better quality at the Dollar store for alot cheaper =(,yes,0,2.0,https://www.amazon.ca/Squirrel-Hedgehog-Chinchilla-Accessories-11-813-7/dp/B077HXR3KG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:05:11.974953,2020-09-30 01:05:21.368134,FaZe xValore,Clothing & Accessories,B002G9UDYG,B077HXR3KG
44,44,AHNPXED2RLBVF3QDGVUMW64T56HQ,"February 13, 2018",Five Stars,Perfect,yes,0,5.0,https://www.amazon.ca/Gildan-Mens-Heavy-Cotton-T-Shirt/dp/B008WC8NZC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 01:05:30.463045,2020-09-30 01:05:36.868524,FaZe xValore,Clothing & Accessories,B002G9UDYG,B008WC8NZC
