,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"August 19, 2020",Not quite as expected but look as pictured,A little disappointed with these as I was hoping for cotton and feel more like polyester blend. Colours and print are as pictured so that was great to see. Also thought they would be bigger because am planning on using as head scarf or face covering,yes,0,4.0,https://www.amazon.ca/zhoushengmeizhuang-Handkerchiefs-Ladies-Printed-Handerchief/dp/B0855JK6LS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:56:28.247787,2020-09-18 11:56:36.525654,Bugs,Clothing & Accessories,B002G9UDYG,B0855JK6LS
1,1,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"August 11, 2020",Cute summer dress!,"Cute casual summer dress! I wore for a party and paired with a Jean vest and was way too cute! I ordered my size and fit great! Im only 5'2"" and was the perfect length with a set of heels . If you're taller, maybe a bit short for you. Although, it wasnt as baggy as photo and description I think the fit suited me better being a bit more form fitting. Pockets came in handy as well!",yes,0,5.0,https://www.amazon.ca/ZIOOER-Summer-Casual-Dresses-Pockets/dp/B08CMXCYR5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:56:45.612796,2020-09-18 11:56:53.893646,Bugs,Clothing & Accessories,B002G9UDYG,B08CMXCYR5
2,2,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"August 11, 2020",Super cute!!,Super duper cute suspenders! I purchased for a 1 yr old photo shoot and was pleasantly surprised they are adjustable and will fit for a few years!! Great price and very nice quality! Would def recommend these for anyone looking!,yes,0,5.0,https://www.amazon.ca/Elastic-Adjustable-Suspenders-Colors-Stripe/dp/B07FBS1V3X/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:57:03.988395,2020-09-18 11:57:12.251867,Bugs,Clothing & Accessories,B002G9UDYG,B07FBS1V3X
3,3,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"August 11, 2020",Super cute & great value!,Bought this as a gift for my son's 1st birthday and it's been a hit! Cute pictures with lots of touch and feel spots!!,yes,0,5.0,https://www.amazon.ca/Bright-Baby-Touch-Feel-Animals/dp/0312498586/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:57:20.331827,2020-09-18 11:57:26.570912,Bugs,Clothing & Accessories,B002G9UDYG,0312498586
4,4,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"June 22, 2020",Neat & easy way to add water feature,"One of my friends purchased this solar fountain and I thought it was the cutest way to add water to my outside decor. Had to get it too!
Note: it only works in direct sunlight and wont work in the shade bc it doesnt have a batter backup to keep it going when the sun moves and shades the fountain.",yes,0,5.0,https://www.amazon.ca/Fountain-Upgraded-Powered-Standing-Outdoor/dp/B0859H7QW6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:57:33.662237,2020-09-18 11:57:41.947368,Bugs,Clothing & Accessories,B002G9UDYG,B0859H7QW6
5,5,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"June 22, 2020",Shower curtain beach blanket :(,I was so disappointed with this item... its basically a shower curtain with pockets on the 4 corners... I was expecting a nicer material for the price.... would not recommend!!!,yes,0,2.0,https://www.amazon.ca/Sunlit-Sandfree-Festival-Watercolor-Painting/dp/B07Q9J9LL9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:57:52.047422,2020-09-18 11:57:58.316975,Bugs,Clothing & Accessories,B002G9UDYG,B07Q9J9LL9
6,6,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"June 4, 2020",Fun for all!,"We are big game players and this is a good one for all groups of players - young, experienced players, and even or odd # of players. This game was good value - have paid more for the game and is a nice gift for friends. Always keep an extra on hand!",yes,0,5.0,https://www.amazon.ca/Everest-4001-Enterprises-Five-Crowns/dp/B00000IV35/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:58:07.418348,2020-09-18 11:58:15.740745,Bugs,Clothing & Accessories,B002G9UDYG,B00000IV35
7,7,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"June 4, 2020",Damaged goods,"I love love love Kraft peanut butter, but was disappointed when the product was delivered because package was damaged and seal was broken. I couldnt see a way to return it so hope I can finish it before it goes rancid!",yes,0,2.0,https://www.amazon.ca/KRAFT-Peanut-Butter-Smooth-2KG/dp/B01N46DBTN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:58:24.822426,2020-09-18 11:58:31.130878,Bugs,Clothing & Accessories,B002G9UDYG,B01N46DBTN
8,8,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"June 4, 2020",Devil in the details,"Love the product, but wishing I would have checked the details closer... received a small box of 30 loads for the price of 120 loads.",yes,0,4.0,https://www.amazon.ca/Tide-Efficiency-Laundry-Detergent-Original/dp/B00JTOEL2G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:58:38.226061,2020-09-18 11:58:44.499362,Bugs,Clothing & Accessories,B002G9UDYG,B00JTOEL2G
9,9,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"January 6, 2020",Fit was small,"Suit fit small. Quality was alright fir the price. The bottoms didnt seen to be as high rise as photo indicates which was a bit disappointing. Unfortunately, had to return.",no,0,3.0,https://www.amazon.ca/COME2LOOK-Shoulder-Ruffled-Flounce-Style2-White/dp/B07NY72BX3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:58:51.703289,2020-09-18 11:58:57.962675,Bugs,Clothing & Accessories,B002G9UDYG,B07NY72BX3
10,10,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 27, 2019",Disappointed,Product received was used.... I was very disappointed as I was expecting brand new.. I will be returning,yes,3,1.0,https://www.amazon.ca/Original-Furniture-Protector-ch%C3%A9ri-damour/dp/B06XCB2F46/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:59:08.055958,2020-09-18 11:59:15.392288,Bugs,Clothing & Accessories,B002G9UDYG,B06XCB2F46
11,11,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 27, 2019",Neat gift idea,"I was looking for a game to gift and saw this which looked pretty neat!! Description of the game sounded fun and something my nephews would like. When the product came, packaging was a bit to be desired, but quality of the pieces seemed really good. Will have to find a storage alternative for the pieces unfortunately.",yes,4,4.0,https://www.amazon.ca/Melissa-Doug-Suspend-Family-Game/dp/B00BEW2HVS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:59:25.483818,2020-09-18 11:59:34.802822,Bugs,Clothing & Accessories,B002G9UDYG,B00BEW2HVS
12,12,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 27, 2019",Love me a cappuccino!,"I was pleasantly surprised with this frother! I absolutely love cappuccinos and have been wanting to get a frother to use at home to save some money. I bit the bullet and am so happy I did! The quality of this frother is amazing! It's got multiple settings, runs almost silently and is super easy to clean. I'm in love with this and am excited to enjoy frothy drinks at home!!",yes,7,5.0,https://www.amazon.ca/VAVA-Non-Stick-Operation-Cappuccino-Chocolate/dp/B07QXX8CDF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 11:59:44.903343,2020-09-18 11:59:54.173826,Bugs,Clothing & Accessories,B002G9UDYG,B07QXX8CDF
13,13,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 18, 2019",Great organizers!!,"Really love these!! Needed something to separate my husband's, son's and my things in our suit case! Love that you get multiple sizes and different colors! Great buy!",yes,0,5.0,https://www.amazon.ca/Organizer-Compression-Clothing-Underwear-Cosmetic/dp/B07V457PDD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:00:03.256507,2020-09-18 12:00:12.572219,Bugs,Clothing & Accessories,B002G9UDYG,B07V457PDD
14,14,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 14, 2019",Sooo soft!!!,Bought this as a gift and I couldn't believe how soft and snuggly this wrap was!!!! She absolutely loved it!! I may have to order one for myself because it was so cozy!!! Color and style were as expected.,yes,0,5.0,https://www.amazon.ca/LittleMax-Oversize-Knitted-Cardigans-Sweaters/dp/B07Z1Q58QY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:00:20.654356,2020-09-18 12:00:26.954958,Bugs,Clothing & Accessories,B002G9UDYG,B07Z1Q58QY
15,15,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 14, 2019",Absolutely love!!!!,I can't get enough of this shirt! I have received so many compliments on it already! I ordered according to the sizing chart proved on the site and glad I did. Normally I wear an l or xl but i orded an xxl to ensure a looser fit.,yes,0,5.0,https://www.amazon.ca/ZIOOER-Casual-Leopard-Sweatshirt-T-Shirt/dp/B07ZDQGJM5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:00:37.053654,2020-09-18 12:00:43.316415,Bugs,Clothing & Accessories,B002G9UDYG,B07ZDQGJM5
16,16,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 7, 2019",Great experience,"Good quality product however, the bottom seam on legs were a bit tight so product was returned. Return went really well and was refunded full price.",yes,0,5.0,https://www.amazon.ca/Fruit-Loom-CoolZone-Boxer-Briefs/dp/B07P7KKGXM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:00:51.396339,2020-09-18 12:00:57.681673,Bugs,Clothing & Accessories,B002G9UDYG,B07P7KKGXM
17,17,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 7, 2019",Cute bus!!,Getting Christmas shopping done early! He's going to love this!!,yes,One,5.0,https://www.amazon.ca/Playmobil-5680-School-Bus-Playset/dp/B01B1351YY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:01:04.772295,2020-09-18 12:01:11.022067,Bugs,Clothing & Accessories,B002G9UDYG,B01B1351YY
18,18,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 2, 2019",Love these toques!,This is a repeat purchase for our house! These carhart hats are so warm and comfy! Nice stretch to them so fit a variety of head sizes. Love that they come in a variety of colors! These wear and wash so well!! Love them!,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:01:20.096335,2020-09-18 12:01:29.372206,Bugs,Clothing & Accessories,B002G9UDYG,B002G9UDYG
19,19,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 2, 2019",Rub a dub dub!,Love love love this little boat! I will be gifting this bath toy and think it's a great value buy! Lots of little fish and cups that come with the boat! Great packaging and cute boat! Cant wait for my little to see and play with this one!!,yes,0,5.0,https://www.amazon.ca/B-Fish-Splish-Bath-Boat/dp/B002YITFB6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:01:37.467957,2020-09-18 12:01:43.780744,Bugs,Clothing & Accessories,B002G9UDYG,B002YITFB6
20,20,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 2, 2019",Can't wait to try it!,I have an old air filter in my 46 gallon bow front tank right now but needed a new one. Cant wait to install this new filter in my tank! My fish will be so happy (and so will I),yes,0,5.0,https://www.amazon.ca/Powkoo-Aquarium-Biochemical-Driven-Sponge/dp/B01KRGMU36/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:01:51.863525,2020-09-18 12:02:01.106396,Bugs,Clothing & Accessories,B002G9UDYG,B01KRGMU36
21,21,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 2, 2019",Great buy,My carbon filter exploded in the pump for my fish tank so I needed one asap. Ordered and came directly to my door which saved me a trip to the store to replace the old one and is exactly what i needed!!,yes,0,5.0,https://www.amazon.ca/Hagen-AquaClear-Activated-Carbon-4-1/dp/B0002563VI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:02:10.192900,2020-09-18 12:02:19.425068,Bugs,Clothing & Accessories,B002G9UDYG,B0002563VI
22,22,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 2, 2019",Just what I needed,Exactly what I needed for my fish tank!! Saved me a trip to the store and came right to my door - what could be better!,yes,0,5.0,https://www.amazon.ca/Hagen-A618-AquaClear-70-Foam/dp/B0002563W2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:02:26.510436,2020-09-18 12:02:35.804911,Bugs,Clothing & Accessories,B002G9UDYG,B0002563W2
23,23,AHTWCGEQUXHUC2ZYGFDGTHVHYEVA,"November 2, 2019",Love these!!!,Love these tumblers! Have been looking to purchase for a while now and glad I finally did. They are perfect for both coffee and wine and will be taking these camping! They have plastic lids so no need to worry about broken glass around the hot tub or pool. Def looking to buy another set!,yes,2,5.0,https://www.amazon.ca/Tumbler-Stainless-Brushes-Champagne-Cocktails/dp/B07WYQNWZ3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:02:42.890803,2020-09-18 12:02:51.173763,Bugs,Clothing & Accessories,B002G9UDYG,B07WYQNWZ3
