,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AFZ62M5N57FTG75TND7MBHRCRFQQ,"February 28, 2020","Not 98% Cotton, as advertised - cheap nylon blend - very unattractive","Buyer beware! This is not 98% cotton as advertised. It is some cotton and a whole lot of nylon which gives it a very cheap and unattractive sheen. If you want to look like a fast food worker, get these. The cheap fabric is also very prone to wrinkling.

If these were actually 98% cotton as advertised I would have kept them because the fit was good. But material is critical so these are a big fail.",yes,0,2.0,https://www.amazon.ca/Amazon-Brand-Goodthreads-Skinny-Fit-Performance/dp/B07P98BB1Q/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:54:40.374336,2020-09-18 12:54:47.717309,loob,Clothing & Accessories,B002G9UDYG,B07P98BB1Q
1,1,AFZ62M5N57FTG75TND7MBHRCRFQQ,"February 26, 2020","Rancid, horrible tasting - do not buy!!","Rancid. Horrible tasting and unusable. $40 down the drain.
The hemp version of this is fine. This stuff is not.",yes,0,1.0,https://www.amazon.ca/north-coast-naturals-NC10-ORGANIC-SOYA-PROTEIN/dp/B00CORL6PA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:54:57.813442,2020-09-18 12:55:06.148326,loob,Clothing & Accessories,B002G9UDYG,B00CORL6PA
2,2,AFZ62M5N57FTG75TND7MBHRCRFQQ,"August 1, 2019",These Work for My Long Haired Cat,"My cat has super fine, super fleecy soft medium to long hair. She has a tendency to get ""dreadlocks"" around her hindquarters. I used to pay a cat shaver to come and swipe off the knots for $40 a visit. I just spent that on this product, uncertain as to whether it would work. My cat is not a fan of getting shaved - at all. She's a feisty missy. I distracted her with her wet food and while her nose was in her bowl, I started going to work on a large dread at the base of her tail. Because of the low noise she didn't seem to notice much and didn't try to swat at me once. After a few repeatedly swipes, I got the dreadlock off. I was thrilled. She now doesn't have a nasty knot pulling on her sensitive skin and I just saved myself a bunch of money too. I highly recommend these clippers! I can testify that they work for cats. Buy 'em. You won't regret it.",yes,6,5.0,https://www.amazon.ca/Clippers-Professional-Grooming-Detachable-Rechargeable/dp/B06WGRB5J4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:55:16.248346,2020-09-18 12:55:22.584774,loob,Clothing & Accessories,B002G9UDYG,B06WGRB5J4
3,3,AFZ62M5N57FTG75TND7MBHRCRFQQ,"June 26, 2019",Shoes are great BUT sizing is off,"I wear a men's size 9 for everything. If I had known these run small I would've sized up a half to a 9.5. Granted they're mostly cloth so they stretch but my big toe bugs out the top of these when I'm running. It's especially noticeable when I'm going downhill. Not sure if my pair was a fluke but if it wasn't for the off sizing I'd give these 5 out of 5. They're light, look sharp and breathe well.",yes,One,3.0,https://www.amazon.ca/Puma-Ignite-Flash-Evoknit-Black/dp/B0721KGS9G/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:55:31.695610,2020-09-18 12:55:38.992580,loob,Clothing & Accessories,B002G9UDYG,B0721KGS9G
4,4,AFZ62M5N57FTG75TND7MBHRCRFQQ,"March 11, 2019",Perfect for summer!,"Wish it ran a bit longer in the waist area but otherwise, this shirt will be perfect for summer. It's VERY thin to the point of being somewhat see-through. But it's also ridiculously soft. I imagine I'll be wearing this on hot days for sure.",yes,One,4.0,https://www.amazon.ca/Soffe-Oatmeal-Haether-Athletic-Heather/dp/B07G3MH384/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:55:48.079210,2020-09-18 12:55:56.347297,loob,Clothing & Accessories,B002G9UDYG,B07G3MH384
5,5,AFZ62M5N57FTG75TND7MBHRCRFQQ,"March 11, 2019",Warm and classic beanie,"First of all, this is a warm hat. I would save this one for especially cold days. It also makes me feel like a rough n' tumble construction worker because of the Carhartt label on the front. :-) Recommended!",yes,0,4.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:56:04.443257,2020-09-18 12:56:11.753935,loob,Clothing & Accessories,B002G9UDYG,B002G9UDYG
6,6,AFZ62M5N57FTG75TND7MBHRCRFQQ,"March 11, 2019",Great film but this is a poor quality VHS transfer,"I absolutely love this classic noir. But buyer beware! This is not a ""Fox Film Noir"" noir any other reputable production company. It basically looks like someone burned a copy from a VHS to make this. Now, the quality/transfer isn't terrible. But it's not great. The volume also had to be cranked all the way to the top in order to hear it. So, a bit disappointing in that respect. Try and find the film produced by an actual company and you'll be happier.",yes,0,2.0,https://www.amazon.ca/Thieves-Highway/dp/B000DZ841E/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:56:20.853838,2020-09-18 12:56:27.183740,loob,Clothing & Accessories,B002G9UDYG,B000DZ841E
7,7,AFZ62M5N57FTG75TND7MBHRCRFQQ,"March 11, 2019",Good for the price!,I'm using these to watch movies and shows on my iPad and laptop. They're definitely good for the price. They're not very noise-cancelling but they provide a bit of that given they cover the whole ear. I like the fact they also have a volume control and play and pause toggle on the cord. I would recommend these ear phones 100%!,yes,0,4.0,https://www.amazon.ca/dp/B07G84PNRB/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:56:35.289517,2020-09-18 12:56:42.527171,loob,Clothing & Accessories,B002G9UDYG,B07G84PNRB
8,8,AFZ62M5N57FTG75TND7MBHRCRFQQ,"March 11, 2019",Great looking pan and easy to clean!,"This pan is super lightweight, I love the green colour and it cleans up nicely and easily every time. The only drawback is that food doesn't taste as good when I make it in this pan. Particularly scrambled eggs. You have to really watch them or they'll get hard fast. But even when you watch 'em like a hawk and they're fluffy scrambled eggs they still don't taste as good as they should. Too bad. Otherwise, I'd rate this 4 or 5 stars.",yes,2,3.0,https://www.amazon.ca/Gibson-Home-62410-01-Hummington-Eco-Friendly/dp/B00O9QA6YQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:56:52.637095,2020-09-18 12:56:59.980221,loob,Clothing & Accessories,B002G9UDYG,B00O9QA6YQ
9,9,AFZ62M5N57FTG75TND7MBHRCRFQQ,"March 11, 2019",At first glance I thought these were kinda cheap-looking,"... but these are actually really nice fluffy towels! Strongly recommended, especially for the price. They're not THAT big but big enough and most of all, very soft and fluffy and 100% cotton. A pleasure to use. Thanks, Amazon!",yes,8,4.0,https://www.amazon.ca/AmazonBasics-Cotton-Beach-Towel-30/dp/B015QBT4BI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 12:57:09.079879,2020-09-18 12:57:15.365065,loob,Clothing & Accessories,B002G9UDYG,B015QBT4BI
