,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"August 21, 2020",Great bedliner,Would buy again. Wish I had bought the full one,yes,0,5.0,https://www.amazon.ca/Bedrug-XLTBMT19SBS-Mat-Non-BEDMAT-Spray/dp/B07J4RP17K/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:44:33.651507,2020-09-18 20:44:39.948023,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B07J4RP17K
1,1,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"January 15, 2020",Good variety,Good value for the money,yes,0,5.0,https://www.amazon.ca/Ginsco-102pcs-Fasteners-Expansion-Replacement/dp/B076BMVZ8R/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:44:47.043253,2020-09-18 20:44:55.381355,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B076BMVZ8R
2,2,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"December 26, 2019",Nice belt,Good quality leather,yes,0,5.0,https://www.amazon.ca/Timberland-Mens-35Mm-Classic-Black/dp/B00MCW8TUW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:45:02.476965,2020-09-18 20:45:10.818194,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B00MCW8TUW
3,3,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"December 26, 2019",Nice belt,Good quality leather,yes,0,5.0,https://www.amazon.ca/Timberland-Mens-Classic-Accessory-brown/dp/B079J7SCBF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:45:19.912985,2020-09-18 20:45:27.186643,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B079J7SCBF
4,4,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"December 18, 2019",Good quality,These are a good value for the money and seller is excellent to deal with,yes,0,4.0,https://www.amazon.ca/Sennheiser-CX-3-00-Black-Headphone/dp/B00NQ1808Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:45:35.282930,2020-09-18 20:45:44.524991,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B00NQ1808Y
5,5,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"December 11, 2019",Works good,These fit good and for the money good valvue,yes,0,4.0,https://www.amazon.ca/AIKELA-Bluetooth-Headphones-Waterproof-Earphones/dp/B07WD3QLVD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:45:53.614793,2020-09-18 20:45:59.898709,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B07WD3QLVD
6,6,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"December 11, 2019",Warm,"Fits good, lots of stretch, keeps the head and ears warm",yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:46:09.989930,2020-09-18 20:46:16.258056,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B002G9UDYG
7,7,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"September 12, 2019",Good Quality,SR SUN RISE products are well made and good value for the dollar,yes,0,5.0,https://www.amazon.ca/SR-SUN-RISE-Stainless-Showerhead/dp/B01AA6BTEY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:46:23.348054,2020-09-18 20:46:32.622660,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B01AA6BTEY
8,8,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"September 5, 2019",Good quality,Sounds great,yes,0,5.0,https://www.amazon.ca/Auxiliary-Professional-Gold-Plated-Braided-Fastening/dp/B07L6K9DXW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:46:42.716040,2020-09-18 20:46:49.995157,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B07L6K9DXW
9,9,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"September 5, 2019",Works great,Would buy again,yes,One,5.0,https://www.amazon.ca/Audio-switch-stereo-selector-headphones/dp/B0787VHMJH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:46:57.091685,2020-09-18 20:47:06.378494,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B0787VHMJH
10,10,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"August 15, 2019",Works Great,No more overcooked meat,yes,0,5.0,https://www.amazon.ca/Digital-Meat-Thermometer-Waterproof-Calibration/dp/B06Y4YY4L9/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:47:13.469576,2020-09-18 20:47:22.821652,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B06Y4YY4L9
11,11,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"August 15, 2019",Works Great,Does the job,yes,0,5.0,https://www.amazon.ca/Melnor-Ind-Inc-Oscillating-Sprinkler/dp/B0017QDHYM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:47:32.908861,2020-09-18 20:47:39.214058,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B0017QDHYM
12,12,AGGS56PXIAGKS3MRQGOFZ2FWE3IQ,"August 15, 2019",Good Quality,Look real nice on the car,yes,0,5.0,https://www.amazon.ca/C6-Corvette-License-Plate-Frame/dp/B001LQHUBE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 20:47:48.334610,2020-09-18 20:47:54.618545,Amazon Customer Tim,Clothing & Accessories,B002G9UDYG,B001LQHUBE
