,id,review,author,start,end,product_name
0,R3S7JH048KOKZD,"The drive works as intended. When I checked on the warranty, it is only warranted until January 2020 (Bought late July 2019) - Just a little shy of 6 months. Be wary with drives purchased from Amazon - they are generally OEM products and don't carry the full warranty as do retail products (That is why the prices are generally lower here and more expensive when you check at Staples or Best Buy, etc. - OEM products cost less because the retailer generally takes care of warranty issues). Not sure if Amazon will carry the warranty as I haven't yet had an issue.

That being said, I have used many many drives and I've never had to return a Seagate drive for warranty. They are dependable long-term and it's usually the brand I edge toward. I have Seagate drives that are well out of warranty that I use on a daily basis (one is almost 10 years old).

This drive series can be disassembled - the drive has a regular SATA connector, not hard wired to be a USB only drive.",Amazon Customer,2020-09-15 04:34:19.074161,2020-09-15 04:34:19.140981,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
1,RICEGOXV82050,"As for the quality of this drive I found it to be excellent. I've bought a number of these in the past to use as an image backup and file backup for my computers. I have 4 of these Seagate 4TB drives and 10 of the 2TB Seagate drives.

What I did find with the 4TB drives if I leave the drive connected to the USB port on the computer 24/7 after about 6 to 8 months the drive starts to have some problems. If I only connect the drive to use it for a number of hours, and then store it when not in use it will last for a long time. You will know if or when this drive unit starts to fail you will see the drive read/write light will start going very dim and soon will not work. Then some time after the drive will stop working. As for the 2TB version of this drive type these can run 24/7 for some years and will not fail. I have a number of these running 24/7 for over 5 years now.

--

I contacted Seagate with the serial number in their warranty exchange program. Without any questions they will take the drive back and exchange it. I did get an email back from them indicating they may send an exchanged drive where they will send a repaired drive unit and not a new one.

I decided to not send the drives back because of any risk for confidential information that is on my drives even though Seagate is secure and is security approved. I was informed Seagate does have recovery service if you agree to the cost.

A fear I have is if the drive gets lost in the mail, and or gets in to the hands of someone who can retrieve the data there is a risk for me. In the past I have had warranty service from Seagate and it worked out very well. I sent drives that don't have critical data on them. I make three backups on separate drives, and thus I would not require any recovery service. Seagate service has been excellent!

--

Cracking/Busting open the drive case will void any warranties:

I took the effort to crack open the case of the drives that stopped working. I found in all the cases I had it was not the drive itself that failed. It was the small USB to SATA/Power interface board inside that is failing. This small board is is about 3mm thick, about 6mm high, and about 45mm wide. Apparently, there are many people doing this and posting on video sites about how to crack open the case without damaging the drive. This has to be done properly and carefully.

I connected the drives to a USB drive service adapter and ran the full diagnostics. The drives were all super deluxe perfect and would be very reliable to use. The drives I found to be Seagate Barracuda type and of very high performance. They are of standard SATA interface. Seagate drives are highly reliable and of excellent quality from what I found.

I've read the majority of times when these drives fail it is not the actual drive itself that fails. It is the interface module inside of the case. I've had this also happen with the full size externally powered USB backup drives. I crack open the case and install the drives in to a new external universal type drive case. I've also installed them in to computers to use as an internal drive and they ran for some years. This also applies to other manufacture drives.

I bought external drive cases with power supply and USB3 connection for each of these drives. They can also be mounted inside of the computer and used as an internal drive. Take care the 4TB drives are thicker than the 2TB drives and require a thicker external drive case. They will work well in a full size external drive case, but will require some customized mounting. If you were to install this type of drive inside of a PC it would be a very fast drive. Impressive performance! You may require a drive mounting adapter to mount the drive in a 3.5"" form factor bay depending on the type of options in the computer case.",Jerryg50,2020-09-15 04:34:19.145969,2020-09-15 04:34:19.208802,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
2,RPZMRFSL4MBC7,"These perform ok, until they are about half full, then they start shingling the information (SMR), and performance just goes through the floor. This is due to it reading data, so that it can write the new data, with the existing data.

Basically in laymens terms, these seem great for ~3tb, once you fill it past there, write speeds go from 100+mb/s to <1-2mb/s after the buffer fills up.

I copied 60gb of home videos to it once it reached 50% filled, and its now at 6 hours of copying. Worse still it causes the entire computer to hang, as it has no idea why the drive just stops responding.

Avoid these smr drives, they're junk.",CdnHockeyDude,2020-09-15 04:34:19.213788,2020-09-15 04:34:19.263653,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
3,R3GAYMBI3LBNV6,"Don't get scared as I did about the cartoon box without Seagate labels and the drive in a clear plastic box that didn't say anything. The reason it's so cheap and doesn't come in a Seagate box is because it's a OEM product, it's intended to be bundled to other products from other companies. Anyways I checked the model number and corresponds to an existing Seagate model, the same as advertised. And to make sure, I tried to register the serial number and it works, there is no way a fake could copy all the non registered serial numbers into their products.",Amazon Customer,2020-09-15 04:34:19.267642,2020-09-15 04:34:19.315515,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
4,RZHOG0289MVKF,"The overall construct felt very plastic and fragile, very different from the previous Seagate portable hard drives I own. Packaging was just a brown cardboard box and not your usual Seagate box which makes me wonder if this is actually a legit and licensed product, especially with the questionable build. I never ended up using it and returned it.",Burman Lam,2020-09-15 04:34:19.337456,2020-09-15 04:34:19.388103,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
5,R11OYHKTO1MF0M,"J'avais fais la remarque de cette erreur il y a 1 mois, et l'erreur n'a pas été corrigée dans la description française.
I had noticed this error 1 month ago, and the error was not corrected in French description.
I hesitated a long time before making this purchase. I wanted to be sure to get a hard drive of 8 TB and not 1 TB.
I received a Hard drive of 8 TB and I am Very satisfied for the quality and performance.",BOB MTL,2020-09-15 04:34:19.393088,2020-09-15 04:34:19.444867,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
6,R1QCPZT1NYM4XC,"MUST SAY LOVES SEAGATE (HARD DRIVES) IS ONE OF THE MOST TRUSTED BRAND NAME IN ELECTRONICS CHOICE'S , YOU CAN NEVER GONE WRONG, ALWAYS HAS GREAT PERFORMANCE, EXCELLENT PRODUCTS HIGHLY RECOMMENDED DEFINITELY - 5 STARS - 2 BIG THUMBS-UP! - HONESTLY VERY SATISFIED WITH THIS PURCHASE :)",S00NICE,2020-09-15 04:34:19.449854,2020-09-15 04:34:19.506936,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
7,R1VI68DTQFUA2H,"The thing with these hard drives is how long they last, especially with an external(don't drop it!). A hard drive I previously owned would corrupt the files after about getting 1/4 full, rendering everything on it useless. Hoping this will last at a couple of years. Works seamlessly so far, I connect it directly to my phone and watch movies, surprisingly, it doesn't drain the battery that fast!",Russ,2020-09-15 04:34:19.511923,2020-09-15 04:34:19.559938,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
8,R1KWI1IT4F7S84,"Bought this to replace some outdated hardware. Worked for about as long as it took to transfer on to it. Excessively allow transfer and freezes... Definitely makes me wonder about segate's QC.

Best part is that Amazon wants me to send it back before they replace it... What exactly am I supposed to do with all my data, Bezos? So I'm basically stuck with a bunk hard drive and have to buy another one so I don't have to deal with it anymore. Thanks Seagate.",Helvis,2020-09-15 04:34:19.564924,2020-09-15 04:34:19.615789,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
9,RLL9KY9GY6TN8,I purchased this harddrive to backup my other harddrives. It just crashed on me & I am currently on the phone trying about to be charged thousands of dollars to get data recovery on something I haven't even had for 6 months. DO NOT PURCHASE. Its cheap & faulty. Horrible quality and very sensitive. I did not drop it anywhere or damage it in any way. It just sat on my desk.,THE MATHAROO SISTERS INC. ,2020-09-15 04:34:19.620775,2020-09-15 04:34:19.672679,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400)
